,全国研究开发机构数,全国研究开发机构研究与试验发展人员,全国研究开发机构研究与试验发展博士和硕士人员,全国研究开发机构研究与试验发展经费支出,全国研究开发机构科研用仪器设备原价,全国研究开发机构进口科研用仪器设备原价
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,,,,,,
1994年,,,,,,
1995年,,,,,,
1996年,,,,,,
1997年,,,,,,
1998年,,,,,,
1999年,,,,,,
2000年,,,,,,
2001年,,,,,,
2002年,,,,,,
2003年,,,,,,
2004年,,,,,,
2005年,,,,,,
2006年,,,,,,
2007年,,,,,,
2008年,,,,,,
2009年,44891.0,1426315.0,327499.0,31810356.084,39725444.263,10545718.264
2010年,,,,,,
2011年,,,,,,
2012年,,,,,,
2013年,,,,,,
2014年,,,,,,
