,交通运输、仓储和邮政业研究与试验发展企业资金经费支出,交通运输、仓储和邮政业研究与试验发展其他资金经费支出,交通运输、仓储和邮政业研究与试验发展国外资金经费支出,交通运输、仓储和邮政业研究与试验发展政府资金经费支出,信息传输、计算机服务和软件业研究与试验发展企业资金经费支出,信息传输、计算机服务和软件业研究与试验发展其他资金经费支出,信息传输、计算机服务和软件业研究与试验发展国外资金经费支出,信息传输、计算机服务和软件业研究与试验发展政府资金经费支出,农、林、牧、渔业研究与试验发展企业资金经费支出,农、林、牧、渔业研究与试验发展其他资金经费支出,农、林、牧、渔业研究与试验发展国外资金经费支出,农、林、牧、渔业研究与试验发展政府资金经费支出,制造业研究与试验发展企业资金经费支出,制造业研究与试验发展其他资金经费支出,制造业研究与试验发展国外资金经费支出,制造业研究与试验发展政府资金经费支出,卫生、社会保障和社会福利业研究与试验发展企业资金经费支出,卫生、社会保障和社会福利业研究与试验发展其他资金经费支出,卫生、社会保障和社会福利业研究与试验发展国外资金经费支出,卫生、社会保障和社会福利业研究与试验发展政府资金经费支出,建筑业研究与试验发展企业资金经费支出,建筑业研究与试验发展其他资金经费支出,建筑业研究与试验发展国外资金经费支出,建筑业研究与试验发展政府资金经费支出,教育研究与试验发展企业资金经费支出,教育研究与试验发展其他资金经费支出,教育研究与试验发展国外资金经费支出,教育研究与试验发展政府资金经费支出,文化、体育和娱乐业研究与试验发展企业资金经费支出,文化、体育和娱乐业研究与试验发展其他资金经费支出,文化、体育和娱乐业研究与试验发展国外资金经费支出,文化、体育和娱乐业研究与试验发展政府资金经费支出,水利、环境和公共设施管理业研究与试验发展企业资金经费支出,水利、环境和公共设施管理业研究与试验发展其他资金经费支出,水利、环境和公共设施管理业研究与试验发展国外资金经费支出,水利、环境和公共设施管理业研究与试验发展政府资金经费支出,电力、燃气及水的生产和供应业研究与试验发展企业资金经费支出,电力、燃气及水的生产和供应业研究与试验发展其他资金经费支出,电力、燃气及水的生产和供应业研究与试验发展国外资金经费支出,电力、燃气及水的生产和供应业研究与试验发展政府资金经费支出,研究与试验发展企业资金经费支出,研究与试验发展其他资金经费支出,研究与试验发展国外资金经费支出,研究与试验发展政府资金经费支出,科学研究、技术服务和地质勘查业研究与试验发展企业资金经费支出,科学研究、技术服务和地质勘查业研究与试验发展其他资金经费支出,科学研究、技术服务和地质勘查业研究与试验发展国外资金经费支出,科学研究、技术服务和地质勘查业研究与试验发展政府资金经费支出,租赁和商务服务业研究与试验发展企业资金经费支出,租赁和商务服务业研究与试验发展其他资金经费支出,租赁和商务服务业研究与试验发展国外资金经费支出,租赁和商务服务业研究与试验发展政府资金经费支出,采矿业研究与试验发展企业资金经费支出,采矿业研究与试验发展其他资金经费支出,采矿业研究与试验发展国外资金经费支出,采矿业研究与试验发展政府资金经费支出,金融业研究与试验发展企业资金经费支出,金融业研究与试验发展其他资金经费支出,金融业研究与试验发展国外资金经费支出,金融业研究与试验发展政府资金经费支出
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
