,公有经济企事业单位专业技术人员数合计,公有经济企事业单位五类专业技术人员数小计,公有经济企事业单位农业技术人员,公有经济企事业单位卫生技术人员,公有经济企事业单位工程技术人员,公有经济企事业单位教学人员,公有经济企事业单位科学研究人员
1978年,,,,,,,
1979年,,,,,,,
1980年,,,,,,,
1981年,,,,,,,
1982年,,,,,,,
1983年,,,,,,,
1984年,,,,,,,
1985年,,,,,,,
1986年,,,,,,,
1987年,,,,,,,
1988年,,,,,,,
1989年,,,,,,,
1990年,,,,,,,
1991年,,,,,,,
1992年,,,,,,,
1993年,,,,,,,
1994年,,,,,,,
1995年,27053663.0,27054000.0,536000.0,3035000.0,5626000.0,9634000.0,303000.0
1996年,28019313.0,19920785.0,579157.0,3130788.0,5745367.0,10162296.0,303177.0
1997年,28603117.0,20495006.0,611458.0,3213762.0,5719337.0,10647765.0,302684.0
1998年,28773511.0,20913343.0,635929.0,3254958.0,5656735.0,11075184.0,290537.0
1999年,29042988.0,21430140.0,654138.0,3329706.0,5654863.0,11507901.0,283532.0
2000年,28874159.0,28874000.0,670000.0,3372000.0,5551000.0,11783000.0,270000.0
2001年,28477431.0,21698037.0,674644.0,3390233.0,5316327.0,12051279.0,265554.0
2002年,28344158.0,21860024.0,666998.0,3402326.0,5289166.0,12238842.0,262692.0
2003年,27745585.0,21739699.0,683437.0,3441109.0,4992867.0,12346790.0,275496.0
2004年,27504073.0,21783019.0,704576.0,3532282.0,4807869.0,12456290.0,282002.0
2005年,27567260.0,27567260.0,705700.0,3581200.0,4791200.0,12589400.0,311000.0
2006年,27739287.0,22298171.0,701930.0,3612091.0,4893672.0,12763750.0,326728.0
2007年,28014657.0,22545110.0,701481.0,3640554.0,5017747.0,12836120.0,349208.0
2008年,28635696.0,23098880.0,715774.0,3888273.0,5176798.0,12949380.0,368655.0
2009年,28879635.0,23211769.0,714720.0,3929037.0,5310622.0,12869240.0,388150.0
2010年,28157323.0,28160000.0,688651.0,3840124.0,5415126.0,12413530.0,339676.0
2011年,29186650.0,23569312.0,714489.0,4107373.0,5715561.0,12628036.0,403853.0
2012年,,29774237.0,711841.0,4144889.0,5950025.0,12651248.0,416231.0
2013年,,30259517.0,733474.0,4276401.0,6140240.0,12807355.0,432018.0
2014年,,,,,,,
