,省级监督抽查不合格产品批次,省级监督抽查产品批次,省级监督抽查产品种类,省级监督抽查企业
1978年,0,0,0,0
1979年,0,0,0,0
1980年,0,0,0,0
1981年,0,0,0,0
1982年,0,0,0,0
1983年,0,0,0,0
1984年,0,0,0,0
1985年,0,0,0,0
1986年,0,0,0,0
1987年,0,0,0,0
1988年,0,0,0,0
1989年,0,0,0,0
1990年,0,0,0,0
1991年,0,0,0,0
1992年,0,0,0,0
1993年,0,0,0,0
1994年,0,0,0,0
1995年,0,0,0,0
1996年,0,0,0,0
1997年,0,0,0,0
1998年,0,0,0,0
1999年,0,0,0,0
2000年,0,0,0,0
2001年,0,0,0,0
2002年,0,0,0,0
2003年,0,0,0,0
2004年,0,0,0,0
2005年,0,0,0,0
2006年,0,0,0,0
2007年,0,0,0,0
2008年,27762,212153,3042,175980
2009年,31483,254306,4847,215901
2010年,32391,278321,3264,186759
2011年,24631,296594,4178,210584
2012年,20354,277223,3522,186700
2013年,12155,151987,2618,120457
2014年,11967,148037,2864,100301
