,GPS测量,专题地图编制,地图数字化,地图集编制,地形图编制,地理信息数据生产,水准测量
1978年,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0
2001年,21949,3327,60459,133,2867,128816,42136
2002年,26176,3568,91434,126,8980,173816,44153
2003年,32363,2443,59137,105,2731,228913,58681
2004年,29734,2858,65970,446,15179,293358,76233
2005年,47508,2530,47272,100,4185,492554,144031
2006年,54053,2845,19906,234,12626,399330,203191
2007年,44455,3960,20664,368,17203,581000,81363
2008年,55254,4110,38114,285,10213,542059,96364
2009年,55089,5312,22847,328,14852,908401,138988
2010年,47019,42421,36539,541,38345,771571,158384
2011年,22998,30775,0,591,101720,791088,106707
2012年,0,0,0,0,0,0,0
2013年,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0
