,专利申请授权量,企业发明专利申请授权量,企业外观设计专利申请授权量,企业实用新型专利申请授权量,发明专利申请授权量,国内发明专利申请授权量,国内外观设计专利申请授权量,国内实用新型专利申请授权量,国外发明专利申请授权量,国外外观设计专利申请授权量,国外实用新型专利申请授权量,外观设计专利申请授权量,大专院校发明专利申请授权量,大专院校外观设计专利申请授权量,大专院校实用新型专利申请授权量,实用新型专利申请授权量,机关团体发明专利申请授权量,机关团体外观设计专利申请授权量,机关团体实用新型专利申请授权量,科研单位发明专利申请授权量,科研单位外观设计专利申请授权量,科研单位实用新型专利申请授权量,职务发明专利申请授权量,职务外观设计专利申请授权量,职务实用新型专利申请授权量,非职务发明专利申请授权量,非职务外观设计专利申请授权量,非职务实用新型专利申请授权量
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,45064.0,205.0,2554.0,2627.0,3393.0,1530.0,9523.0,30195.0,1863.0,1677.0,276.0,11200.0,258.0,10.0,623.0,30471.0,165.0,2624.0,2491.0,304.0,156.0,1025.0,1748.0,1402.0,154.0,115.0,275.0,122.0
1996年,43780.0,187.0,5035.0,3435.0,2976.0,1383.0,11381.0,26961.0,1593.0,2252.0,210.0,13633.0,228.0,15.0,611.0,27171.0,163.0,1376.0,1318.0,247.0,111.0,1029.0,1497.0,2083.0,135.0,96.0,169.0,75.0
1997年,50992.0,170.0,10239.0,4601.0,3494.0,1532.0,17672.0,27185.0,1962.0,2488.0,153.0,20160.0,256.0,7.0,511.0,27338.0,170.0,116.0,490.0,316.0,194.0,962.0,1889.0,2407.0,97.0,73.0,81.0,56.0
1998年,67889.0,182.0,14742.0,6305.0,4733.0,1655.0,26006.0,33717.0,3078.0,3248.0,185.0,29254.0,243.0,17.0,600.0,33902.0,192.0,25.0,311.0,337.0,216.0,1276.0,2949.0,3150.0,111.0,129.0,98.0,74.0
1999年,100156.0,462.0,17360.0,11519.0,7637.0,3097.0,32910.0,56094.0,4540.0,3241.0,274.0,36151.0,425.0,31.0,848.0,56368.0,255.0,66.0,376.0,543.0,170.0,1860.0,4295.0,3111.0,185.0,245.0,130.0,89.0
2000年,105345.0,1016.0,17482.0,12821.0,12683.0,6177.0,34652.0,54407.0,6506.0,3267.0,336.0,37919.0,652.0,28.0,868.0,54743.0,246.0,31.0,301.0,910.0,248.0,1529.0,6222.0,3108.0,261.0,284.0,159.0,75.0
2001年,114251.0,1089.0,19015.0,13783.0,16296.0,5395.0,39865.0,54018.0,10901.0,3731.0,341.0,43596.0,579.0,12.0,943.0,54359.0,146.0,38.0,345.0,800.0,155.0,1473.0,10455.0,3567.0,241.0,446.0,164.0,100.0
2002年,132399.0,1461.0,19802.0,15753.0,21473.0,5868.0,49143.0,57092.0,15605.0,4299.0,392.0,53442.0,697.0,40.0,973.0,57484.0,79.0,38.0,367.0,907.0,140.0,1276.0,15013.0,4106.0,252.0,592.0,193.0,140.0
