,专利申请授权量,企业发明专利申请授权量,企业外观设计专利申请授权量,企业实用新型专利申请授权量,发明专利申请授权量,国内发明专利申请授权量,国内外观设计专利申请授权量,国内实用新型专利申请授权量,国外发明专利申请授权量,国外外观设计专利申请授权量,国外实用新型专利申请授权量,外观设计专利申请授权量,大专院校发明专利申请授权量,大专院校外观设计专利申请授权量,大专院校实用新型专利申请授权量,实用新型专利申请授权量,机关团体发明专利申请授权量,机关团体外观设计专利申请授权量,机关团体实用新型专利申请授权量,科研单位发明专利申请授权量,科研单位外观设计专利申请授权量,科研单位实用新型专利申请授权量,职务发明专利申请授权量,职务外观设计专利申请授权量,职务实用新型专利申请授权量,非职务发明专利申请授权量,非职务外观设计专利申请授权量,非职务实用新型专利申请授权量
2003年,182226.0,3382.0,31002.0,20485.0,37154.0,11404.0,69893.0,68291.0,25750.0,6273.0,615.0,76166.0,1730.0,104.0,1582.0,68906.0,106.0,89.0,456.0,1677.0,270.0,1485.0,24849.0,6113.0,498.0,901.0,160.0,117.0
2004年,190238.0,6128.0,23830.0,22299.0,49360.0,18241.0,63068.0,70019.0,31119.0,7187.0,604.0,70255.0,3484.0,111.0,1910.0,70623.0,158.0,56.0,452.0,2406.0,174.0,1557.0,30089.0,6936.0,485.0,1030.0,251.0,119.0
2005年,214003.0,7712.0,26658.0,24743.0,53305.0,20705.0,72777.0,78137.0,32600.0,8572.0,1212.0,81349.0,4453.0,555.0,2391.0,79349.0,173.0,183.0,458.0,2423.0,170.0,1599.0,31555.0,8254.0,1011.0,1045.0,318.0,201.0
2006年,268002.0,9433.0,31279.0,35667.0,57786.0,25077.0,92471.0,106312.0,32709.0,10090.0,1343.0,102561.0,6198.0,806.0,3453.0,107655.0,216.0,112.0,654.0,2553.0,276.0,2484.0,31757.0,9630.0,1079.0,952.0,460.0,264.0
2007年,351782.0,12851.0,42515.0,53451.0,67948.0,31945.0,121296.0,148391.0,36003.0,12502.0,1645.0,133798.0,8214.0,1057.0,5502.0,150036.0,250.0,2494.0,921.0,3173.0,284.0,3101.0,35132.0,12053.0,1342.0,871.0,449.0,303.0
2008年,411982.0,22493.0,45802.0,70242.0,93706.0,46590.0,130647.0,175169.0,47116.0,10954.0,1506.0,141601.0,10265.0,1652.0,7242.0,176675.0,252.0,1683.0,1269.0,3945.0,238.0,4161.0,46112.0,10598.0,1179.0,1004.0,356.0,327.0
2009年,581992.0,32160.0,90754.0,95407.0,128489.0,65391.0,234282.0,202113.0,63098.0,15419.0,1689.0,249701.0,14391.0,4390.0,9166.0,203802.0,415.0,3721.0,1549.0,5299.0,467.0,4503.0,61422.0,14852.0,1400.0,1676.0,567.0,289.0
2010年,814825.0,40049.0,135680.0,183289.0,135110.0,79767.0,318597.0,342256.0,55343.0,16646.0,2216.0,335243.0,19036.0,8115.0,16002.0,344472.0,507.0,1975.0,2910.0,6557.0,637.0,7074.0,54169.0,15851.0,1903.0,1174.0,795.0,313.0
2011年,960513.0,58364.0,179464.0,236959.0,172113.0,112347.0,366428.0,405086.0,59766.0,13862.0,3024.0,380290.0,26616.0,8678.0,21190.0,408110.0,851.0,4293.0,5180.0,9238.0,523.0,8016.0,58541.0,13250.0,2662.0,1225.0,612.0,362.0
2012年,1255138.0,78651.0,246879.0,359990.0,217105.0,143847.0,452629.0,566750.0,73258.0,14229.0,4425.0,466858.0,33821.0,10073.0,33389.0,571175.0,2234.0,4415.0,9630.0,11248.0,850.0,7754.0,71871.0,13608.0,4085.0,1387.0,621.0,340.0
2013年,1313000.0,79439.0,221575.0,451662.0,207688.0,143535.0,398670.0,686208.0,64153.0,13797.0,6637.0,412467.0,33309.0,8644.0,43085.0,692845.0,1828.0,2040.0,6137.0,12284.0,1275.0,11319.0,62991.0,13116.0,6233.0,1162.0,681.0,404.0
2014年,1302687.0,91874.0,181188.0,497268.0,233228.0,162680.0,346751.0,699971.0,70548.0,14825.0,7912.0,361576.0,38317.0,6571.0,47600.0,707883.0,2408.0,682.0,6949.0,13573.0,769.0,12238.0,69301.0,14021.0,7451.0,1247.0,804.0,461.0
