,1：10000地形图,1：50000地形图,专题地图,地图集,地形图,挂图,测绘基准成果,航摄成果
1978年,,,,,,,,
1979年,,,,,,,,
1980年,,,,,,,,
1981年,,,,,,,,
1982年,,,,,,,,
1983年,,,,,,,,
1984年,,,,,,,,
1985年,,,,,,,,
1986年,,,,,,,,
1987年,,,,,,,,
1988年,,,,,,,,
1989年,,,,,,,,
1990年,,,,,,,,
1991年,,,,,,,,
1992年,,,,,,,,
1993年,,,,,,,,
1994年,,,,,,,,
1995年,,,,,,,,
1996年,,,,,,,,
1997年,,,,,,,,
1998年,,,,,,,,
1999年,153543.0,172463.0,58045.0,7863.0,692420.0,58045.0,47122.0,101040.0
2000年,190233.0,122961.0,34399.0,26975.0,1023936.0,34399.0,53639.0,128287.0
2001年,243308.0,132019.0,20708.0,30519.0,807401.0,20708.0,54066.0,372444.0
2002年,184853.0,136930.0,313598.0,5399.0,695896.0,313598.0,65568.0,302728.0
2003年,195642.0,124309.0,9621.0,5240.0,693979.0,9621.0,147658.0,446685.0
2004年,195363.0,138217.0,9607.0,2597.0,795902.0,9607.0,100737.0,377833.0
2005年,159668.0,132853.0,5189.0,4733.0,658939.0,5189.0,70843.0,351882.0
2006年,183789.0,125054.0,29703.0,4420.0,614425.0,29703.0,152255.0,525403.0
2007年,149847.0,111447.0,10285.0,5465.0,629307.0,10285.0,153334.0,361615.0
2008年,164585.0,116944.0,32774.0,3213.0,523036.0,32774.0,178353.0,461087.0
2009年,145535.0,87336.0,60729.0,4705.0,464886.0,60729.0,282927.0,703784.0
2010年,143753.0,74417.0,53064.0,6185.0,395088.0,53064.0,259973.0,631831.0
2011年,151035.0,56911.0,61590.0,9279.0,451513.0,,178232.0,514225.0
2012年,92086.0,51180.0,171252.0,18291.0,342550.0,,260513.0,3727402.63
2013年,69353.0,38500.0,26218.0,4021.0,302532.0,,257559.0,462179.868164
2014年,74677.0,37153.0,29758.0,,289570.0,,141209.0,194590.068359
