,交通运输、仓储和邮政业基础研究研究与试验发展人员全时当量,交通运输、仓储和邮政业应用研究研究与试验发展人员全时当量,交通运输、仓储和邮政业研究与试验发展折合全时人员,交通运输、仓储和邮政业研究与试验发展折合全时研究人员,交通运输、仓储和邮政业试验发展研究与试验发展人员全时当量,信息传输、计算机服务和软件业基础研究研究与试验发展人员全时当量,信息传输、计算机服务和软件业应用研究研究与试验发展人员全时当量,信息传输、计算机服务和软件业研究与试验发展折合全时人员,信息传输、计算机服务和软件业研究与试验发展折合全时研究人员,信息传输、计算机服务和软件业试验发展研究与试验发展人员全时当量,农、林、牧、渔业基础研究研究与试验发展人员全时当量,农、林、牧、渔业应用研究研究与试验发展人员全时当量,农、林、牧、渔业研究与试验发展折合全时人员,农、林、牧、渔业研究与试验发展折合全时研究人员,农、林、牧、渔业试验发展研究与试验发展人员全时当量,制造业基础研究研究与试验发展人员全时当量,制造业应用研究研究与试验发展人员全时当量,制造业研究与试验发展折合全时人员,制造业研究与试验发展折合全时研究人员,制造业试验发展研究与试验发展人员全时当量,卫生、社会保障和社会福利业基础研究研究与试验发展人员全时当量,卫生、社会保障和社会福利业应用研究研究与试验发展人员全时当量,卫生、社会保障和社会福利业研究与试验发展折合全时人员,卫生、社会保障和社会福利业研究与试验发展折合全时研究人员,卫生、社会保障和社会福利业试验发展研究与试验发展人员全时当量,建筑业基础研究研究与试验发展人员全时当量,建筑业应用研究研究与试验发展人员全时当量,建筑业研究与试验发展折合全时人员,建筑业研究与试验发展折合全时研究人员,建筑业试验发展研究与试验发展人员全时当量,教育基础研究研究与试验发展人员全时当量,教育应用研究研究与试验发展人员全时当量,教育研究与试验发展折合全时人员,教育研究与试验发展折合全时研究人员,教育试验发展研究与试验发展人员全时当量,文化、体育和娱乐业基础研究研究与试验发展人员全时当量,文化、体育和娱乐业应用研究研究与试验发展人员全时当量,文化、体育和娱乐业研究与试验发展折合全时人员,文化、体育和娱乐业研究与试验发展折合全时研究人员,文化、体育和娱乐业试验发展研究与试验发展人员全时当量,水利、环境和公共设施管理业基础研究研究与试验发展人员全时当量,水利、环境和公共设施管理业应用研究研究与试验发展人员全时当量,水利、环境和公共设施管理业研究与试验发展折合全时人员,水利、环境和公共设施管理业研究与试验发展折合全时研究人员,水利、环境和公共设施管理业试验发展研究与试验发展人员全时当量,电力、燃气及水的生产和供应业基础研究研究与试验发展人员全时当量,电力、燃气及水的生产和供应业应用研究研究与试验发展人员全时当量,电力、燃气及水的生产和供应业研究与试验发展折合全时人员,电力、燃气及水的生产和供应业研究与试验发展折合全时研究人员,电力、燃气及水的生产和供应业试验发展研究与试验发展人员全时当量,科学研究、技术服务和地质勘查业基础研究研究与试验发展人员全时当量,科学研究、技术服务和地质勘查业应用研究研究与试验发展人员全时当量,科学研究、技术服务和地质勘查业研究与试验发展折合全时人员,科学研究、技术服务和地质勘查业研究与试验发展折合全时研究人员,科学研究、技术服务和地质勘查业试验发展研究与试验发展人员全时当量,租赁和商务服务业基础研究研究与试验发展人员全时当量,租赁和商务服务业应用研究研究与试验发展人员全时当量,租赁和商务服务业研究与试验发展折合全时人员,租赁和商务服务业研究与试验发展折合全时研究人员,租赁和商务服务业试验发展研究与试验发展人员全时当量,采矿业基础研究研究与试验发展人员全时当量,采矿业应用研究研究与试验发展人员全时当量,采矿业研究与试验发展折合全时人员,采矿业研究与试验发展折合全时研究人员,采矿业试验发展研究与试验发展人员全时当量,金融业基础研究研究与试验发展人员全时当量,金融业应用研究研究与试验发展人员全时当量,金融业研究与试验发展折合全时人员,金融业研究与试验发展折合全时研究人员,金融业试验发展研究与试验发展人员全时当量
1978年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
