,人民检察院适用简易程序案件数,人民检察院适用简易程序的军人违反职责案件数,人民检察院适用简易程序的刑事案件数,人民检察院适用简易程序的渎职侵权案件数,人民检察院适用简易程序的贪污贿赂案件数
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,,,,,
1991年,,,,,
1992年,,,,,
1993年,,,,,
1994年,,,,,
1995年,,,,,
1996年,,,,,
1997年,,,,,
1998年,,,,,
1999年,,,,,
2000年,,,,,
2001年,,,,,
2002年,,,,,
2003年,,,,,
2004年,,,,,
2005年,,,,,
2006年,,,,,
2007年,267340.0,,264192.0,658.0,2490.0
2008年,286259.0,,283223.0,802.0,2234.0
2009年,282909.0,,280259.0,777.0,1873.0
2010年,286837.0,,284151.0,786.0,1900.0
2011年,328209.0,,325983.0,627.0,1599.0
2012年,404384.0,,402306.0,681.0,1397.0
2013年,490021.0,,484824.0,1070.0,4127.0
2014年,,,,,
