,人民检察院再审出庭公诉案件数,人民检察院军人违反职责再审出庭公诉案件数,人民检察院刑事案件再审出庭公诉案件数,人民检察院渎职侵权再审出庭公诉案件数,人民检察院贪污贿赂再审出庭公诉案件数
1978年,0,0,0,0,0
1979年,0,0,0,0,0
1980年,0,0,0,0,0
1981年,0,0,0,0,0
1982年,0,0,0,0,0
1983年,0,0,0,0,0
1984年,0,0,0,0,0
1985年,0,0,0,0,0
1986年,0,0,0,0,0
1987年,0,0,0,0,0
1988年,0,0,0,0,0
1989年,0,0,0,0,0
1990年,0,0,0,0,0
1991年,0,0,0,0,0
1992年,0,0,0,0,0
1993年,0,0,0,0,0
1994年,0,0,0,0,0
1995年,0,0,0,0,0
1996年,0,0,0,0,0
1997年,0,0,0,0,0
1998年,0,0,0,0,0
1999年,0,0,0,0,0
2000年,0,0,0,0,0
2001年,0,0,0,0,0
2002年,0,0,0,0,0
2003年,0,0,0,0,0
2004年,0,0,0,0,0
2005年,0,0,0,0,0
2006年,0,0,0,0,0
2007年,265,0,182,21,62
2008年,349,0,275,15,59
2009年,401,0,313,16,72
2010年,697,0,554,21,122
2011年,759,0,604,22,133
2012年,850,0,710,20,120
2013年,670,0,596,9,65
2014年,0,0,0,0,0
