,人民检察院军人违反职责出庭公诉案件数,人民检察院出庭公诉案件数,人民检察院刑事案件出庭公诉案件数,人民检察院渎职侵权出庭公诉案件数,人民检察院贪污贿赂出庭公诉案件数
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,,,,,
1991年,,,,,
1992年,,,,,
1993年,,,,,
1994年,,,,,
1995年,,,,,
1996年,,,,,
1997年,,,,,
1998年,,,,,
1999年,,,,,
2000年,,,,,
2001年,,,,,
2002年,,,,,
2003年,,,,,
2004年,,,,,
2005年,,,,,
2006年,,,,,
2007年,1.0,410729.0,389874.0,3047.0,17807.0
2008年,5.0,438430.0,414859.0,3639.0,19927.0
2009年,3.0,446506.0,422689.0,3916.0,19898.0
2010年,2.0,464140.0,436276.0,4706.0,23156.0
2011年,,480739.0,454827.0,4695.0,21217.0
2012年,1.0,557410.0,526216.0,6005.0,25188.0
2013年,,420415.0,393411.0,5702.0,21302.0
2014年,,,,,
