,人民检察院二审出庭公诉案件数,人民检察院军人违反职责二审出庭公诉案件数,人民检察院刑事案件二审出庭公诉案件数,人民检察院渎职侵权二审出庭公诉案件数,人民检察院贪污贿赂二审出庭公诉案件数
1978年,,,,,
1979年,,,,,
1980年,,,,,
1981年,,,,,
1982年,,,,,
1983年,,,,,
1984年,,,,,
1985年,,,,,
1986年,,,,,
1987年,,,,,
1988年,,,,,
1989年,,,,,
1990年,,,,,
1991年,,,,,
1992年,,,,,
1993年,,,,,
1994年,,,,,
1995年,,,,,
1996年,,,,,
1997年,,,,,
1998年,,,,,
1999年,,,,,
2000年,,,,,
2001年,,,,,
2002年,,,,,
2003年,,,,,
2004年,,,,,
2005年,,,,,
2006年,,,,,
2007年,9565.0,,8747.0,87.0,731.0
2008年,10968.0,,9913.0,117.0,938.0
2009年,10956.0,,9966.0,110.0,880.0
2010年,11992.0,,10690.0,127.0,1175.0
2011年,13185.0,,11810.0,146.0,1229.0
2012年,17906.0,,16239.0,169.0,1498.0
2013年,23735.0,,21494.0,212.0,2029.0
2014年,,,,,
