,县文化馆举办展览,县文化馆举办训练班班次,县文化馆从业人员数,县文化馆办文艺团体数,县文化馆办文艺团体演出场次,县文化馆办老年大学数,县文化馆参加培训人次,县文化馆参加文艺活动人次,县文化馆参加研讨和讲座人次,县文化馆参观展览人次,县文化馆拥有计算机台数,县文化馆支出,县文化馆收入,县文化馆数,县文化馆组织各类理论研讨和讲座次数,县文化馆组织文艺活动,县文化馆群众业余文艺团体数,县文化馆藏书
1978年,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,
2008年,8938.0,26520.0,,2817.0,,301.0,,,,,4459.0,128278.6,13.26226,1743.0,3727.0,50043.0,32314.0,223.4
2009年,8495.0,20082.0,,1917.0,31289.0,369.0,109.393,,,,4503.0,101800.0,10.33,1643.0,3995.0,49983.0,27794.0,153.876
2010年,8425.0,24667.0,21338.0,2166.0,31751.0,417.0,136.8,,,,5433.0,118000.0,12.3,1666.0,4696.0,52583.0,33907.0,159.5
2011年,8658.0,27378.0,21589.0,3276.0,46484.0,304.0,197.64,4799.0,113.29,1321.84,8410.0,153344.7,15.92222,1669.0,5639.0,58519.0,23351.0,165.93
2012年,9625.0,30783.0,22606.0,3247.0,51882.0,325.0,253.52,5412.19,134.77,1684.59,10920.0,190859.8,19.63896,1668.0,7320.0,62690.0,24856.0,198.25
2013年,9962.0,31090.0,23534.0,2397.0,56954.0,333.0,249.0,6009.0,,5093.0,13062.0,234900.0,23.77,1671.0,,66732.0,26992.0,203.0
2014年,10980.0,36875.0,23479.0,2500.0,70377.0,334.0,293.081,5793.673,145.3,1659.254,16163.0,236260.1,24.16937,1666.0,7991.0,130687.0,31749.0,232.92
