,当年人工造林面积,当年飞机播种面积,无林地和疏林地新封山育林,特种用林当年造林面积,用材林当年造林面积,经济林当年造林面积,薪炭林当年造林面积,造林总面积,防护林当年造林面积
1978年,,,,,,,,,
1979年,,,,,,,,,
1980年,,,,,,,,,
1981年,,,,,,,,,
1982年,,,,,,,,,
1983年,,,,,,,,,
1984年,,,,,,,,,
1985年,,,,,,,,,
1986年,,,,,,,,,
1987年,,,,,,,,,
1988年,,,,,,,,,
1989年,,,,,,,,,
1990年,,,,,,,,,
1991年,,,,,,,,,
1992年,,,,,,,,,
1993年,,,,,,,,,
1994年,,,,,,,,,
1995年,,,,,,,,,
1996年,,,,,,,,,
1997年,,,,,,,,,
1998年,,,,,,,,,
1999年,,,,,,,,,
2000年,,,,,,,,,
2001年,,,,,,,,,
2002年,,,,,,,,,
2003年,,,,,,,,,
2004年,5018.88467,579.194,,9.522,871.132,456.691,49.966,5598.07867,4210.76767
2005年,3231.55598,416.3864,0.0,8.291,607.547,337.81633,16.07433,3647.94238,2678.21372
2006年,2446.1222,271.803,0.0,3.45,481.629,403.3224,4.837,2717.9252,1824.6868
2007年,2738.521,118.671,1050.519,20.762,610.367,478.417,7.993,3907.711,2790.172
2008年,3684.913,154.065,1515.409,19.672,782.109,850.774,4.02,5354.387,3697.812
2009年,4156.293,226.337,1879.7,27.099,801.317,1002.555,23.705,6262.33,4407.654
2010年,3872.762,195.948,1841.209,26.767,809.937,1110.896,18.887,5909.919,3943.432
2011年,4065.693,196.931,1733.989,33.38,1019.32,1218.281,36.805,5996.613,3688.827
2012年,3820.704,136.409,1638.678,28.353,774.398,1101.053,41.145,5595.791,3650.842
2013年,4209.686,154.4,1735.971,35.516,1057.558,1233.676,24.898,6100.057,3748.409
2014年,4052.912,108.055,1388.645,42.456,1092.351,1139.192,36.95,5549.612,3238.663
