,森林病害发生面积,森林病害防治率,森林病害防治面积,森林病虫鼠害发生面积,森林病虫鼠害防治率,森林病虫鼠害防治面积,森林虫害发生面积,森林虫害防治率,森林虫害防治面积,森林鼠害发生面积,森林鼠害防治率,森林鼠害防治面积
1978年,,,,,,,,,,,,
1979年,,,,,,,,,,,,
1980年,,,,,,,,,,,,
1981年,,,,,,,,,,,,
1982年,,,,,,,,,,,,
1983年,,,,,,,,,,,,
1984年,,,,,,,,,,,,
1985年,,,,,,,,,,,,
1986年,,,,,,,,,,,,
1987年,,,,,,,,,,,,
1988年,,,,,,,,,,,,
1989年,,,,,,,,,,,,
1990年,,,,,,,,,,,,
1991年,,,,,,,,,,,,
1992年,,,,,,,,,,,,
1993年,,,,,,,,,,,,
1994年,,,,,,,,,,,,
1995年,,,,,,,,,,,,
1996年,,,,,,,,,,,,
1997年,,,,,,,,,,,,
1998年,,,,,,,,,,,,
1999年,,,,,,,,,,,,
2000年,,,,,,,,,,,,
2001年,,,,,,,,,,,,
2002年,,,,,,,,,,,,
2003年,,,,,,,,,,,,
2004年,75.787441,75.0,56.7132,944.83724,68.0,639.5228,744.032877,67.0,494.854,125.016924,70.355013694,87.955674
2005年,101.2022,69.7768101879,70.615667,961.028133333,66.6733239235,640.749400333,726.093666667,68.6566012374,498.511233333,133.732366667,53.5565935048,71.6225
2006年,103.8669,69.1275083785,71.8006,1100.6671,66.8202523816,735.4682,829.8667,67.1434179903,557.2008,166.9335,63.7779714677,106.4668
2007年,110.946706667,77.4048152609,85.8780933333,1209.68318533,66.232534522,801.203833333,887.717012,68.0995030129,604.530873333,211.019466667,52.5045714582,110.794866667
2008年,116.8315,77.4441253714,90.4791333333,1141.83773333,68.6575926784,783.9583,843.192133333,69.99925363,590.2282,181.8141,56.7893065866,103.250966667
2009年,103.123621,79.395317199,81.875326,1141.971372,71.7516873969,819.383729,850.299279,75.0494202171,638.144679,188.548472,52.6992995202,99.363724
2010年,129.0648,69.3880128432,89.5555,1164.243,69.7759316569,812.3614,852.3175,73.7632865687,628.6974,182.8607,51.4645847905,94.1085
2011年,119.7227,66.175837999,79.2275,1168.1424,62.3637494881,728.4974,845.9102,64.6139389264,546.5759,202.5095,50.7107073989,102.694
2012年,131.1633,,84.255,1176.8988,66.4961847187,782.5928,846.2864,,572.9317,199.4491,,125.4061
2013年,139.171897865,,89.8786802616,1223.0451927,62.6984907523,766.830877044,847.45997106,,589.558889406,224.252989019,,82.966239343
2014年,137.277759682,,86.7109407259,1206.44674232,65.2688019452,787.433334818,841.281046079,,599.537350524,211.600249154,,96.0292477355
