,无害化处理厂数,生活垃圾卫生填埋无害化处理厂数,生活垃圾卫生填埋无害化处理能力,生活垃圾卫生填埋无害化处理量,生活垃圾堆肥无害化处理厂数,生活垃圾堆肥无害化处理能力,生活垃圾堆肥无害化处理量,生活垃圾无害化处理率,生活垃圾无害化处理能力,生活垃圾无害化处理量,生活垃圾清运量,生活垃圾焚烧无害化处理厂数,生活垃圾焚烧无害化处理能力,生活垃圾焚烧无害化处理量,粪便无害化处理量,粪便清运量
1978年,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,
2004年,559.0,444.0,205889.0,6888.9,61.0,15347.0,730.01,52.1191156274,238519.0,8088.71,15509.3,54.0,16907.0,449.0,2557.77,3576.3
2005年,471.0,356.0,211085.0,6857.11,46.0,11767.0,345.43,51.6864824611,256312.0,8051.1,15576.8,67.0,33010.0,791.04,2713.79,3804.6
2006年,419.0,324.0,206626.0,6408.2,20.0,9506.0,288.2,52.15,258048.0,7872.6,14841.3,69.0,39966.0,1137.6,855.2,2130.5
2007年,460.0,366.0,215179.0,7632.68,17.0,7890.0,249.97,62.03,271791.0,9437.69,15214.53,66.0,44682.0,1435.05,908.32,2506.29
2008年,509.0,407.0,253268.0,8424.01,14.0,5386.0,174.01,66.76,315153.0,10306.6,15437.7,74.0,51606.0,1569.74,903.91,2330.71
2009年,567.0,447.0,273498.0,8898.61,16.0,6979.0,178.83,71.39,356130.0,11232.29,15733.68,93.0,71253.0,2021.96,846.13,2140.96
2010年,628.0,498.0,289957.0,9598.3,11.0,5480.0,180.8,77.9,387607.0,12317.8,15804.8,104.0,84940.0,2316.7,690.8,1950.52
2011年,677.0,547.0,300195.0,10063.74,,,2599.28,79.7,409119.0,13089.64,16395.28,109.0,94114.0,2599.28,652.83,1962.86
2012年,701.0,540.0,310927.0,10512.49,,,,84.83,446268.0,14489.54,17080.87,138.0,122649.0,3584.06,801.38,1811.8
2013年,765.0,580.0,322782.0,10492.69,,,,89.3,492300.0,15393.98,17238.58,166.0,158488.0,4633.72,677.84,1682.41
2014年,818.0,604.0,335316.0,10744.25,,,,91.79,533455.0,16393.74,17860.18,188.0,185957.0,5329.88,691.97,1551.97
