,中外合作经营零售业企业商品出口额,中外合资经营零售业企业商品出口额,其他外商投资零售业企业商品出口额,其他有限责任公司零售业企业商品出口额,其他港澳台商投资零售业企业商品出口额,其他联营零售业企业商品出口额,其他零售业企业商品出口额,内资零售业企业商品出口额,国有与集体联营零售业企业商品出口额,国有独资公司零售业企业商品出口额,国有联营零售业企业商品出口额,国有零售业企业商品出口额,外商投资股份有限公司零售业企业商品出口额,外商投资零售业企业商品出口额,外资零售业企业商品出口额,有限责任公司零售业企业商品出口额,港澳台商合作经营零售业企业商品出口额,港澳台商合资经营零售业企业商品出口额,港澳台商投资股份有限公司零售业企业商品出口额,港澳台商投资零售业企业商品出口额,港澳台商独资经营零售业企业商品出口额,私营合伙零售业企业商品出口额,私营有限责任公司零售业企业商品出口额,私营独资零售业企业商品出口额,私营股份有限公司零售业企业商品出口额,私营零售业企业商品出口额,联营零售业企业商品出口额,股份合作零售业企业商品出口额,股份有限公司零售业企业商品出口额,集体联营零售业企业商品出口额,集体零售业企业商品出口额,零售业企业商品出口额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.3
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6
2009年,0.0727,,,2.38445,,,0.3786,21.79041,,,,7.09936,,0.27842,0.18013,2.38445,,,,0.06933,,,6.70289,,0.7321,7.48726,,,4.38497,,,22.1
2010年,0.0699,,,3.31686,,,1.20557,41.67108,,0.07597,,6.19732,,0.3308,0.2609,3.39283,,0.05285,,2.51209,2.45924,,13.01432,0.17165,0.755,13.94097,,,16.90439,,,44.5
2011年,,0.2704,,16.2058,,,0.772,51.2931,,,,4.8534,,2.6373,2.3247,16.2058,,0.0564,,0.1798,0.1234,,20.6984,2.0519,0.2045,22.9771,,,6.0971,,0.3876,54.1101
2012年,,0.28627,,14.16333,,,1.66182,50.96815,,,,5.98597,0.21998,2.48501,1.97876,14.19677,,1.90436,8.9309,11.54405,0.70879,0.46831,25.08898,0.65738,0.45228,26.66695,,,2.33814,,0.1085,64.99721
2013年,,1.44792,,13.96491,,,0.23299,46.34946,,0.95282,,0.81761,,2.8,1.41821,14.91773,,0.05707,,0.59159,0.53452,,23.30124,,0.19466,23.51616,,,6.75617,,0.1088,49.80718
2014年,,0.54026,,50.10185,,,0.06827,101.39792,,0.16197,,1.40777,,1.535,0.99474,50.26382,,0.77118,,1.58286,0.79052,0.00012,44.66163,0.05732,0.32743,45.0465,,0.0799,4.40376,,0.1279,104.5158
