,五金、家具及室内装修材料专门零售商品出口额,体育用品零售商品出口额,医药及医疗器材专门零售商品出口额,图书零售商品出口额,家用电器及电子产品专门零售商品出口额,家用电器零售商品出口额,文化、体育用品及器材专门零售商品出口额,无店铺及其他零售商品出口额,服装零售商品出口额,机动车燃料零售商品出口额,汽车、摩托车、燃料及零配件专门零售商品出口额,汽车零售商品出口额,百货零售商品出口额,纺织、服装及日用品专门零售商品出口额,综合零售商品出口额,药品零售商品出口额,计算机、软件及辅助设备零售商品出口额,超级市场零售商品出口额,通信设备零售商品出口额,邮购及电子出口商品出口额,食品、饮料及烟草制品专门零售商品出口额
1978年,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,
2009年,1.22039,,0.44058,0.20691,1.82432,0.96547,1.7517,0.24532,0.3966,0.76051,9.51161,8.29413,4.61732,1.25454,4.7598,0.30001,0.46145,,,0.0907,1.1299
2010年,1.87934,,0.06195,0.24347,0.93244,0.59395,2.41519,3.07929,2.28969,,16.72543,16.0708,6.25453,3.43903,6.58861,,0.2182,,,0.33964,9.39269
2011年,2.7269,0.7755,0.0786,0.2046,3.3922,1.6497,3.965,4.6449,3.9195,0.5552,19.8107,17.0036,6.6548,10.0441,7.3439,0.067,1.1303,,0.5334,,2.1039
2012年,4.53652,0.27576,0.27717,0.69931,5.89405,1.83433,4.24405,4.78911,10.25799,1.00471,17.53176,13.13547,4.08428,16.67196,5.46985,0.05659,0.28065,0.70427,0.64759,0.2,5.58274
2013年,2.88119,0.19466,0.97995,0.81915,0.59196,0.06732,4.21019,3.63688,2.2879,0.18913,19.97264,16.83045,0.89718,7.056,3.78481,0.94709,0.45497,2.54186,,1.44826,6.69356
2014年,6.0628,0.10423,1.61702,0.83439,2.71283,1.8653,5.74729,34.73899,2.54694,0.1895,16.86212,14.59682,2.70352,8.45094,4.79064,1.1893,0.01009,1.69636,0.14201,29.58283,23.53315
