,五金、家具及室内装修材料专门零售商品进口额,体育用品零售商品进口额,医药及医疗器材专门零售商品进口额,图书零售商品进口额,家用电器及电子产品专门零售商品进口额,家用电器零售商品进口额,文化、体育用品及器材专门零售商品进口额,无店铺及其他零售商品进口额,服装零售商品进口额,机动车燃料零售商品进口额,汽车、摩托车、燃料及零配件专门零售商品进口额,汽车零售商品进口额,百货零售商品进口额,纺织、服装及日用品专门零售商品进口额,综合零售商品进口额,药品零售商品进口额,计算机、软件及辅助设备零售商品进口额,超级市场零售商品进口额,通信设备零售商品进口额,邮购及电子销售商品进口额,食品、饮料及烟草制品专门零售商品进口额
1978年,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,
2009年,4.12795,1.11807,9.55514,4.42541,8.78721,1.98569,22.04611,29.14055,42.72673,3.34291,446.53108,441.23781,19.15156,50.3236,26.96195,1.37872,2.87954,5.37237,1.54793,0.61093,11.36677
2010年,10.3079,2.00846,14.3299,11.4375,21.15501,7.18964,32.23871,29.10667,48.67234,2.16448,907.5282,892.84205,42.41115,59.58054,52.94526,0.56405,3.60495,7.77294,4.28576,1.93901,14.45746
2011年,10.5019,0.3718,21.1193,13.6967,41.5217,4.8536,78.2382,43.4602,62.6164,16.5457,1427.9724,1392.4385,84.0582,91.1259,119.6723,3.0864,4.2107,31.9283,1.6911,0.3274,13.2346
2012年,8.09327,,27.26603,25.63858,35.33115,4.9352,81.46526,77.38347,91.07331,10.16394,1722.7256,1695.60504,93.0859,130.00629,142.10342,3.1854,12.66309,46.969,9.75446,36.3,11.62959
2013年,9.24744,,26.39733,29.20538,17.6786,6.24134,82.75139,31.39837,116.40528,5.18183,2098.09582,2085.70796,74.05523,158.30574,95.93565,1.58919,2.05161,17.80394,2.74276,2.32767,26.05149
2014年,16.17299,0.15267,45.6832,31.33444,24.87819,7.43069,51.45209,34.26036,93.12416,12.6241,2579.98317,2558.02482,137.26068,148.96215,180.47559,17.0522,2.91839,25.47016,3.16494,4.01705,34.45035
