,专用设备制造业大中型工业企业负债合计,交通运输设备制造业大中型工业企业负债合计,仪器仪表及文化、办公用机械制造业大中型工业企业负债合计,其他采矿业大中型工业企业负债合计,农副食品加工业大中型工业企业负债合计,化学原料及化学制品制造业大中型工业企业负债合计,化学纤维制造业大中型工业企业负债合计,医药制造业大中型工业企业负债合计,印刷业和记录媒介的复制大中型工业企业负债合计,塑料制品业大中型工业企业负债合计,大中型工业企业负债合计,家具制造业大中型工业企业负债合计,工艺品及其他制造业大中型工业企业负债合计,废弃资源和废旧材料回收加工业大中型工业企业负债合计,文教体育用品制造业大中型工业企业负债合计,有色金属冶炼及压延加工业大中型工业企业负债合计,有色金属矿采选业大中型工业企业负债合计,木材加工及木、竹、藤、棕、草制品业大中型工业企业负债合计,橡胶制品业大中型工业企业负债合计,水的生产和供应业大中型工业企业负债合计,烟草制品业大中型工业企业负债合计,煤炭开采和洗选业大中型工业企业负债合计,燃气生产和供应业大中型工业企业负债合计,电力、热力的生产和供应业大中型工业企业负债合计,电气机械及器材制造业大中型工业企业负债合计,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业负债合计,石油加工、炼焦及核燃料加工业大中型工业企业负债合计,石油和天然气开采业大中型工业企业负债合计,纺织业大中型工业企业负债合计,纺织服装、鞋、帽制造业大中型工业企业负债合计,通信设备、计算机及其他电子设备制造大中型工业企业负债合计,通用设备制造业大中型工业企业负债合计,造纸及纸制品业大中型工业企业负债合计,金属制品业大中型工业企业负债合计,非金属矿物制品业大中型工业企业负债合计,非金属矿采选业大中型工业企业负债合计,食品制造业大中型工业企业负债合计,饮料制造业大中型工业企业负债合计,黑色金属冶炼及压延加工业大中型工业企业负债合计,黑色金属矿采选业大中型工业企业负债合计
2003年,2201.41718,6040.06152,504.17922,20.9755,1347.80238,4353.08307,733.98746,1543.75946,289.29108,710.20789,72684.52,183.51381,198.40422,3.53423,206.76489,2105.37585,250.13584,240.79909,689.46159,511.91268,1126.86215,2767.48881,268.64753,12896.4894,3005.01031,417.98309,1819.77093,1715.89944,3247.2468,679.95702,6280.95824,2673.72503,1410.08664,853.05681,2632.21468,259.78406,796.57318,1197.67662,6333.09119,167.3296
2004年,2234.5,6932.34,619.59,3.48,1563.73,4596.88,929.61,1481.2,320.99,890.54,87698.21,274.56,384.93,12.14,251.59,2663.49,285.7,275.28,837.38,662.22,1063.66,3865.64,304.27,16247.73,3699.82,508.78,2350.42,2164.4,3428.63,788.09,8096.78,3459.84,1622.16,1067.53,3029.38,200.49,960.8,1200.31,8166.4,252.95
2005年,2620.23699,8351.78914,721.79771,1.14205,1737.79006,5764.68965,1171.97746,1835.87272,370.85604,1058.96509,102529.69,330.61542,369.42984,12.29678,295.3405,3222.02488,344.87288,296.81861,873.03881,747.12927,1031.34296,4844.33877,376.48721,16998.97121,4562.95413,671.47694,3241.47779,2227.64739,3967.39561,963.61478,9891.25569,3976.62965,1914.04003,1210.31289,3488.12859,197.37607,1133.87579,1254.27303,10099.02019,352.38439
2006年,3051.9401,9916.19167,916.7594,,2023.37703,6848.36487,1300.63038,1989.85882,406.10954,1257.47623,121016.54,411.82869,461.26765,38.931,345.19142,4144.22429,484.89571,360.79828,1022.79343,1108.23943,1065.90247,6037.83619,438.02606,19790.70221,5601.1776,747.00975,3794.5866,2928.19552,4410.06154,1170.37393,10830.26373,4504.75502,2191.52753,1584.89891,3758.34882,252.595,1238.27481,1441.221,12692.57264,449.32877
2007年,3835.92816,13392.43932,1040.56344,,2543.88822,8079.44416,1576.27435,2139.31573,484.34209,1404.30601,147160.52,531.38053,663.15898,24.34259,395.58683,5133.25269,565.29879,449.01819,1204.46601,1281.16368,911.74348,7561.84621,580.32382,22963.25177,6934.83995,906.17091,4713.46523,3706.54068,5080.18635,1388.69609,13208.76743,5504.31044,2509.30026,2090.75306,4377.47538,236.82571,1443.0572,1752.08625,15974.01294,572.70102
2008年,5104.1408,16186.29063,1138.55275,,3008.00117,9730.83507,1500.12877,2373.07356,498.13985,1567.94266,177416.34,542.24234,652.82,108.61792,441.73617,6243.37409,653.87391,496.94422,1434.26022,1346.22591,1020.75147,10086.32918,745.73237,29351.59601,8007.66655,923.90873,6503.16252,4803.8714,5126.23201,1627.63755,13442.91641,6983.08954,2981.34604,2407.24751,5464.9888,281.53675,1651.02765,2024.71299,20082.63098,872.75068
2009年,5815.93259,20106.4056,1274.26121,,3643.62106,11517.77902,1584.63822,2723.2925,508.96385,1603.26956,206323.41,560.8441,724.19691,125.27471,434.91504,7589.82539,752.92596,506.77614,1424.2399,1595.17365,1160.58183,12226.74333,1596.28423,33985.35889,9486.47591,999.2206,7279.79806,6432.92218,5270.93477,1639.29917,14876.75038,7808.61365,3195.3809,2670.13071,6174.78139,333.33759,1868.19643,2273.84149,23630.17751,922.24067
2010年,7350.26319,26037.85231,1611.72704,0.07,4901.43328,14614.33151,2017.64477,3163.18372,556.95322,1916.24449,249848.16,753.85793,895.65253,230.84053,485.88797,9652.98136,940.18295,553.40962,1704.16087,1869.44753,1296.38075,15284.46571,1074.14119,38676.33338,12902.87262,1208.14521,8603.69481,6938.73307,6188.91672,2009.66884,17798.79237,9269.40674,3762.91509,3313.94534,7651.16026,360.58532,2238.66221,2744.87895,27132.74844,2135.58775
2011年,9052.68488,29110.5422,2061.70051,0.07175,6285.36921,17721.78158,2551.85034,3928.56467,683.79677,2220.20063,299089.26,942.92569,1377.37086,306.75407,574.01531,11619.89318,1104.12969,666.76559,2150.18801,2078.58327,1438.23297,20440.94305,1177.78312,42421.67461,16222.27653,1346.34387,10829.65461,8956.92643,7004.47143,2730.8949,21848.89352,10920.57005,4590.25508,4044.6732,9408.10536,490.16803,2794.79907,3513.14437,31727.03576,2745.22918
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
