,专用设备制造业大中型工业企业利润总额,交通运输设备制造业大中型工业企业利润总额,仪器仪表及文化、办公用机械制造业大中型工业企业利润总额,其他采矿业大中型工业企业利润总额,农副食品加工业大中型工业企业利润总额,化学原料及化学制品制造业大中型工业企业利润总额,化学纤维制造业大中型工业企业利润总额,医药制造业大中型工业企业利润总额,印刷业和记录媒介的复制大中型工业企业利润总额,塑料制品业大中型工业企业利润总额,大中型工业企业利润总额,家具制造业大中型工业企业利润总额,工艺品及其他制造业大中型工业企业利润总额,废弃资源和废旧材料回收加工业大中型工业企业利润总额,文教体育用品制造业大中型工业企业利润总额,有色金属冶炼及压延加工业大中型工业企业利润总额,有色金属矿采选业大中型工业企业利润总额,木材加工及木、竹、藤、棕、草制品业大中型工业企业利润总额,橡胶制品业大中型工业企业利润总额,水的生产和供应业大中型工业企业利润总额,烟草制品业大中型工业企业利润总额,煤炭开采和洗选业大中型工业企业利润总额,燃气生产和供应业大中型工业企业利润总额,电力、热力的生产和供应业大中型工业企业利润总额,电气机械及器材制造业大中型工业企业利润总额,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业利润总额,石油加工、炼焦及核燃料加工业大中型工业企业利润总额,石油和天然气开采业大中型工业企业利润总额,纺织业大中型工业企业利润总额,纺织服装、鞋、帽制造业大中型工业企业利润总额,通信设备、计算机及其他电子设备制造大中型工业企业利润总额,通用设备制造业大中型工业企业利润总额,造纸及纸制品业大中型工业企业利润总额,金属制品业大中型工业企业利润总额,非金属矿物制品业大中型工业企业利润总额,非金属矿采选业大中型工业企业利润总额,食品制造业大中型工业企业利润总额,饮料制造业大中型工业企业利润总额,黑色金属冶炼及压延加工业大中型工业企业利润总额,黑色金属矿采选业大中型工业企业利润总额
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,106.59965,688.36197,56.95319,0.95531,95.10996,305.98943,51.75867,207.28625,42.99418,66.33408,6522.98,15.67805,20.49544,0.11058,22.75299,125.30769,27.88673,13.46861,41.56291,-0.27333,272.96742,107.39065,5.02139,609.48773,249.98315,48.97779,95.68478,1140.83693,162.10747,77.5868,535.72571,191.11969,73.84194,84.43307,174.26619,8.21457,81.47359,125.50495,576.00462,13.01471
2004年,148.25,671.51,56.84,0.08,144.8,619.02,38.87,207.16,49.93,88.02,9183.91,29.44,35.67,0.41,24.91,241.18,73.99,20.74,49.73,4.54,362.96,259.81,9.6,781.24,331.25,51.01,244.67,1593.45,149.13,88.85,757.02,272.42,99.67,120.38,240.66,10.4,94.72,122.05,1019.39,70.15
2005年,176.96553,529.95155,85.2709,0.59379,196.9609,658.7406,34.52535,253.23644,49.57052,96.32708,11011.76,32.68327,41.19192,0.98095,28.47007,342.77531,147.79339,27.96419,71.23938,-4.81432,401.7874,405.96298,4.55354,963.28576,428.27424,76.956,-163.75423,2749.04603,249.64202,124.71176,787.00852,361.09198,111.95447,160.25553,192.69123,22.08099,145.58733,167.66149,971.34556,81.18637
2006年,275.92933,821.12071,114.92041,0.0,268.13188,693.12563,52.0311,271.44224,60.83597,109.06983,14363.23,48.33789,56.94799,1.77106,27.72637,735.29489,242.68566,36.62867,63.90826,15.25165,461.98647,505.15787,12.06144,1439.99068,561.65995,93.28003,-379.36997,3430.7834,307.52897,167.31338,986.19557,466.15129,152.80245,192.07094,281.62059,26.71956,181.22557,225.54566,1259.65724,95.69094
2007年,466.02523,1413.58284,163.69655,0.0,404.10438,1146.2255,122.55207,418.42274,83.36365,164.12071,19626.65,52.51566,72.72184,2.9662,34.79207,980.68321,278.05685,56.31956,109.22529,15.65191,603.78348,752.67783,34.16118,1695.00849,844.30188,137.91671,87.9992,3323.46919,413.28034,207.76933,1254.77656,634.28877,240.26141,239.07374,491.86251,30.96601,249.65496,336.76605,1874.19693,189.40693
2008年,571.44666,1731.92323,192.7571,0.0,450.74477,929.34235,43.69418,548.30294,95.5061,195.52236,19929.23,51.8286,94.22618,9.80327,28.56595,535.06362,254.12552,75.30689,84.40945,4.98748,702.69926,1754.8661,54.27875,394.94661,1218.34008,178.82356,-1116.14038,4454.19203,429.77951,258.85031,1326.17391,787.58663,233.00276,303.748,627.93948,47.64258,280.00893,378.07413,1306.54873,410.31356
2009年,659.03648,2548.48805,229.20568,0.0,579.34644,1038.58923,129.45712,689.16523,114.21413,216.73833,22265.68,78.20846,99.93095,21.75716,53.22388,602.47915,186.98392,82.26147,204.50775,3.02236,640.95788,1670.91697,77.98794,929.57568,1479.73673,240.03634,803.48186,1790.13129,531.25207,356.51253,1500.01502,898.50272,271.20367,355.61554,834.39497,46.85922,451.29659,521.70115,1109.36593,219.52017
2010年,1083.00812,4160.40729,330.19824,0.58,1013.02026,1911.34962,294.31668,911.99708,135.14387,329.19253,34977.19,122.82745,166.50576,37.46275,72.70977,1069.76199,336.95703,116.83078,242.62605,25.85043,728.27531,2685.65748,141.25818,1527.52944,2143.54664,376.12845,1017.51489,2887.76678,885.78274,498.55699,2460.15863,1372.86089,397.76066,610.14507,1296.52705,62.16021,637.90418,703.18157,1692.407,491.31894
2011年,1268.27849,4744.95029,394.38059,0.01461,1303.32436,2445.37297,300.93286,1109.94317,170.85331,411.38364,41743.78,172.89688,232.18743,76.97828,94.63659,1367.91861,485.4055,184.06476,272.84402,31.75954,803.39577,3742.27451,187.18982,1544.04497,2297.54814,489.57315,208.01415,4258.14533,1147.47487,652.74673,2434.09844,1588.71188,419.08056,711.74917,1798.35322,133.03997,812.38405,997.34025,1757.47691,693.00756
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
