,专用设备制造业大中型工业企业存货,交通运输设备制造业大中型工业企业存货,仪器仪表及文化、办公用机械制造业大中型工业企业存货,其他采矿业大中型工业企业存货,农副食品加工业大中型工业企业存货,化学原料及化学制品制造业大中型工业企业存货,化学纤维制造业大中型工业企业存货,医药制造业大中型工业企业存货,印刷业和记录媒介的复制大中型工业企业存货,塑料制品业大中型工业企业存货,大中型工业企业存货,家具制造业大中型工业企业存货,工艺品及其他制造业大中型工业企业存货,废弃资源和废旧材料回收加工业大中型工业企业存货,文教体育用品制造业大中型工业企业存货,有色金属冶炼及压延加工业大中型工业企业存货,有色金属矿采选业大中型工业企业存货,木材加工及木、竹、藤、棕、草制品业大中型工业企业存货,橡胶制品业大中型工业企业存货,水的生产和供应业大中型工业企业存货,烟草制品业大中型工业企业存货,煤炭开采和洗选业大中型工业企业存货,燃气生产和供应业大中型工业企业存货,电力、热力的生产和供应业大中型工业企业存货,电气机械及器材制造业大中型工业企业存货,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业存货,石油加工、炼焦及核燃料加工业大中型工业企业存货,石油和天然气开采业大中型工业企业存货,纺织业大中型工业企业存货,纺织服装、鞋、帽制造业大中型工业企业存货,通信设备、计算机及其他电子设备制造大中型工业企业存货,通用设备制造业大中型工业企业存货,造纸及纸制品业大中型工业企业存货,金属制品业大中型工业企业存货,非金属矿物制品业大中型工业企业存货,非金属矿采选业大中型工业企业存货,食品制造业大中型工业企业存货,饮料制造业大中型工业企业存货,黑色金属冶炼及压延加工业大中型工业企业存货,黑色金属矿采选业大中型工业企业存货
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,673.90233,1671.70041,158.37324,4.01826,346.07292,699.02837,126.38137,318.23472,64.5969,165.33063,14507.34631,70.51693,72.49369,0.34711,80.46559,505.94382,33.41156,68.10711,162.31124,10.2435,869.41963,244.24732,17.37854,216.32467,840.21885,174.19368,469.7009,132.80152,858.9064,195.30148,1657.36404,786.8374,218.59904,263.38961,452.65467,29.74578,155.62788,342.01106,1324.93742,26.20672
2004年,746.51,2048.76,189.01,0.0,429.42,888.66,185.15,321.88,75.04,238.98,18414.5,117.58,120.13,3.78,105.82,657.0,39.07,86.51,193.45,13.27,899.05,314.77,25.65,281.09,1123.0,206.87,746.41,199.49,928.71,261.71,2068.07,1073.23,277.59,352.26,521.7,26.22,198.71,356.6,2051.33,42.02
2005年,859.12351,2206.41501,229.10359,0.18392,509.4973,1094.49112,230.03185,422.63847,87.19903,269.32548,21879.5258,126.79402,133.85228,3.65674,121.67557,849.8808,54.99202,92.77696,213.01457,15.76361,1012.00713,419.35524,26.78616,332.19572,1321.59794,244.21926,961.68774,252.96827,1113.72989,316.54888,2338.26906,1372.7307,316.45938,391.56789,606.30096,26.24253,233.10149,412.33213,2610.69666,50.31292
2006年,1015.52371,2484.46718,261.16752,0.0,596.53706,1276.67159,252.98442,463.13673,102.45922,320.994,25788.90304,167.13519,172.73968,5.30852,148.23822,1280.71204,93.17343,120.14638,250.92796,16.28929,1074.49794,498.80209,26.28496,396.50335,1689.81978,293.62528,1057.8808,323.01701,1281.17216,398.95442,2738.27157,1499.98827,353.18447,524.93621,691.81656,33.27755,260.51242,474.24716,3082.61507,60.88383
2007年,1289.74336,3217.84009,320.37921,0.0,811.50349,1595.15951,351.0919,565.48894,131.00566,390.46598,31839.6086,192.36193,229.29335,7.80483,167.44301,1530.75938,98.79093,159.12055,299.89174,21.02281,1190.75885,576.19526,34.23346,424.94799,2082.55945,346.72467,1338.82018,346.23208,1500.40349,469.40977,3179.2738,1899.40535,408.91116,656.03913,800.12436,32.47475,359.78755,566.6894,4177.70448,69.74675
2008年,1751.38038,3868.55716,375.6853,0.0,886.58189,1883.81132,291.61692,655.46567,147.38587,387.14628,36825.60003,208.97955,240.60224,31.48573,194.50033,1721.69013,136.74473,181.73312,351.32762,18.49177,1406.30058,823.03056,51.80404,665.7811,2260.13285,349.97525,1365.0687,452.05158,1452.67243,535.21969,3222.37043,2494.42397,495.54544,785.46792,1082.57075,41.82639,391.97841,684.23802,4818.90758,113.04833
2009年,1829.10811,4124.55749,417.52409,0.0,1039.23789,1833.77244,323.04548,712.91783,139.21845,391.07989,38724.46557,190.77473,293.18998,39.59431,176.6297,2010.67024,142.85971,156.64239,341.63379,25.90895,1676.05462,862.38954,74.97988,520.97467,2526.72797,338.68804,1797.50078,497.78047,1454.24526,564.35754,3360.70202,2374.03681,464.26396,797.73326,1070.61985,42.88361,418.83338,731.25203,4851.17479,110.90162
2010年,2242.58936,5401.79924,522.23616,0.13,1405.28014,2444.75527,426.39957,897.52345,158.93427,474.79989,49505.41822,253.0222,383.90462,70.0302,202.23504,2923.9221,158.60692,179.0958,448.43193,26.56582,1892.78467,1177.62543,58.36014,762.85612,3298.91346,421.06628,2231.52575,526.63985,1751.64237,718.95678,4462.31605,2940.66891,601.86658,995.74856,1296.20616,49.34237,486.09363,861.47818,6173.22842,177.83653
2011年,2876.57554,6308.92559,729.05272,0.00271,1693.41326,3018.49805,527.53997,1127.42968,190.00025,576.62132,59552.61966,305.67739,628.64599,95.2165,258.20137,3531.09057,194.49309,222.63904,534.66744,26.77164,2157.71742,1496.0442,76.12471,918.13839,3937.92654,504.13656,2940.90482,631.26283,2049.28005,942.93004,5053.12021,3633.1465,730.50596,1203.11243,1668.67265,71.11075,609.94955,1139.6238,6693.28203,250.1681
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
