,专用设备制造业大中型工业企业集体资本金,交通运输设备制造业大中型工业企业集体资本金,仪器仪表及文化、办公用机械制造业大中型工业企业集体资本金,其他采矿业大中型工业企业集体资本金,农副食品加工业大中型工业企业集体资本金,化学原料及化学制品制造业大中型工业企业集体资本金,化学纤维制造业大中型工业企业集体资本金,医药制造业大中型工业企业集体资本金,印刷业和记录媒介的复制大中型工业企业集体资本金,塑料制品业大中型工业企业集体资本金,大中型工业企业集体资本金,家具制造业大中型工业企业集体资本金,工艺品及其他制造业大中型工业企业集体资本金,废弃资源和废旧材料回收加工业大中型工业企业集体资本金,文教体育用品制造业大中型工业企业集体资本金,有色金属冶炼及压延加工业大中型工业企业集体资本金,有色金属矿采选业大中型工业企业集体资本金,木材加工及木、竹、藤、棕、草制品业大中型工业企业集体资本金,橡胶制品业大中型工业企业集体资本金,水的生产和供应业大中型工业企业集体资本金,烟草制品业大中型工业企业集体资本金,煤炭开采和洗选业大中型工业企业集体资本金,燃气生产和供应业大中型工业企业集体资本金,电力、热力的生产和供应业大中型工业企业集体资本金,电气机械及器材制造业大中型工业企业集体资本金,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业集体资本金,石油加工、炼焦及核燃料加工业大中型工业企业集体资本金,石油和天然气开采业大中型工业企业集体资本金,纺织业大中型工业企业集体资本金,纺织服装、鞋、帽制造业大中型工业企业集体资本金,通信设备、计算机及其他电子设备制造大中型工业企业集体资本金,通用设备制造业大中型工业企业集体资本金,造纸及纸制品业大中型工业企业集体资本金,金属制品业大中型工业企业集体资本金,非金属矿物制品业大中型工业企业集体资本金,非金属矿采选业大中型工业企业集体资本金,食品制造业大中型工业企业集体资本金,饮料制造业大中型工业企业集体资本金,黑色金属冶炼及压延加工业大中型工业企业集体资本金,黑色金属矿采选业大中型工业企业集体资本金
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,21.1305,38.95083,4.51072,0.0,42.45324,54.14927,13.23352,37.38035,7.95537,30.42693,923.75108,3.92849,8.31663,0.096,3.71951,30.36332,7.69943,9.68136,9.27775,1.56729,1.15239,27.97394,1.64462,88.30912,62.07937,5.61088,13.22931,2.38182,101.29892,23.48225,15.13409,35.50396,24.01221,28.7702,64.03531,3.16376,16.90464,13.36085,67.41864,3.44429
2004年,21.61,33.36,1.98,1.27,30.81,40.04,13.9,34.01,7.19,24.42,844.66,2.03,7.05,0.99,2.57,61.99,7.13,6.5,7.48,2.33,1.11,20.72,1.99,37.59,54.52,5.37,8.95,53.86,53.18,23.15,18.76,38.42,30.82,20.83,56.29,2.07,20.72,14.52,69.96,5.19
2005年,15.72045,33.23154,5.02413,0.24,36.65975,49.46797,15.27915,31.11173,6.94704,14.01658,738.45836,2.29704,8.06097,1.02146,1.83819,19.31851,6.22387,4.37343,4.23733,4.05485,1.65963,32.08343,3.72759,20.6952,57.00979,3.50871,15.00833,20.21212,47.4645,16.70233,15.92417,25.12079,40.40549,19.88711,57.80949,2.3018,14.56783,13.32846,66.04973,5.86787
2006年,23.82546,42.31157,2.47996,0.0,44.13692,68.51699,9.08399,36.43074,6.81987,11.50612,884.86726,0.97923,8.39173,0.88861,2.96596,30.71685,6.11705,4.33025,4.10911,5.97189,2.49774,38.25507,0.95987,23.88461,59.39926,5.6541,29.62523,19.39663,45.38051,15.82358,62.41158,27.55245,36.68686,24.41066,71.91135,2.49135,18.18126,26.19941,57.98444,6.579
2007年,20.62375,63.39218,7.90173,0.0,40.8003,61.21284,12.72634,31.12541,9.83258,12.73046,1085.00931,1.40043,9.25074,0.096,3.5831,71.3318,10.00341,3.12572,4.63424,10.05536,3.66932,56.78009,1.22272,51.04212,66.14296,6.06926,24.31062,19.87808,63.31905,14.84728,86.2822,31.42302,38.30122,16.59485,79.37841,2.67002,36.71285,20.55076,86.83493,5.15316
2008年,22.30893,40.0829,4.19478,0.0,42.96635,71.25143,4.6872,44.93193,13.3958,17.81828,1001.36912,2.1615,6.54754,1.34555,2.72563,48.27537,19.0722,8.12113,4.23484,2.77542,1.22048,78.21701,7.0394,45.57019,72.26536,4.48638,10.75073,15.68195,50.51725,14.19216,18.08718,32.07258,46.9813,25.73184,77.93393,3.75965,22.69942,12.36242,98.82671,6.0764
2009年,23.5675,35.0906,2.82259,0.0,34.2728,50.53195,8.59876,36.73672,9.49787,9.31794,997.08789,1.40211,5.22113,2.64048,2.39111,35.46673,21.92449,4.26652,6.52599,14.81332,1.66503,67.70011,14.33051,42.66796,84.51175,4.43353,15.87477,15.85286,41.04628,11.7894,39.00723,39.51488,58.70763,19.98708,93.23666,1.96902,14.69665,13.39766,106.08109,5.52918
2010年,28.6552,46.51189,2.82903,0.0,44.32304,65.8496,11.67116,44.83133,9.81738,8.45875,996.1089,2.94449,5.58305,1.97122,6.99923,45.77689,19.53728,4.06924,14.62097,1.28601,1.5595,94.54509,0.81734,25.93552,48.93495,3.19232,21.61299,14.12306,31.55032,9.49757,37.62535,35.38258,49.32736,19.5697,74.25572,1.23447,14.91119,33.4753,104.96744,7.85537
2011年,31.78515,75.25315,5.41114,0.005,35.98053,75.34967,12.17716,62.61173,11.17781,12.28496,1344.29013,1.32506,6.26138,2.01005,2.63247,35.43779,18.82556,6.28014,10.07094,2.23537,3.4617,104.88456,0.22067,61.42539,69.78206,4.24449,20.45959,13.65053,42.35085,13.51475,23.47331,38.87426,40.02625,17.24682,86.01676,4.07085,16.39236,34.17067,333.55477,9.35443
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
