,专用设备制造业大中型工业企业管理费用,交通运输设备制造业大中型工业企业管理费用,仪器仪表及文化、办公用机械制造业大中型工业企业管理费用,其他采矿业大中型工业企业管理费用,农副食品加工业大中型工业企业管理费用,化学原料及化学制品制造业大中型工业企业管理费用,化学纤维制造业大中型工业企业管理费用,医药制造业大中型工业企业管理费用,印刷业和记录媒介的复制大中型工业企业管理费用,塑料制品业大中型工业企业管理费用,大中型工业企业管理费用,家具制造业大中型工业企业管理费用,工艺品及其他制造业大中型工业企业管理费用,废弃资源和废旧材料回收加工业大中型工业企业管理费用,文教体育用品制造业大中型工业企业管理费用,有色金属冶炼及压延加工业大中型工业企业管理费用,有色金属矿采选业大中型工业企业管理费用,木材加工及木、竹、藤、棕、草制品业大中型工业企业管理费用,橡胶制品业大中型工业企业管理费用,水的生产和供应业大中型工业企业管理费用,烟草制品业大中型工业企业管理费用,煤炭开采和洗选业大中型工业企业管理费用,燃气生产和供应业大中型工业企业管理费用,电力、热力的生产和供应业大中型工业企业管理费用,电气机械及器材制造业大中型工业企业管理费用,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业管理费用,石油加工、炼焦及核燃料加工业大中型工业企业管理费用,石油和天然气开采业大中型工业企业管理费用,纺织业大中型工业企业管理费用,纺织服装、鞋、帽制造业大中型工业企业管理费用,通信设备、计算机及其他电子设备制造大中型工业企业管理费用,通用设备制造业大中型工业企业管理费用,造纸及纸制品业大中型工业企业管理费用,金属制品业大中型工业企业管理费用,非金属矿物制品业大中型工业企业管理费用,非金属矿采选业大中型工业企业管理费用,食品制造业大中型工业企业管理费用,饮料制造业大中型工业企业管理费用,黑色金属冶炼及压延加工业大中型工业企业管理费用,黑色金属矿采选业大中型工业企业管理费用
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,203.31106,594.36879,58.96098,0.57376,64.82526,361.50237,37.5109,186.0832,36.63488,51.43448,5430.73601,14.49741,18.75565,0.15922,25.3509,115.46352,38.08123,12.29579,46.22632,37.60514,151.42584,341.76242,21.00137,336.61973,264.56912,42.5476,183.62767,194.06186,169.82117,62.02454,482.03391,247.32342,61.69343,68.0955,164.98371,19.34882,65.29279,104.29015,524.98366,21.58844
2004年,217.75,624.01,75.95,0.57,81.6,419.49,47.48,177.88,40.47,92.11,6529.71,23.6,38.87,1.07,31.08,162.65,48.28,15.89,57.58,42.6,179.68,544.06,23.63,399.57,313.24,52.88,191.33,265.33,183.71,71.83,642.51,301.06,70.54,81.61,196.06,23.29,75.45,110.19,555.41,49.4
2005年,244.18498,728.32729,85.3351,0.15954,95.6976,499.08598,49.04762,216.87232,45.16106,73.34118,7511.08499,30.00166,37.71796,0.94233,37.11734,185.8442,58.40745,18.64743,57.78266,44.59015,190.61343,689.49902,25.95661,429.54113,386.25837,65.28748,230.27733,302.4144,213.14004,99.341,767.52137,355.78953,84.23772,105.96635,203.5347,24.75356,94.62063,124.53041,559.55691,49.98115
2006年,300.33832,905.37547,106.85948,0.0,113.25534,539.70766,51.32418,246.45632,52.83273,94.09328,8722.16936,38.67769,46.88474,1.77423,43.0135,250.0115,79.06914,23.29854,64.56975,57.59492,218.05613,769.80747,30.52126,466.06232,482.92345,75.65151,260.89538,326.92221,235.11176,130.56488,893.9119,420.35891,92.44154,130.24651,224.10283,28.88718,100.51232,143.85141,623.67966,52.52394
2007年,363.06306,1122.38966,131.70755,0.0,155.48812,678.57405,67.67877,288.89994,60.391,105.70273,10826.25564,51.04671,63.67569,2.85518,50.68316,293.11479,88.00757,33.73442,85.86927,64.62381,248.00171,902.08073,38.9218,572.94865,594.48406,99.34874,430.82032,424.99585,264.86892,159.22268,1107.05777,506.17236,104.14555,161.89981,281.55671,28.01033,115.96698,178.2675,832.33794,67.64175
2008年,452.20831,1297.01337,160.13854,0.0,207.12953,830.30314,81.31627,345.42604,73.06831,130.62025,13207.49765,59.72371,66.95232,8.09034,58.21864,370.71221,95.70698,39.66065,98.78832,70.61652,299.45858,1333.53149,46.60592,543.39581,771.9256,117.80021,592.60242,481.04594,291.47667,182.61613,1338.00739,605.11773,122.03825,202.62404,345.5226,37.86717,157.9808,213.16375,973.77298,105.25072
2009年,521.92926,1602.58871,169.90195,0.0,240.29723,853.06067,68.0991,416.46938,81.30837,140.02834,14443.72618,63.1309,70.95187,6.84653,60.01711,351.50845,90.92507,42.5154,117.86066,75.54267,336.51309,1307.50937,49.96544,648.09357,875.42555,128.76587,510.33769,640.63135,325.60832,196.91293,1441.5802,664.91075,132.99916,224.82752,387.63242,40.37284,176.46139,239.577,1048.93702,93.68303
2010年,707.37056,2159.62418,220.21249,0.0007,444.24751,1102.5013,84.57408,526.6836,84.47773,190.02875,18908.24669,92.96132,93.09805,17.36317,73.92207,537.65757,134.67999,74.72775,150.39179,84.68691,357.59449,1784.29857,57.39528,755.74649,1175.11369,180.73271,687.1753,661.3503,413.51809,253.16126,1794.83508,892.43429,188.50269,314.19606,532.05293,44.83693,228.9082,308.86125,1342.89868,155.42488
2011年,875.9421,2428.59632,283.65406,0.03779,504.97766,1292.89803,128.90024,620.53863,103.2062,243.7193,22320.69846,114.26192,137.98864,19.94077,97.06146,665.85874,155.46914,84.50595,183.31661,98.5631,360.58729,2104.08089,74.32912,749.37114,1406.06007,246.60534,749.06771,784.61898,532.40385,347.08884,2265.41925,1039.61042,212.80531,374.7725,698.30276,69.76767,290.54463,383.72028,1395.99831,196.10744
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
