,专用设备制造业大中型工业企业应收帐款净额,交通运输设备制造业大中型工业企业应收帐款净额,仪器仪表及文化、办公用机械制造业大中型工业企业应收帐款净额,其他采矿业大中型工业企业应收帐款净额,农副食品加工业大中型工业企业应收帐款净额,化学原料及化学制品制造业大中型工业企业应收帐款净额,化学纤维制造业大中型工业企业应收帐款净额,医药制造业大中型工业企业应收帐款净额,印刷业和记录媒介的复制大中型工业企业应收帐款净额,塑料制品业大中型工业企业应收帐款净额,大中型工业企业应收帐款净额,家具制造业大中型工业企业应收帐款净额,工艺品及其他制造业大中型工业企业应收帐款净额,废弃资源和废旧材料回收加工业大中型工业企业应收帐款净额,文教体育用品制造业大中型工业企业应收帐款净额,有色金属冶炼及压延加工业大中型工业企业应收帐款净额,有色金属矿采选业大中型工业企业应收帐款净额,木材加工及木、竹、藤、棕、草制品业大中型工业企业应收帐款净额,橡胶制品业大中型工业企业应收帐款净额,水的生产和供应业大中型工业企业应收帐款净额,烟草制品业大中型工业企业应收帐款净额,煤炭开采和洗选业大中型工业企业应收帐款净额,燃气生产和供应业大中型工业企业应收帐款净额,电力、热力的生产和供应业大中型工业企业应收帐款净额,电气机械及器材制造业大中型工业企业应收帐款净额,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业应收帐款净额,石油加工、炼焦及核燃料加工业大中型工业企业应收帐款净额,石油和天然气开采业大中型工业企业应收帐款净额,纺织业大中型工业企业应收帐款净额,纺织服装、鞋、帽制造业大中型工业企业应收帐款净额,通信设备、计算机及其他电子设备制造大中型工业企业应收帐款净额,通用设备制造业大中型工业企业应收帐款净额,造纸及纸制品业大中型工业企业应收帐款净额,金属制品业大中型工业企业应收帐款净额,非金属矿物制品业大中型工业企业应收帐款净额,非金属矿采选业大中型工业企业应收帐款净额,食品制造业大中型工业企业应收帐款净额,饮料制造业大中型工业企业应收帐款净额,黑色金属冶炼及压延加工业大中型工业企业应收帐款净额,黑色金属矿采选业大中型工业企业应收帐款净额
2003年,448.77603,1044.44721,198.55622,2.25796,149.06891,524.86404,56.9924,410.2278,79.37387,180.83282,11964.04538,42.76346,49.91246,0.65614,77.60195,194.06134,19.331,34.0734,144.31619,47.03316,150.94724,314.20101,27.0403,982.94761,983.66946,125.14611,139.74483,97.57953,427.25009,170.68297,2513.70142,686.55599,210.40987,263.32548,416.25577,41.45552,132.66665,133.2923,415.06154,26.96533
2004年,517.34,1153.98,230.82,0.96,201.42,523.75,67.97,388.83,76.92,232.92,14002.71,68.65,81.33,3.53,82.24,242.37,20.4,37.91,178.97,50.81,142.08,305.52,25.26,922.01,1209.99,142.26,205.51,223.85,460.75,160.08,3370.98,818.06,236.77,318.89,461.97,31.01,163.68,123.9,473.8,45.2
2005年,629.16274,1424.72005,280.05718,0.55033,209.27705,644.87991,86.95487,449.04356,103.61853,289.2286,17018.80505,82.65786,95.24621,3.46415,103.11749,288.81367,34.715,41.49777,199.82016,56.64837,132.01812,359.73864,29.64472,884.82541,1536.69065,198.29182,256.64293,231.01382,557.82988,213.81615,4397.9902,1040.67306,272.6821,355.11307,513.53979,27.73583,200.2153,134.23428,584.69641,67.93937
2006年,786.06087,1745.72418,392.29616,,263.59655,790.02494,107.75974,500.49166,110.44984,353.99876,20206.19393,105.78512,135.71017,4.9782,127.08473,394.24875,63.16894,51.47816,220.81571,55.18506,140.89323,412.18502,27.26725,1003.20489,1911.15309,240.21702,256.61538,272.13826,641.49804,278.13626,5025.49779,1262.29321,341.39197,467.89026,551.70327,35.03369,200.34437,148.91214,703.61528,77.34597
2007年,1078.71204,2276.43051,413.04738,,327.97454,948.97658,145.65241,563.75813,130.58602,386.40169,24735.14999,119.37995,174.58932,2.66367,124.75961,529.89255,81.02313,68.23031,240.48669,67.51929,142.61508,595.61075,30.34796,1065.18019,2485.17348,283.42917,366.93832,347.9448,752.14561,357.14347,5982.38653,1546.17018,392.40778,589.20122,639.16294,32.21992,278.21927,185.27779,880.48901,103.0027
2008年,1373.23506,2522.06609,457.08321,,383.59069,981.73862,114.1651,608.16975,150.4253,427.52764,26679.90041,125.66978,177.93989,7.97999,133.18297,580.11352,91.50789,71.50348,275.14778,77.83476,126.90592,801.47419,40.57796,1068.1712,2738.56677,292.60711,439.52927,468.47194,744.23371,418.4636,5533.46932,1845.25683,385.4513,657.83134,750.46069,38.33152,320.86775,208.02591,1046.32163,196.00093
2009年,1636.36959,3509.26002,550.67535,,424.93326,1179.0825,114.53713,714.23947,149.57855,438.61531,32208.41192,148.76055,216.74124,19.82151,152.83117,627.62205,90.24001,72.42414,294.43232,75.55742,210.16339,916.23362,748.68527,1218.29078,3270.60677,331.1129,439.56408,480.95532,783.41278,453.2373,6951.78289,2140.88616,376.25764,714.86947,835.30525,40.5325,339.94722,257.39596,1134.53048,148.92055
2010年,2277.73698,4410.87591,702.02564,0.19,542.05378,1512.97926,145.8875,835.14094,182.75063,519.57486,39219.99555,194.61857,277.22393,58.32564,160.87843,805.53944,106.49583,90.12003,355.02816,90.81141,233.3589,1385.67847,43.67317,1389.82032,4482.80832,481.58757,603.99404,366.06765,864.80231,505.22219,8180.58814,2682.32071,487.62561,951.727,1041.31522,36.04438,401.2032,264.29205,1284.91007,264.69929
2011年,2920.1671,5473.77816,869.78737,0.00673,709.24207,1899.72521,197.39945,1014.71245,223.74921,633.4719,47882.05794,223.35315,333.54254,66.36871,180.40719,977.23254,110.89313,125.7424,464.0641,105.19141,257.5245,1913.9669,68.85076,1590.74322,5594.9692,547.08749,676.42865,449.24066,1092.24898,716.3537,9274.88576,3190.43696,587.22412,1162.84186,1363.82239,54.52994,575.97077,350.971,1535.51285,349.61341
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
