,专用设备制造业大中型工业企业实收资本,交通运输设备制造业大中型工业企业实收资本,仪器仪表及文化、办公用机械制造业大中型工业企业实收资本,其他采矿业大中型工业企业实收资本,农副食品加工业大中型工业企业实收资本,化学原料及化学制品制造业大中型工业企业实收资本,化学纤维制造业大中型工业企业实收资本,医药制造业大中型工业企业实收资本,印刷业和记录媒介的复制大中型工业企业实收资本,塑料制品业大中型工业企业实收资本,大中型工业企业实收资本,家具制造业大中型工业企业实收资本,工艺品及其他制造业大中型工业企业实收资本,废弃资源和废旧材料回收加工业大中型工业企业实收资本,文教体育用品制造业大中型工业企业实收资本,有色金属冶炼及压延加工业大中型工业企业实收资本,有色金属矿采选业大中型工业企业实收资本,木材加工及木、竹、藤、棕、草制品业大中型工业企业实收资本,橡胶制品业大中型工业企业实收资本,水的生产和供应业大中型工业企业实收资本,烟草制品业大中型工业企业实收资本,煤炭开采和洗选业大中型工业企业实收资本,燃气生产和供应业大中型工业企业实收资本,电力、热力的生产和供应业大中型工业企业实收资本,电气机械及器材制造业大中型工业企业实收资本,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业实收资本,石油加工、炼焦及核燃料加工业大中型工业企业实收资本,石油和天然气开采业大中型工业企业实收资本,纺织业大中型工业企业实收资本,纺织服装、鞋、帽制造业大中型工业企业实收资本,通信设备、计算机及其他电子设备制造大中型工业企业实收资本,通用设备制造业大中型工业企业实收资本,造纸及纸制品业大中型工业企业实收资本,金属制品业大中型工业企业实收资本,非金属矿物制品业大中型工业企业实收资本,非金属矿采选业大中型工业企业实收资本,食品制造业大中型工业企业实收资本,饮料制造业大中型工业企业实收资本,黑色金属冶炼及压延加工业大中型工业企业实收资本,黑色金属矿采选业大中型工业企业实收资本
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,722.76655,2274.23548,225.32038,5.4,446.55742,2002.76509,327.82127,663.13313,186.67255,370.09922,30234.9678,89.50826,90.70921,0.2,122.86139,825.99246,95.36631,118.94474,270.48713,446.31252,347.4163,1554.73374,250.47011,4305.41917,1078.51876,188.45182,1155.57205,1741.71755,1180.90513,297.38536,2113.44101,961.56746,540.06768,356.1781,1161.01513,150.53612,356.96572,579.13688,2492.35222,137.96438
2004年,787.61,2942.96,272.88,1.27,528.87,2302.7,500.43,658.06,202.17,429.65,38823.94,118.95,169.95,2.7,145.73,920.49,128.89,121.06,351.48,520.18,395.1,1688.31,315.71,8213.97,1321.84,209.04,1103.01,2490.62,1254.77,341.07,2872.96,1109.32,620.47,420.23,1349.28,128.18,462.83,612.99,2590.23,217.98
2005年,818.9944,3088.78328,320.27458,1.83,614.3659,2585.14848,584.72818,793.09488,233.54286,496.172,42413.42101,135.82774,167.74083,3.14732,170.14117,1077.2921,157.07831,133.05193,350.01065,537.35726,422.64887,1753.54585,326.38987,8096.69624,1463.82318,272.74563,1480.28908,2565.78319,1417.36467,400.79104,3476.12479,1278.99265,747.43679,506.35388,1506.52029,84.43078,507.16349,621.62777,2977.97438,238.1367
2006年,945.95865,3401.23819,359.57988,0.0,690.67055,3128.62397,630.26701,884.83676,253.02922,525.20806,48689.26872,177.21784,201.64648,3.93195,187.84369,1272.33193,198.36386,145.46194,390.41568,727.0689,489.63035,2013.45701,335.4952,9456.95323,1742.97937,323.08295,1642.61711,2759.231,1584.31236,622.25589,3999.84518,1455.56204,891.44625,594.58146,1659.35859,98.51086,541.25077,691.22107,3400.25982,263.52365
2007年,1123.60743,3994.20939,434.45116,0.0,801.75131,3726.836,704.40659,1007.63958,298.88763,647.82072,55778.50801,219.89121,219.82561,6.53673,223.27951,1531.91146,198.864,161.05134,520.72144,775.06892,509.74082,2242.54273,322.27969,9854.18425,2108.22519,403.82098,2283.58928,3307.52941,1782.15383,603.05864,4891.43404,1718.02541,999.94953,729.66704,1942.40491,87.52999,648.99892,766.74091,3681.46491,298.4075
2008年,1525.29566,4863.48958,592.02712,0.0,1021.12967,4464.98578,673.8917,1097.92535,351.46074,711.75807,68535.23374,245.48539,248.24406,27.00051,264.7642,1990.08898,266.40952,200.26467,530.1195,850.82673,722.09086,2833.0389,385.12968,11177.78146,2634.9449,454.59893,3334.40319,5288.43393,1915.98025,681.97122,5958.38804,1993.66949,1289.54099,898.91043,2277.21514,109.13997,763.02822,875.88482,4601.32393,414.59216
2009年,1601.22826,5230.45231,578.99688,0.0,1097.90061,4622.00374,663.01563,1233.95974,342.70101,761.92788,71948.16803,245.80472,270.74754,25.48362,289.9669,2253.97225,283.04503,215.15877,572.17558,933.96847,796.64931,2995.63953,407.90383,11823.10761,2946.13594,479.89262,2886.15192,4457.99449,1926.48905,715.90572,6247.9714,2346.52903,1405.03339,990.7252,2506.41949,121.26856,817.86822,944.02373,5461.27443,448.67562
2010年,2080.58707,6084.42525,639.2046,1.98,1292.1929,5444.10077,662.74563,1444.38296,354.01629,817.00934,79359.64327,298.2572,299.74617,28.57258,279.7735,2567.37176,328.34443,234.86038,667.63293,1075.95545,763.36653,3515.87047,413.47025,11317.19431,3527.41642,533.76153,3059.65731,4983.62626,2173.96517,763.78142,7076.8995,2557.25927,1629.03664,1103.49475,2834.13406,124.12446,897.33537,1084.43212,5601.72241,797.93581
2011年,2419.09623,7182.94014,797.71343,0.005,1575.75175,6279.09689,752.62149,1767.93577,413.1394,992.48725,92074.5602,362.51393,419.97402,41.42539,322.80008,2948.06251,412.53466,292.26532,723.93004,1192.14763,853.42217,4137.18173,475.57112,11625.35906,4483.15714,639.09014,4039.43048,6047.35169,2419.68183,1034.8129,8052.47798,3078.7277,1820.99442,1309.20969,3539.04267,172.28919,1205.84408,1236.11338,6032.42292,975.93898
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
