,专用设备制造业大中型工业企业应交所得税,交通运输设备制造业大中型工业企业应交所得税,仪器仪表及文化、办公用机械制造业大中型工业企业应交所得税,其他采矿业大中型工业企业应交所得税,农副食品加工业大中型工业企业应交所得税,化学原料及化学制品制造业大中型工业企业应交所得税,化学纤维制造业大中型工业企业应交所得税,医药制造业大中型工业企业应交所得税,印刷业和记录媒介的复制大中型工业企业应交所得税,塑料制品业大中型工业企业应交所得税,大中型工业企业应交所得税,家具制造业大中型工业企业应交所得税,工艺品及其他制造业大中型工业企业应交所得税,废弃资源和废旧材料回收加工业大中型工业企业应交所得税,文教体育用品制造业大中型工业企业应交所得税,有色金属冶炼及压延加工业大中型工业企业应交所得税,有色金属矿采选业大中型工业企业应交所得税,木材加工及木、竹、藤、棕、草制品业大中型工业企业应交所得税,橡胶制品业大中型工业企业应交所得税,水的生产和供应业大中型工业企业应交所得税,烟草制品业大中型工业企业应交所得税,煤炭开采和洗选业大中型工业企业应交所得税,燃气生产和供应业大中型工业企业应交所得税,电力、热力的生产和供应业大中型工业企业应交所得税,电气机械及器材制造业大中型工业企业应交所得税,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业应交所得税,石油加工、炼焦及核燃料加工业大中型工业企业应交所得税,石油和天然气开采业大中型工业企业应交所得税,纺织业大中型工业企业应交所得税,纺织服装、鞋、帽制造业大中型工业企业应交所得税,通信设备、计算机及其他电子设备制造大中型工业企业应交所得税,通用设备制造业大中型工业企业应交所得税,造纸及纸制品业大中型工业企业应交所得税,金属制品业大中型工业企业应交所得税,非金属矿物制品业大中型工业企业应交所得税,非金属矿采选业大中型工业企业应交所得税,食品制造业大中型工业企业应交所得税,饮料制造业大中型工业企业应交所得税,黑色金属冶炼及压延加工业大中型工业企业应交所得税,黑色金属矿采选业大中型工业企业应交所得税
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,22.9395,79.62577,8.10849,0.13135,15.76627,57.47779,10.74358,36.18203,8.07663,11.19584,1103.71795,2.22976,3.68174,0.03649,4.06448,28.96702,6.38806,2.18522,7.77148,2.46502,81.41198,35.76195,1.84147,104.34932,41.64529,8.193,26.87683,101.28724,33.13031,13.4466,57.82328,33.31118,15.25719,13.56028,33.14967,2.0591,16.07508,32.08533,141.86282,2.55351
2004年,25.98,73.96,7.17,0.03,19.69,112.25,8.27,35.93,9.61,13.21,1600.29,3.18,5.96,0.12,4.02,51.7,15.67,3.22,9.55,4.18,106.97,87.92,3.84,154.25,53.93,7.85,59.63,149.11,34.98,15.94,93.41,46.85,17.98,20.2,44.41,2.66,15.14,35.82,229.76,15.96
2005年,29.95698,66.94591,11.37092,0.0227,26.4034,126.69224,8.97736,42.11589,9.15267,15.33242,1950.07067,4.19459,6.07387,0.12548,5.12907,69.34432,27.92134,3.4741,12.04018,2.74095,117.86071,128.11959,2.09291,191.40031,68.64001,12.01485,43.68037,279.29355,49.59936,22.76398,92.92878,65.77824,19.82321,22.56754,34.23175,4.02233,23.87233,40.66963,243.46125,19.23558
2006年,44.59677,112.73216,13.16264,0.0,37.63748,130.62457,8.82985,45.87432,10.9773,20.03891,2373.59568,6.06585,9.1205,0.31938,5.10838,140.8205,51.38265,5.23802,11.90033,4.91555,138.54642,142.43018,3.34656,273.04183,91.73051,15.28777,35.38793,275.95894,59.0181,28.19563,106.25187,78.49995,24.00609,29.78271,47.91918,5.91484,27.23512,53.11186,256.15088,22.43415
2007年,63.03799,150.20739,20.13243,0.0,46.14602,179.69933,17.78454,68.08669,15.41757,23.68045,3071.25251,7.74524,11.47036,0.79204,4.61549,152.85871,56.90645,8.59293,18.00665,5.56413,197.94235,178.02892,6.15979,335.38343,128.67265,19.98734,89.68388,265.74464,77.95654,33.11461,129.64599,105.04035,32.38987,35.03449,70.91725,6.1905,32.56063,69.36522,364.45248,42.23717
2008年,74.78287,197.27431,25.4317,0.0,51.23614,180.08264,8.73928,83.50492,14.09337,23.86163,3168.55043,7.36593,11.85611,0.50896,6.19948,98.22391,41.31304,9.49836,13.26557,5.92671,176.77408,375.03496,8.83989,197.52262,156.50161,21.43668,46.68489,344.5171,68.06763,34.83463,183.70482,115.23166,31.78361,41.91927,84.2391,10.46522,42.48018,80.29896,213.67586,81.37273
2009年,91.25852,320.00517,30.7565,0.0,57.77697,165.41999,14.26652,95.74155,17.82319,29.52003,3294.44968,9.48542,15.33056,0.9654,8.63453,88.56871,28.27693,8.89583,26.33197,4.78178,162.68547,353.03423,9.8819,223.15677,184.317,26.35301,125.50705,172.51322,73.44412,41.28734,214.95152,127.55647,40.48942,49.35551,107.44412,4.98488,54.11627,100.72691,173.13493,35.66997
2010年,142.02251,571.96282,45.82576,0.028,91.31084,250.54449,32.63082,119.66242,20.75693,44.64685,4854.26973,15.99271,20.96759,4.57814,9.69225,104.23066,45.95966,11.67143,32.55905,10.04867,171.81034,548.6189,13.95283,285.81102,274.63611,37.10062,156.8066,325.73972,119.31176,60.69022,283.21084,187.00866,49.15555,75.52485,166.40895,7.15077,77.83557,134.16938,231.18553,73.04991
2011年,169.49557,656.36003,59.09848,0.00228,122.05682,373.84238,39.31351,156.13172,25.27291,55.96843,6032.76469,29.95073,31.21259,5.72755,14.22169,175.37018,79.4568,19.17493,43.41881,11.68376,169.34746,795.78684,24.22173,274.37293,298.80364,57.52337,101.26298,402.13269,152.28326,85.95764,312.71515,229.2033,55.44727,90.46215,252.65879,14.6083,114.08207,186.75553,232.64528,114.73514
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
