,专用设备制造业大中型工业亏损企业亏损总额,交通运输设备制造业大中型工业亏损企业亏损总额,仪器仪表及文化、办公用机械制造业大中型工业亏损企业亏损总额,其他采矿业大中型工业亏损企业亏损总额,农副食品加工业大中型工业亏损企业亏损总额,化学原料及化学制品制造业大中型工业亏损企业亏损总额,化学纤维制造业大中型工业亏损企业亏损总额,医药制造业大中型工业亏损企业亏损总额,印刷业和记录媒介的复制大中型工业亏损企业亏损总额,塑料制品业大中型工业亏损企业亏损总额,大中型工业亏损企业亏损总额,家具制造业大中型工业亏损企业亏损总额,工艺品及其他制造业大中型工业亏损企业亏损总额,废弃资源和废旧材料回收加工业大中型工业亏损企业亏损总额,文教体育用品制造业大中型工业亏损企业亏损总额,有色金属冶炼及压延加工业大中型工业亏损企业亏损总额,有色金属矿采选业大中型工业亏损企业亏损总额,木材加工及木、竹、藤、棕、草制品业大中型工业亏损企业亏损总额,橡胶制品业大中型工业亏损企业亏损总额,水的生产和供应业大中型工业亏损企业亏损总额,烟草制品业大中型工业亏损企业亏损总额,煤炭开采和洗选业大中型工业亏损企业亏损总额,燃气生产和供应业大中型工业亏损企业亏损总额,电力、热力的生产和供应业大中型工业亏损企业亏损总额,电气机械及器材制造业大中型工业亏损企业亏损总额,皮革、毛皮、羽毛(绒)及其制品业大中型工业亏损企业亏损总额,石油加工、炼焦及核燃料加工业大中型工业亏损企业亏损总额,石油和天然气开采业大中型工业亏损企业亏损总额,纺织业大中型工业亏损企业亏损总额,纺织服装、鞋、帽制造业大中型工业亏损企业亏损总额,通信设备、计算机及其他电子设备制造大中型工业亏损企业亏损总额,通用设备制造业大中型工业亏损企业亏损总额,造纸及纸制品业大中型工业亏损企业亏损总额,金属制品业大中型工业亏损企业亏损总额,非金属矿物制品业大中型工业亏损企业亏损总额,非金属矿采选业大中型工业亏损企业亏损总额,食品制造业大中型工业亏损企业亏损总额,饮料制造业大中型工业亏损企业亏损总额,黑色金属冶炼及压延加工业大中型工业亏损企业亏损总额,黑色金属矿采选业大中型工业亏损企业亏损总额
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,28.57351,42.71978,3.12424,,11.80389,49.80336,7.07325,6.85994,1.70491,4.59838,646.23201,1.4525,0.69077,,2.05877,15.26822,1.14418,3.5793,11.1138,10.5284,2.80104,5.34161,5.2773,117.37012,31.97122,3.42071,37.91511,16.56288,30.3084,3.42359,69.3066,18.51243,13.8435,4.9223,25.95227,2.03572,14.37141,15.33333,24.69502,0.77025
2004年,23.41,65.0,15.69,0.0,16.93,53.5,17.05,10.16,1.63,6.12,895.29,2.54,1.77,0.03,2.56,17.17,1.43,2.61,12.11,11.19,6.22,23.78,11.04,104.6,33.32,4.49,43.94,56.0,53.26,4.8,136.59,24.09,13.41,10.98,29.97,0.94,18.05,22.05,35.63,1.24
2005年,19.82757,80.66178,5.96992,,14.00047,83.50828,29.39565,14.08299,1.86433,9.70159,1292.06215,2.66213,1.56219,,2.93513,24.05896,1.25203,3.64318,6.6555,16.79929,1.80493,7.78891,12.44104,116.70576,40.26577,3.42313,366.00163,9.71505,36.73295,5.27778,172.26622,22.8703,16.18982,8.15644,55.55721,0.62768,12.66027,19.59027,64.14864,1.25736
2006年,15.79594,73.42356,7.19787,,12.7815,121.37613,20.76904,15.33065,2.41299,30.08767,1473.29451,2.51009,1.99387,0.28873,3.04917,16.56185,0.70463,3.47413,8.94416,14.32282,0.74719,18.42572,10.51928,71.63876,43.89876,3.8776,582.75913,6.68158,37.62982,5.07724,153.8389,21.36565,20.22249,10.62434,63.44889,1.0348,12.36485,21.72429,34.72653,1.66389
2007年,20.24661,64.444,4.06842,,9.03035,51.45367,18.02549,17.05934,2.69938,11.32534,1184.21878,4.50921,2.4518,0.00764,6.34455,17.79135,2.13144,4.31233,9.7505,18.02403,0.69995,26.10701,9.62959,102.44842,35.69356,5.17102,367.2265,18.88992,38.61377,6.29971,153.6615,20.06294,15.36172,10.43782,48.16475,0.77389,10.13594,25.92856,23.23561,2.00115
2008年,34.30115,87.20842,9.69633,,26.24203,332.73663,62.36293,12.60467,4.29373,16.33949,3921.80842,7.53499,4.87614,2.57213,9.93417,145.36538,2.9138,2.55927,22.10324,28.25637,0.69463,28.20942,11.1751,667.34372,50.79997,6.00004,1528.69443,66.07761,57.42839,13.56287,216.0097,39.05123,27.76895,15.44759,56.63612,1.74759,33.86574,34.77538,251.58025,3.03882
2009年,33.7365,80.93148,5.45747,,17.75011,259.00302,14.63466,12.12543,4.70461,17.05621,2077.49927,4.60085,3.47805,0.7197,5.40617,112.74515,4.85029,4.45213,5.38904,30.99433,0.17319,27.28528,6.55907,436.92767,32.70028,6.25124,98.4101,140.20059,37.06887,8.92419,271.30698,43.49949,36.29538,21.54804,48.75637,0.94089,15.59398,33.49523,182.66858,10.85865
2010年,24.93807,59.76747,3.61686,,12.66179,155.59707,3.74322,11.80786,3.81253,10.02402,1442.09692,3.41481,2.26267,0.39134,4.11264,68.94168,2.36419,3.00614,8.25611,37.77979,1.31403,45.14302,7.46277,287.9073,39.87235,2.96594,113.74368,125.0059,21.02656,6.95626,121.43206,28.64109,19.18969,7.81549,28.46683,0.73085,23.61242,26.55484,116.53331,1.22427
2011年,56.07885,138.65268,8.95074,,31.48083,208.21772,22.13509,13.19083,4.02609,18.89114,2927.52037,7.32686,6.28327,0.96174,7.9027,109.29282,2.89068,3.37735,20.08189,33.78337,0.07446,49.23882,5.73426,500.1627,108.54988,10.41117,734.8938,164.26934,40.17011,13.15414,190.50536,40.18342,30.48558,15.64496,62.75146,0.22339,21.81593,35.77818,194.53543,15.41333
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
