,专用设备制造业大中型工业企业出口交货值,交通运输设备制造业大中型工业企业出口交货值,仪器仪表及文化、办公用机械制造业大中型工业企业出口交货值,其他采矿业大中型工业企业出口交货值,农副食品加工业大中型工业企业出口交货值,化学原料及化学制品制造业大中型工业企业出口交货值,化学纤维制造业大中型工业企业出口交货值,医药制造业大中型工业企业出口交货值,印刷业和记录媒介的复制大中型工业企业出口交货值,塑料制品业大中型工业企业出口交货值,大中型工业企业出口交货值,家具制造业大中型工业企业出口交货值,工艺品及其他制造业大中型工业企业出口交货值,废弃资源和废旧材料回收加工业大中型工业企业出口交货值,文教体育用品制造业大中型工业企业出口交货值,有色金属冶炼及压延加工业大中型工业企业出口交货值,有色金属矿采选业大中型工业企业出口交货值,木材加工及木、竹、藤、棕、草制品业大中型工业企业出口交货值,橡胶制品业大中型工业企业出口交货值,水的生产和供应业大中型工业企业出口交货值,烟草制品业大中型工业企业出口交货值,煤炭开采和洗选业大中型工业企业出口交货值,燃气生产和供应业大中型工业企业出口交货值,电力、热力的生产和供应业大中型工业企业出口交货值,电气机械及器材制造业大中型工业企业出口交货值,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业出口交货值,石油加工、炼焦及核燃料加工业大中型工业企业出口交货值,石油和天然气开采业大中型工业企业出口交货值,纺织业大中型工业企业出口交货值,纺织服装、鞋、帽制造业大中型工业企业出口交货值,通信设备、计算机及其他电子设备制造大中型工业企业出口交货值,通用设备制造业大中型工业企业出口交货值,造纸及纸制品业大中型工业企业出口交货值,金属制品业大中型工业企业出口交货值,非金属矿物制品业大中型工业企业出口交货值,非金属矿采选业大中型工业企业出口交货值,食品制造业大中型工业企业出口交货值,饮料制造业大中型工业企业出口交货值,黑色金属冶炼及压延加工业大中型工业企业出口交货值,黑色金属矿采选业大中型工业企业出口交货值
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,224.32028,759.73342,684.57815,1.27793,321.36564,472.56558,62.17973,206.83835,70.5844,438.25129,19166.17145,206.07099,239.67942,0.0,337.51149,276.33165,21.74974,79.54826,207.81865,0.53856,22.04448,124.4302,4.11796,71.08001,1463.85484,695.76552,288.7473,71.57221,1433.70754,765.86641,7703.03436,498.02282,123.08622,585.48782,244.70055,22.53562,120.23163,32.25868,283.8687,0.81505
2004年,378.7,1060.24,969.69,0.0,456.83,671.09,57.59,230.43,70.66,569.54,28661.1,396.25,324.08,0.0,443.02,460.39,25.59,119.24,333.02,0.0,24.95,175.46,4.13,36.11,2322.51,778.42,207.94,36.97,1700.2,786.4,12812.98,804.02,146.57,874.37,369.58,20.31,156.51,51.62,781.09,4.59
2005年,508.4727,1546.18359,1241.01172,0.0,496.90102,839.63428,125.67958,299.77113,102.96776,704.75062,34917.56098,473.73785,367.91631,0.0,513.3594,519.37609,59.57356,150.39008,427.30236,0.90632,22.12355,201.97469,4.24207,38.78014,2891.72905,960.79426,318.24805,61.82977,1954.56715,951.1191,15116.25968,1105.34704,186.20854,992.83346,478.25239,13.36871,208.75217,62.49898,966.83318,3.86463
2006年,798.25325,2324.91124,1512.59551,0.0,637.97535,1008.26769,171.72974,388.91641,117.89956,845.7658,45576.99379,582.24987,467.24744,1.2384,605.63334,890.12509,59.79416,197.22502,544.67598,26.56115,22.57563,194.53296,3.11771,30.52841,3624.16916,1133.09593,270.58545,84.89314,2173.15246,1202.43514,20132.06169,1417.61786,318.0155,1268.71077,589.14883,16.7962,250.31739,82.53108,1576.30537,5.33811
2007年,995.44743,3284.44615,1699.03646,0.0,693.27959,1281.1898,293.44862,477.02203,151.28862,968.13845,56547.76339,662.95515,565.35752,0.0,722.26428,895.34597,11.63588,241.70069,677.2163,25.32283,24.39743,156.98821,14.39014,20.81259,4678.03111,1320.6873,343.43209,114.28817,2310.77137,1479.20935,25115.85504,1852.72145,371.05993,1731.5048,755.97894,12.10913,302.31796,76.18399,2214.31361,7.61501
2008年,1271.82636,4470.42702,1763.079,0.0,798.36552,1560.71368,276.81755,540.55003,180.85681,1088.21999,63215.54902,683.95229,651.95221,0.006,784.9431,861.93999,5.9157,251.20249,749.96761,27.09981,20.81763,146.63468,14.50735,10.26689,5356.57495,1289.27747,358.78937,216.43583,2302.29601,1523.8768,27550.41727,2261.32669,361.11972,1871.28119,785.91297,11.07312,333.43499,78.28543,2752.4926,2.8929
2009年,980.94928,4158.54392,1392.56317,0.0,809.14763,1234.26859,213.99101,528.28316,174.54638,906.31037,54782.05714,593.30754,577.14794,0.0,711.62169,526.67236,2.47541,260.87076,706.83683,27.54115,22.62924,68.96608,22.13897,37.22426,4727.21664,1203.4736,345.99626,98.20905,2078.21723,1451.90924,25853.91025,1754.12806,299.1589,1143.87343,642.31789,9.80442,324.5958,64.14308,829.00281,0.06474
2010年,1363.12762,5259.7996,1695.37396,0.0,976.52532,1814.35113,285.08134,688.94362,209.81341,1173.44704,70408.41578,706.56152,736.15099,0.0,775.70166,798.22314,6.27929,270.57835,850.68981,28.68287,27.39015,117.21674,9.36645,25.06563,6423.35292,1520.95674,374.7222,59.47268,2642.76305,1627.47977,32837.25879,2118.6743,490.51518,1620.04341,888.8173,6.96827,392.55879,82.51904,1503.87449,0.06921
2011年,1678.03185,6124.91807,1854.74011,0.0,1228.33568,2203.18968,380.68947,756.04328,220.1405,1298.84524,81508.90672,844.52775,1110.07192,16.42658,1002.77967,1031.66188,0.67961,368.07726,1123.52816,29.20515,30.78148,51.75407,31.14004,53.16823,7944.60138,1812.47398,347.24145,72.43025,3166.92724,2056.46322,36109.24154,2628.70741,458.48371,1946.64839,1060.50626,10.05684,467.0032,117.77572,1869.44359,2.16686
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
