,专用设备制造业大中型工业企业财务费用,交通运输设备制造业大中型工业企业财务费用,仪器仪表及文化、办公用机械制造业大中型工业企业财务费用,其他采矿业大中型工业企业财务费用,农副食品加工业大中型工业企业财务费用,化学原料及化学制品制造业大中型工业企业财务费用,化学纤维制造业大中型工业企业财务费用,医药制造业大中型工业企业财务费用,印刷业和记录媒介的复制大中型工业企业财务费用,塑料制品业大中型工业企业财务费用,大中型工业企业财务费用,家具制造业大中型工业企业财务费用,工艺品及其他制造业大中型工业企业财务费用,废弃资源和废旧材料回收加工业大中型工业企业财务费用,文教体育用品制造业大中型工业企业财务费用,有色金属冶炼及压延加工业大中型工业企业财务费用,有色金属矿采选业大中型工业企业财务费用,木材加工及木、竹、藤、棕、草制品业大中型工业企业财务费用,橡胶制品业大中型工业企业财务费用,水的生产和供应业大中型工业企业财务费用,烟草制品业大中型工业企业财务费用,煤炭开采和洗选业大中型工业企业财务费用,燃气生产和供应业大中型工业企业财务费用,电力、热力的生产和供应业大中型工业企业财务费用,电气机械及器材制造业大中型工业企业财务费用,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业财务费用,石油加工、炼焦及核燃料加工业大中型工业企业财务费用,石油和天然气开采业大中型工业企业财务费用,纺织业大中型工业企业财务费用,纺织服装、鞋、帽制造业大中型工业企业财务费用,通信设备、计算机及其他电子设备制造大中型工业企业财务费用,通用设备制造业大中型工业企业财务费用,造纸及纸制品业大中型工业企业财务费用,金属制品业大中型工业企业财务费用,非金属矿物制品业大中型工业企业财务费用,非金属矿采选业大中型工业企业财务费用,食品制造业大中型工业企业财务费用,饮料制造业大中型工业企业财务费用,黑色金属冶炼及压延加工业大中型工业企业财务费用,黑色金属矿采选业大中型工业企业财务费用
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,42.11697,78.1179,6.85253,0.26017,36.4789,111.86272,22.43066,35.50812,5.78249,15.91218,1556.45873,3.61359,4.00494,0.05958,3.18925,53.80266,7.51025,7.21182,16.07273,8.36131,22.14632,51.4964,4.10957,352.05543,56.69408,9.04127,42.64698,16.62789,84.71251,15.01058,82.59904,46.95923,45.93752,20.8326,64.35079,3.9653,16.78076,21.93634,135.85399,3.55336
2004年,35.68,79.49,6.94,0.03,42.93,115.8,22.77,34.36,5.15,18.39,1741.67,4.38,6.02,0.25,3.87,66.27,7.66,8.13,19.08,10.24,18.81,66.09,3.71,429.8,59.24,9.15,47.29,20.92,91.39,15.75,87.16,45.64,48.05,22.24,73.49,4.26,20.58,20.73,164.97,4.98
2005年,37.10286,75.73211,8.14507,0.0144,50.70646,122.79271,33.56268,44.16474,6.34055,23.42452,1878.26682,6.55445,7.38344,0.16588,4.89809,79.82249,8.00583,6.88106,23.58744,9.16561,16.0487,64.41145,1.85115,433.8809,77.77194,12.34807,56.55069,11.16448,114.20381,22.67704,74.91672,46.2429,46.51663,27.20804,88.03467,4.3065,25.10074,17.26445,183.34287,5.97468
2006年,44.16065,92.80144,6.82357,0.0,56.84833,164.1157,40.67306,50.105,7.59225,32.27593,2368.02355,7.98064,10.56617,0.21966,6.69653,108.41322,9.48867,10.97551,28.03934,21.31889,10.5981,83.80548,3.24359,519.78609,98.12533,16.17264,77.37419,14.9062,131.64947,27.28394,86.38084,60.00822,69.49105,36.23847,104.8855,4.90654,27.21169,21.15542,267.13512,8.57111
2007年,56.60046,82.65433,10.73228,0.0,76.97222,197.92065,51.24036,62.88424,8.90148,36.35794,2946.26749,12.84571,14.4965,0.19323,8.85117,149.31178,11.81136,16.08238,35.25573,22.82947,4.10217,121.12998,6.00475,625.94486,134.76719,20.51597,94.80468,19.15257,159.5151,34.84133,80.99877,78.05448,75.84875,51.86479,126.77424,5.06105,34.76385,24.08136,377.76373,14.33658
2008年,84.12626,111.02637,15.07766,0.0,100.50408,254.75319,57.63185,77.56755,8.9619,40.73207,4060.6085,11.98126,16.21586,1.43642,8.80968,186.89311,12.77263,19.42003,47.27441,32.49182,-3.00072,202.30395,10.46009,928.68434,197.49264,21.75163,180.42368,28.71047,184.26024,38.09605,147.69546,101.18667,85.04784,64.08347,162.61574,8.64946,40.22908,32.2142,518.88341,23.14465
2009年,72.971,147.76806,15.79058,0.0,101.88371,277.39708,49.47525,71.32483,8.49598,37.41741,3927.44187,14.23249,16.24484,2.10051,9.13777,188.0377,16.32386,17.11784,42.38355,36.1611,-4.74973,222.04382,10.17149,950.05281,150.77715,23.56232,141.8469,28.97297,162.8216,34.52424,114.08314,97.47239,91.25981,65.35129,155.34264,9.06312,42.17736,35.75072,453.66713,18.98714
2010年,92.1658,157.37495,18.98126,0.007,120.99085,340.44232,57.01356,72.29909,9.1671,42.52551,4677.75048,15.6076,20.53803,5.13396,10.10051,251.08916,20.66743,20.18829,44.41607,39.76313,-3.19422,287.74905,13.73011,1044.18392,225.36832,31.17306,178.58671,40.68131,195.1674,42.88864,109.21879,122.16164,98.26558,73.30231,189.97335,8.61941,39.65357,33.90335,572.84207,35.00449
2011年,140.07594,177.75862,26.00418,0.0,142.49938,461.28411,73.07921,82.39744,12.53819,51.94595,6091.06974,21.76133,32.044,6.0645,10.06866,348.96734,24.66053,28.753,61.84169,43.07193,-5.02873,418.49572,13.95884,1215.28904,330.1304,46.69462,253.45593,72.99705,260.48351,61.46007,99.78771,175.46167,123.06481,95.57203,284.3548,15.67414,43.10657,37.21289,747.87948,56.20319
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
