,专用设备制造业大中型工业企业应付帐款,交通运输设备制造业大中型工业企业应付帐款,仪器仪表及文化、办公用机械制造业大中型工业企业应付帐款,其他采矿业大中型工业企业应付帐款,农副食品加工业大中型工业企业应付帐款,化学原料及化学制品制造业大中型工业企业应付帐款,化学纤维制造业大中型工业企业应付帐款,医药制造业大中型工业企业应付帐款,印刷业和记录媒介的复制大中型工业企业应付帐款,塑料制品业大中型工业企业应付帐款,大中型工业企业应付帐款,家具制造业大中型工业企业应付帐款,工艺品及其他制造业大中型工业企业应付帐款,废弃资源和废旧材料回收加工业大中型工业企业应付帐款,文教体育用品制造业大中型工业企业应付帐款,有色金属冶炼及压延加工业大中型工业企业应付帐款,有色金属矿采选业大中型工业企业应付帐款,木材加工及木、竹、藤、棕、草制品业大中型工业企业应付帐款,橡胶制品业大中型工业企业应付帐款,水的生产和供应业大中型工业企业应付帐款,烟草制品业大中型工业企业应付帐款,煤炭开采和洗选业大中型工业企业应付帐款,燃气生产和供应业大中型工业企业应付帐款,电力、热力的生产和供应业大中型工业企业应付帐款,电气机械及器材制造业大中型工业企业应付帐款,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业应付帐款,石油加工、炼焦及核燃料加工业大中型工业企业应付帐款,石油和天然气开采业大中型工业企业应付帐款,纺织业大中型工业企业应付帐款,纺织服装、鞋、帽制造业大中型工业企业应付帐款,通信设备、计算机及其他电子设备制造大中型工业企业应付帐款,通用设备制造业大中型工业企业应付帐款,造纸及纸制品业大中型工业企业应付帐款,金属制品业大中型工业企业应付帐款,非金属矿物制品业大中型工业企业应付帐款,非金属矿采选业大中型工业企业应付帐款,食品制造业大中型工业企业应付帐款,饮料制造业大中型工业企业应付帐款,黑色金属冶炼及压延加工业大中型工业企业应付帐款,黑色金属矿采选业大中型工业企业应付帐款
2003年,406.50124,1540.08384,192.41023,1.94628,153.68727,529.54184,65.54967,240.45088,57.74394,149.04385,12572.9285,49.8875,47.43041,0.00266,69.86439,217.78281,17.05827,40.65443,112.63681,31.43342,212.44704,293.69676,27.85685,902.67386,808.62387,132.71022,276.23188,370.26268,365.6232,154.94958,2743.72767,490.08342,162.19473,180.39393,306.85296,20.21925,129.19163,149.26769,900.78765,21.42389
2004年,503.5,1811.49,249.58,2.11,227.59,683.36,124.08,231.16,66.39,208.99,17046.05,106.73,84.47,2.95,97.65,329.02,22.24,40.08,156.28,34.41,214.65,404.06,28.06,1399.26,1106.25,172.07,405.33,517.05,492.52,163.56,3907.32,667.9,197.78,247.05,405.13,15.8,175.08,152.35,1351.34,41.39
2005年,623.36114,2312.5989,297.10121,0.31602,246.98584,890.14626,121.11834,295.87077,87.25134,256.26153,21223.58466,127.0211,89.58056,2.8045,124.01378,426.41119,27.69967,41.08955,164.96496,39.08945,202.40339,565.75542,31.92888,1492.98569,1342.43917,218.9588,569.88627,643.9717,568.45417,213.41389,5029.3483,844.2137,245.42571,285.88316,486.1565,21.77016,232.2475,160.40497,1845.25333,48.99784
2006年,783.6931,2800.41583,386.56103,,281.42335,1041.40124,172.76328,326.17743,92.92429,290.88927,25223.69621,159.84298,110.17319,6.58113,143.20494,591.39148,47.93287,48.75808,193.26367,37.17302,221.92256,696.99106,30.70652,1965.4062,1782.43668,259.85255,619.16096,842.85063,637.51926,267.41035,5485.37064,1038.85908,300.81983,377.69044,539.2896,27.45196,242.59965,209.35569,2098.97406,64.45831
2007年,1032.31663,3636.28904,432.63355,,374.77827,1284.59576,227.90444,349.5746,116.18714,338.28047,31361.09183,171.65792,169.51726,6.06653,160.06316,715.84007,58.5451,69.30192,226.16814,50.29945,229.78318,946.30177,41.81382,2388.50876,2200.10029,293.59945,752.90012,1143.13396,709.9943,349.86591,6687.6092,1283.45741,394.61249,501.02521,668.08255,20.68049,306.78124,301.72925,2648.79048,72.3025
2008年,1429.04435,3994.06759,415.77687,,437.42597,1484.93726,175.61053,429.49264,125.58665,384.96545,35576.96709,170.95715,140.06058,17.79016,176.25576,742.60721,69.31306,68.12848,257.96327,64.60303,318.59459,1323.01759,60.48168,2805.21961,2361.6297,303.48204,1065.71798,1601.99065,691.61007,403.52113,5812.58179,1722.35165,456.34823,558.14631,875.04872,29.40694,387.09716,324.00588,3768.83425,123.29511
2009年,1608.15192,5941.58073,502.49959,,593.69098,1725.79142,232.38923,500.1734,135.73759,365.22291,41775.5655,170.27628,173.88711,14.34348,156.20164,926.36018,70.18557,66.26957,266.84328,69.62155,364.64691,1629.7966,64.9465,3534.40657,2770.55412,296.82898,1296.8725,1516.00415,726.11064,394.94195,7041.51384,1812.33843,571.913,567.34597,962.08923,29.24557,413.09154,386.2631,3742.11156,135.31791
2010年,2076.58825,7623.84599,635.99385,,796.03136,2213.54197,303.61439,588.73915,159.11083,447.93684,53022.84855,227.01443,221.84973,59.75884,193.70758,1281.9677,84.43969,69.95951,343.26615,98.04345,433.21984,2038.15326,115.27464,4562.28049,3815.31355,370.87379,1969.98298,1761.62445,822.0579,494.69439,8793.0399,2314.65572,538.26701,753.18883,1260.52742,28.97443,504.67095,455.16992,4327.10245,238.36692
2011年,2461.41301,8386.23685,749.87803,0.06083,960.77331,2729.963,407.33005,736.39659,179.56646,491.89181,63039.71533,242.45741,318.89618,110.09245,210.51875,1582.5828,100.33757,88.36129,412.16689,99.44318,536.47817,2922.2543,104.76724,5416.42825,4514.56748,379.2402,2367.55947,1911.8955,965.03676,603.20344,10293.88847,2720.51668,682.97426,822.52374,1542.00201,46.25368,587.92855,575.26077,5417.05543,361.51447
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
