,专用设备制造业大中型工业企业应付帐款,交通运输设备制造业大中型工业企业应付帐款,仪器仪表及文化、办公用机械制造业大中型工业企业应付帐款,其他采矿业大中型工业企业应付帐款,农副食品加工业大中型工业企业应付帐款,化学原料及化学制品制造业大中型工业企业应付帐款,化学纤维制造业大中型工业企业应付帐款,医药制造业大中型工业企业应付帐款,印刷业和记录媒介的复制大中型工业企业应付帐款,塑料制品业大中型工业企业应付帐款,大中型工业企业应付帐款,家具制造业大中型工业企业应付帐款,工艺品及其他制造业大中型工业企业应付帐款,废弃资源和废旧材料回收加工业大中型工业企业应付帐款,文教体育用品制造业大中型工业企业应付帐款,有色金属冶炼及压延加工业大中型工业企业应付帐款,有色金属矿采选业大中型工业企业应付帐款,木材加工及木、竹、藤、棕、草制品业大中型工业企业应付帐款,橡胶制品业大中型工业企业应付帐款,水的生产和供应业大中型工业企业应付帐款,烟草制品业大中型工业企业应付帐款,煤炭开采和洗选业大中型工业企业应付帐款,燃气生产和供应业大中型工业企业应付帐款,电力、热力的生产和供应业大中型工业企业应付帐款,电气机械及器材制造业大中型工业企业应付帐款,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业应付帐款,石油加工、炼焦及核燃料加工业大中型工业企业应付帐款,石油和天然气开采业大中型工业企业应付帐款,纺织业大中型工业企业应付帐款,纺织服装、鞋、帽制造业大中型工业企业应付帐款,通信设备、计算机及其他电子设备制造大中型工业企业应付帐款,通用设备制造业大中型工业企业应付帐款,造纸及纸制品业大中型工业企业应付帐款,金属制品业大中型工业企业应付帐款,非金属矿物制品业大中型工业企业应付帐款,非金属矿采选业大中型工业企业应付帐款,食品制造业大中型工业企业应付帐款,饮料制造业大中型工业企业应付帐款,黑色金属冶炼及压延加工业大中型工业企业应付帐款,黑色金属矿采选业大中型工业企业应付帐款
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
