,专用设备制造业大中型工业企业本年应交增值税,交通运输设备制造业大中型工业企业本年应交增值税,仪器仪表及文化、办公用机械制造业大中型工业企业本年应交增值税,其他采矿业大中型工业企业本年应交增值税,农副食品加工业大中型工业企业本年应交增值税,化学原料及化学制品制造业大中型工业企业本年应交增值税,化学纤维制造业大中型工业企业本年应交增值税,医药制造业大中型工业企业本年应交增值税,印刷业和记录媒介的复制大中型工业企业本年应交增值税,塑料制品业大中型工业企业本年应交增值税,大中型工业企业本年应交增值税,家具制造业大中型工业企业本年应交增值税,工艺品及其他制造业大中型工业企业本年应交增值税,废弃资源和废旧材料回收加工业大中型工业企业本年应交增值税,文教体育用品制造业大中型工业企业本年应交增值税,有色金属冶炼及压延加工业大中型工业企业本年应交增值税,有色金属矿采选业大中型工业企业本年应交增值税,木材加工及木、竹、藤、棕、草制品业大中型工业企业本年应交增值税,橡胶制品业大中型工业企业本年应交增值税,水的生产和供应业大中型工业企业本年应交增值税,烟草制品业大中型工业企业本年应交增值税,煤炭开采和洗选业大中型工业企业本年应交增值税,燃气生产和供应业大中型工业企业本年应交增值税,电力、热力的生产和供应业大中型工业企业本年应交增值税,电气机械及器材制造业大中型工业企业本年应交增值税,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业本年应交增值税,石油加工、炼焦及核燃料加工业大中型工业企业本年应交增值税,石油和天然气开采业大中型工业企业本年应交增值税,纺织业大中型工业企业本年应交增值税,纺织服装、鞋、帽制造业大中型工业企业本年应交增值税,通信设备、计算机及其他电子设备制造大中型工业企业本年应交增值税,通用设备制造业大中型工业企业本年应交增值税,造纸及纸制品业大中型工业企业本年应交增值税,金属制品业大中型工业企业本年应交增值税,非金属矿物制品业大中型工业企业本年应交增值税,非金属矿采选业大中型工业企业本年应交增值税,食品制造业大中型工业企业本年应交增值税,饮料制造业大中型工业企业本年应交增值税,黑色金属冶炼及压延加工业大中型工业企业本年应交增值税,黑色金属矿采选业大中型工业企业本年应交增值税
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,67.47014,319.95117,19.49884,0.48059,45.59114,223.81309,35.01592,125.67618,20.91195,28.08008,4065.11,6.11309,7.54855,0.05178,5.14928,82.18247,9.25496,9.59331,26.25793,13.42091,243.21988,157.22193,9.6947,647.34762,134.22697,22.51695,181.76403,292.31111,118.21837,34.59402,185.34477,110.70553,62.54883,35.90126,131.54383,9.23922,59.25163,103.14042,469.77696,10.48136
2004年,75.58,298.49,25.4,0.0,55.99,295.65,34.21,130.7,21.84,29.46,4990.26,7.41,13.45,0.55,6.8,124.67,14.35,11.41,27.28,14.04,296.7,265.9,12.43,843.91,151.18,20.56,249.2,398.17,134.01,33.5,208.06,127.6,66.35,39.54,156.38,12.24,71.84,105.79,583.17,26.44
2005年,87.89851,366.57479,28.90502,0.21616,77.10062,340.76399,36.25181,158.82694,25.75841,37.39093,6033.51,10.01961,18.01252,0.64251,10.42718,167.93083,28.60884,15.23346,32.34013,15.18265,325.03621,356.11622,12.09377,938.62404,190.64954,36.61511,253.89047,579.57018,180.34777,49.4639,252.22688,162.37989,78.81902,52.83806,166.97027,16.31888,95.65051,129.475,665.41746,32.9178
2006年,120.25171,458.28508,48.82502,0.0,109.81633,379.82945,41.06336,174.04214,29.18269,48.08521,7567.65,17.9937,24.56511,0.97825,18.40604,279.68947,53.31127,20.32412,36.64016,16.64543,369.57454,433.88592,15.67032,1176.98232,262.84021,46.98908,292.1568,730.64396,208.43459,70.34407,334.36963,213.52603,97.78345,78.04742,208.47238,18.40004,113.61753,154.81058,823.10379,40.05977
2007年,151.22878,606.34974,47.76508,0.0,123.63638,519.56446,62.93426,215.66464,34.32543,58.60816,9452.78,20.88794,33.56668,1.96072,16.52784,397.84478,64.42305,30.96897,59.51457,20.12816,453.27518,536.78666,21.4022,1372.98174,339.40563,61.86954,446.34936,720.56148,240.16345,96.3176,336.68301,258.91031,124.9119,103.00984,287.89,20.94616,146.67987,186.80168,1173.50911,58.42543
2008年,192.5169,726.51854,59.04475,0.0,187.90963,596.39311,55.14077,270.00787,43.02262,73.65689,11527.41,29.77788,38.60543,5.62134,24.22989,394.42669,59.81249,35.24479,73.29989,21.71973,521.3192,874.14053,33.2899,1390.92673,506.58606,86.84814,539.13299,1015.52587,276.72274,120.20456,485.57321,308.69894,135.47759,148.05687,357.40252,23.16069,185.70468,225.76708,1295.06762,110.8549
2009年,233.67127,1052.52204,67.69692,0.0,204.53464,558.4241,50.13295,313.35744,40.00714,79.81732,11412.86,30.99226,41.06372,5.79386,24.37547,307.92641,48.27292,40.83767,83.01511,25.48187,563.88762,1049.37947,24.34858,1172.34801,575.39702,87.67041,674.68947,550.77769,266.66836,126.85032,449.31967,364.38817,131.90728,143.60071,380.6283,26.54685,204.76276,258.13473,1065.50753,88.11971
2010年,335.74686,1479.38915,95.96441,0.18,301.52881,728.6583,83.23268,371.39055,44.66552,100.62273,15053.53,45.94458,52.61672,22.23087,26.19933,453.5329,80.81816,45.69005,91.11634,28.73516,671.41836,1463.92909,34.59342,1374.08016,727.11363,120.51095,1024.12222,810.00521,342.47213,161.64194,745.03151,487.166,159.03149,204.30207,481.45679,29.60648,243.5023,292.28348,1132.91519,160.08832
2011年,423.30021,1519.25257,121.86574,0.00228,429.48619,973.55367,116.0879,469.29957,57.9996,136.06186,18485.3,72.16378,78.08118,31.58653,38.09355,532.03447,105.33439,72.17143,95.24748,32.86354,805.79708,1950.2733,46.3986,1565.89237,855.38723,164.66018,1027.82682,1061.75686,456.93574,234.97892,1171.68786,558.82785,174.28894,267.7523,660.7131,57.63922,324.71682,389.01623,1185.12579,221.13939
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
