,专用设备制造业大中型工业企业产成品,交通运输设备制造业大中型工业企业产成品,仪器仪表及文化、办公用机械制造业大中型工业企业产成品,其他采矿业大中型工业企业产成品,农副食品加工业大中型工业企业产成品,化学原料及化学制品制造业大中型工业企业产成品,化学纤维制造业大中型工业企业产成品,医药制造业大中型工业企业产成品,印刷业和记录媒介的复制大中型工业企业产成品,塑料制品业大中型工业企业产成品,大中型工业企业产成品,家具制造业大中型工业企业产成品,工艺品及其他制造业大中型工业企业产成品,废弃资源和废旧材料回收加工业大中型工业企业产成品,文教体育用品制造业大中型工业企业产成品,有色金属冶炼及压延加工业大中型工业企业产成品,有色金属矿采选业大中型工业企业产成品,木材加工及木、竹、藤、棕、草制品业大中型工业企业产成品,橡胶制品业大中型工业企业产成品,水的生产和供应业大中型工业企业产成品,烟草制品业大中型工业企业产成品,煤炭开采和洗选业大中型工业企业产成品,燃气生产和供应业大中型工业企业产成品,电力、热力的生产和供应业大中型工业企业产成品,电气机械及器材制造业大中型工业企业产成品,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业产成品,石油加工、炼焦及核燃料加工业大中型工业企业产成品,石油和天然气开采业大中型工业企业产成品,纺织业大中型工业企业产成品,纺织服装、鞋、帽制造业大中型工业企业产成品,通信设备、计算机及其他电子设备制造大中型工业企业产成品,通用设备制造业大中型工业企业产成品,造纸及纸制品业大中型工业企业产成品,金属制品业大中型工业企业产成品,非金属矿物制品业大中型工业企业产成品,非金属矿采选业大中型工业企业产成品,食品制造业大中型工业企业产成品,饮料制造业大中型工业企业产成品,黑色金属冶炼及压延加工业大中型工业企业产成品,黑色金属矿采选业大中型工业企业产成品
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,244.82129,477.72041,49.77173,2.15519,158.64304,284.58075,46.22805,147.8573,21.26042,69.07615,4831.82634,17.91047,27.15795,0.01158,27.19179,123.69235,13.2419,24.57719,82.1394,0.22769,86.03742,75.73097,3.23752,24.28855,363.50782,61.04434,133.58294,36.44392,362.72549,92.74537,572.22555,276.29218,89.47735,111.06586,206.12322,15.24573,63.2899,104.02178,325.6095,10.86628
2004年,275.3,592.23,60.38,0.0,194.26,345.71,68.41,136.28,23.49,91.04,5796.99,28.85,30.89,0.98,30.74,168.46,16.68,28.84641,90.83,0.91,38.72,108.7,3.7,23.58,442.52,56.61,219.36,56.0,395.79,105.52,648.59,339.7,109.09,128.16,225.76,14.78,84.55,100.66,493.92,17.02
2005年,311.15847,625.6886,69.82559,0.1048,235.5353,438.33843,89.49897,184.43008,27.84356,108.83135,7025.9584,33.12511,47.33669,0.61527,37.59783,222.69111,20.16127,30.70664,99.66327,0.14487,33.05515,162.26824,4.57433,14.83583,524.96799,75.59583,267.40573,75.09275,468.54342,152.09074,733.17458,413.32934,120.21419,160.42145,273.56012,16.59012,98.36117,116.92686,708.37257,23.28078
2006年,359.35385,796.95761,84.0831,0.0,264.50121,498.85808,98.57955,201.28106,36.1981,123.82875,8341.76777,43.05395,57.22176,2.32176,41.12605,336.29859,38.72544,45.32675,120.99812,0.79818,49.74471,196.63728,4.36182,22.87818,664.39065,83.18001,318.05413,74.06443,530.43654,187.86583,842.5943,461.88198,135.51604,193.4358,295.85655,20.72546,111.43057,132.9323,835.53676,30.73252
2007年,441.56981,1014.66896,100.33829,0.0,361.22896,624.95822,147.65564,251.62213,48.69939,146.78917,10245.50024,56.272,83.25502,3.22991,47.15084,420.43771,34.30112,59.07334,139.9408,1.06887,57.15755,216.68307,4.94082,44.40319,848.66807,102.38,382.29237,83.08275,644.48338,210.10772,929.69061,559.36338,146.98606,241.7103,353.67441,18.86681,144.02394,171.0081,1070.29461,33.42292
2008年,600.38764,1165.44049,110.82,0.0,409.08456,811.29966,129.92181,293.0448,49.73472,140.44107,12227.26036,64.73546,94.17105,8.05732,54.98639,464.28415,45.14111,66.45136,184.8158,0.89758,170.34163,331.56102,6.72334,31.8966,900.25437,99.03498,451.31174,93.42516,626.02386,263.56113,1061.66761,753.47075,224.83409,259.28683,465.88689,23.61118,167.42368,206.0915,1346.98377,50.15526
2009年,580.02851,1272.53418,118.40641,0.0,477.81919,737.13914,132.31108,310.02895,51.84859,152.55907,12448.59711,62.98785,126.20203,12.37582,50.61886,498.35792,57.36172,70.85903,167.0638,1.74811,103.46423,345.91516,9.45143,32.00257,1019.91508,122.843,511.4758,92.12433,599.57184,296.10383,1063.01486,752.3125,184.38406,297.875,466.43574,24.67402,189.86595,210.15281,1188.59434,58.1703
2010年,772.95703,1785.11335,156.72072,0.13,621.23204,900.55946,175.2679,373.3067,58.95079,183.21344,15465.72664,89.70219,151.11813,34.19986,59.4102,672.62701,67.98484,70.28436,209.1145,1.58128,140.42296,477.11083,12.36067,30.00299,1314.41475,134.5621,577.76635,103.74555,664.936,367.92993,1313.36188,852.12254,212.75249,347.59533,525.19277,24.38438,203.69509,245.19834,1455.24812,79.44977
2011年,1043.82972,1864.42208,206.99304,0.0008,771.73817,1224.60931,237.25797,485.12212,72.08157,226.7335,19535.26106,113.1552,266.0443,62.45481,82.22032,942.933,97.95345,96.72834,266.02502,3.15313,130.71616,571.66749,17.07749,74.24878,1574.74115,181.9579,781.65634,102.47108,852.77044,508.34414,1549.70912,1086.47849,281.82424,435.76173,716.29775,37.93588,270.47518,332.00914,1863.99861,101.6641
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
