,专用设备制造业大中型工业企业主营业务成本,交通运输设备制造业大中型工业企业主营业务成本,仪器仪表及文化、办公用机械制造业大中型工业企业主营业务成本,其他采矿业大中型工业企业主营业务成本,农副食品加工业大中型工业企业主营业务成本,化学原料及化学制品制造业大中型工业企业主营业务成本,化学纤维制造业大中型工业企业主营业务成本,医药制造业大中型工业企业主营业务成本,印刷业和记录媒介的复制大中型工业企业主营业务成本,塑料制品业大中型工业企业主营业务成本,大中型工业企业主营业务成本,家具制造业大中型工业企业主营业务成本,工艺品及其他制造业大中型工业企业主营业务成本,废弃资源和废旧材料回收加工业大中型工业企业主营业务成本,文教体育用品制造业大中型工业企业主营业务成本,有色金属冶炼及压延加工业大中型工业企业主营业务成本,有色金属矿采选业大中型工业企业主营业务成本,木材加工及木、竹、藤、棕、草制品业大中型工业企业主营业务成本,橡胶制品业大中型工业企业主营业务成本,水的生产和供应业大中型工业企业主营业务成本,烟草制品业大中型工业企业主营业务成本,煤炭开采和洗选业大中型工业企业主营业务成本,燃气生产和供应业大中型工业企业主营业务成本,电力、热力的生产和供应业大中型工业企业主营业务成本,电气机械及器材制造业大中型工业企业主营业务成本,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业主营业务成本,石油加工、炼焦及核燃料加工业大中型工业企业主营业务成本,石油和天然气开采业大中型工业企业主营业务成本,纺织业大中型工业企业主营业务成本,纺织服装、鞋、帽制造业大中型工业企业主营业务成本,通信设备、计算机及其他电子设备制造大中型工业企业主营业务成本,通用设备制造业大中型工业企业主营业务成本,造纸及纸制品业大中型工业企业主营业务成本,金属制品业大中型工业企业主营业务成本,非金属矿物制品业大中型工业企业主营业务成本,非金属矿采选业大中型工业企业主营业务成本,食品制造业大中型工业企业主营业务成本,饮料制造业大中型工业企业主营业务成本,黑色金属冶炼及压延加工业大中型工业企业主营业务成本,黑色金属矿采选业大中型工业企业主营业务成本
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
