,专用设备制造业大中型工业企业流动资产合计,交通运输设备制造业大中型工业企业流动资产合计,仪器仪表及文化、办公用机械制造业大中型工业企业流动资产合计,其他采矿业大中型工业企业流动资产合计,农副食品加工业大中型工业企业流动资产合计,化学原料及化学制品制造业大中型工业企业流动资产合计,化学纤维制造业大中型工业企业流动资产合计,医药制造业大中型工业企业流动资产合计,印刷业和记录媒介的复制大中型工业企业流动资产合计,塑料制品业大中型工业企业流动资产合计,大中型工业企业流动资产合计,家具制造业大中型工业企业流动资产合计,工艺品及其他制造业大中型工业企业流动资产合计,废弃资源和废旧材料回收加工业大中型工业企业流动资产合计,文教体育用品制造业大中型工业企业流动资产合计,有色金属冶炼及压延加工业大中型工业企业流动资产合计,有色金属矿采选业大中型工业企业流动资产合计,木材加工及木、竹、藤、棕、草制品业大中型工业企业流动资产合计,橡胶制品业大中型工业企业流动资产合计,水的生产和供应业大中型工业企业流动资产合计,烟草制品业大中型工业企业流动资产合计,煤炭开采和洗选业大中型工业企业流动资产合计,燃气生产和供应业大中型工业企业流动资产合计,电力、热力的生产和供应业大中型工业企业流动资产合计,电气机械及器材制造业大中型工业企业流动资产合计,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业流动资产合计,石油加工、炼焦及核燃料加工业大中型工业企业流动资产合计,石油和天然气开采业大中型工业企业流动资产合计,纺织业大中型工业企业流动资产合计,纺织服装、鞋、帽制造业大中型工业企业流动资产合计,通信设备、计算机及其他电子设备制造大中型工业企业流动资产合计,通用设备制造业大中型工业企业流动资产合计,造纸及纸制品业大中型工业企业流动资产合计,金属制品业大中型工业企业流动资产合计,非金属矿物制品业大中型工业企业流动资产合计,非金属矿采选业大中型工业企业流动资产合计,食品制造业大中型工业企业流动资产合计,饮料制造业大中型工业企业流动资产合计,黑色金属冶炼及压延加工业大中型工业企业流动资产合计,黑色金属矿采选业大中型工业企业流动资产合计
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,1886.19906,5818.22572,551.1584,15.7932,1021.62702,2781.30755,452.64679,1439.26418,264.67967,646.84479,54268.38,177.09679,204.13211,2.97463,228.37716,1349.85962,143.54192,174.34265,532.9147,286.29296,1649.83789,1784.31876,173.03788,4656.8443,3086.59785,449.55331,1224.04159,921.80727,2451.98232,693.84826,6667.29488,2641.06055,821.57264,839.71127,1770.12058,142.5126,680.08427,1047.63656,4462.47856,126.75971
2004年,2064.03,6508.18,668.87,3.24,1262.98,3262.77,622.22,1440.08,299.3,802.0,65765.12,275.66,357.09,11.88,277.83,1801.26,195.33,212.79,644.12,370.6,1825.21,2375.23,191.09,5493.16,3837.78,544.59,1747.26,1228.73,2598.98,823.86,8422.73,3421.85,965.31,1101.97,2047.29,135.04,807.55,1072.16,5805.08,240.04
2005年,2446.70527,7480.7563,803.74217,1.345,1457.26996,4066.42147,789.84516,1754.04847,359.06524,996.81136,77623.67,316.70211,383.82164,12.21615,335.69955,2275.78003,293.19844,236.07012,679.4407,389.85273,2029.27853,2979.20994,224.13826,5097.38118,4802.63595,695.3332,2529.69987,1421.51785,3146.23201,1043.93439,10308.29686,4067.29487,1080.71832,1272.94776,2301.15626,127.38366,982.59882,1195.07797,6918.32685,321.71974
2006年,2996.11396,9127.38774,1060.72183,0.0,1755.9253,4926.56919,903.45443,1975.09085,406.52681,1185.01839,92049.07,415.73047,505.32256,21.21427,400.73451,3195.20352,500.41049,305.48637,763.71135,537.02538,2256.398,3576.16628,275.66875,5489.58093,5913.48482,828.43465,2841.70559,1843.84868,3590.1311,1294.95161,11453.94558,4694.34249,1313.01174,1672.11244,2518.94085,165.11741,1068.5759,1413.0376,8445.82971,412.14175
2007年,3910.70698,12457.23869,1244.88926,0.0,2286.90981,6155.6744,1214.65243,2273.21992,498.78685,1364.97049,113694.45,515.74339,693.64118,21.08031,443.32605,4244.83653,597.18383,402.54163,905.87395,630.41848,2402.38398,4289.65329,322.88751,5705.08358,7587.35663,1017.2741,3469.1104,1965.99477,4227.18658,1555.57643,13690.70944,5831.15256,1561.33498,2169.01509,3034.17562,167.21451,1382.87689,1728.28341,11151.95736,573.52849
2008年,5262.96424,14722.05787,1494.0614,0.0,2683.78439,7103.93689,1104.97341,2647.6291,540.88846,1527.14015,132898.77,559.71083,711.14062,92.8908,499.53239,4931.72444,632.20242,474.46605,1065.19405,568.83975,2895.03146,6640.94916,419.77188,6651.8669,8818.30603,1061.3155,4367.08148,2254.23274,4356.29696,1808.16537,14124.86299,7141.99489,1883.16268,2487.60541,3837.5091,203.42629,1499.17981,1992.02673,12986.53037,846.31523
2009年,6101.76777,18589.45089,1696.45566,0.0,3369.64801,7910.56027,1203.968,3258.49773,569.81398,1575.91429,152364.09,591.38978,849.61762,104.65269,510.51419,5850.04564,653.25894,457.50658,1136.44963,660.53271,3260.79625,7775.6058,1248.41224,6419.4479,10509.84971,1221.31879,4329.49791,2612.85875,4626.45622,1961.01532,16106.57764,8202.68942,1976.38281,2737.68035,4291.57852,251.9823,1801.82589,2342.34639,14737.64353,860.08406
2010年,8151.56792,25454.25039,2135.00261,0.48,4634.76335,10216.45572,1666.71026,4139.03704,672.50687,2033.39002,195899.0,809.74661,1118.1543,232.58404,591.20843,7641.45429,767.07479,538.10214,1445.32177,772.00276,3671.88701,10629.13779,592.7415,8288.00996,14616.59886,1573.8213,5903.88926,3329.11437,5659.99692,2484.48379,20306.13923,10108.66892,2559.58834,3527.16014,5434.73323,292.73089,2174.68575,2888.78346,17081.46392,1755.54711
2011年,10122.87327,28658.28206,2788.60108,0.04313,6263.83072,13154.85763,2096.25077,5241.99159,834.60427,2440.4238,240505.34,1009.85085,1572.45741,347.21722,694.07611,9233.26993,915.65853,674.13817,1824.97504,884.39563,4060.35259,14370.24677,678.96378,9455.08194,18245.37464,1865.82691,7834.11291,4171.53261,6569.76987,3330.93198,24547.38301,11969.81931,3276.48357,4392.90416,7078.43988,437.10122,2892.47266,3851.66655,20741.88688,1977.19327
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
