,专用设备制造业大中型工业企业外商资本金,交通运输设备制造业大中型工业企业外商资本金,仪器仪表及文化、办公用机械制造业大中型工业企业外商资本金,其他采矿业大中型工业企业外商资本金,农副食品加工业大中型工业企业外商资本金,化学原料及化学制品制造业大中型工业企业外商资本金,化学纤维制造业大中型工业企业外商资本金,医药制造业大中型工业企业外商资本金,印刷业和记录媒介的复制大中型工业企业外商资本金,塑料制品业大中型工业企业外商资本金,大中型工业企业外商资本金,家具制造业大中型工业企业外商资本金,工艺品及其他制造业大中型工业企业外商资本金,废弃资源和废旧材料回收加工业大中型工业企业外商资本金,文教体育用品制造业大中型工业企业外商资本金,有色金属冶炼及压延加工业大中型工业企业外商资本金,有色金属矿采选业大中型工业企业外商资本金,木材加工及木、竹、藤、棕、草制品业大中型工业企业外商资本金,橡胶制品业大中型工业企业外商资本金,水的生产和供应业大中型工业企业外商资本金,烟草制品业大中型工业企业外商资本金,煤炭开采和洗选业大中型工业企业外商资本金,燃气生产和供应业大中型工业企业外商资本金,电力、热力的生产和供应业大中型工业企业外商资本金,电气机械及器材制造业大中型工业企业外商资本金,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业外商资本金,石油加工、炼焦及核燃料加工业大中型工业企业外商资本金,石油和天然气开采业大中型工业企业外商资本金,纺织业大中型工业企业外商资本金,纺织服装、鞋、帽制造业大中型工业企业外商资本金,通信设备、计算机及其他电子设备制造大中型工业企业外商资本金,通用设备制造业大中型工业企业外商资本金,造纸及纸制品业大中型工业企业外商资本金,金属制品业大中型工业企业外商资本金,非金属矿物制品业大中型工业企业外商资本金,非金属矿采选业大中型工业企业外商资本金,食品制造业大中型工业企业外商资本金,饮料制造业大中型工业企业外商资本金,黑色金属冶炼及压延加工业大中型工业企业外商资本金,黑色金属矿采选业大中型工业企业外商资本金
2003年,52.11491,384.37962,78.58673,,79.65284,190.21643,35.97751,64.92824,10.04164,67.58063,3766.88806,19.54106,21.06093,,22.33412,37.16869,0.15546,20.03303,101.39151,7.00723,,2.11424,3.77694,148.27012,311.49503,40.97513,19.93714,2.36682,129.53027,64.50712,939.79444,216.94966,155.44036,69.58665,148.73551,1.26938,105.77247,147.64055,66.33022,0.22543
2004年,91.01,595.49,97.39,0.0,114.96,197.96,51.84,80.98,16.29,99.01,5139.12,37.42,34.68,0.11,32.41,32.61,2.25,24.75,132.81,14.06,0.0,2.06,5.85,180.62,390.26,66.91,20.58,2.59,166.9,58.69,1398.06,258.61,199.52,80.74,192.25,0.81,167.33,163.98,127.33,0.0
2005年,112.88892,620.87223,127.89673,0.36,131.25471,322.6776,73.31976,129.1559,17.31139,107.74134,6385.38612,49.9477,36.79002,0.28323,46.04365,60.53158,0.27514,27.18812,142.43322,16.01553,,2.25459,8.10379,204.41677,434.72049,92.97081,24.48896,12.4021,196.46473,92.4717,1787.6401,352.98766,277.55283,118.37418,216.82844,1.12165,177.71127,183.54526,178.34402,
2006年,173.12884,853.10848,149.67029,,155.33314,527.87869,78.07895,134.15327,15.67365,137.02132,7735.43915,57.40931,39.29764,0.50347,51.73403,87.75433,0.99116,28.47566,158.03754,91.42509,0.44414,21.40082,17.33968,182.35029,500.56991,107.14516,32.84511,9.1042,216.28315,95.33262,2128.41508,396.04098,281.86023,147.75667,260.62431,1.35407,182.21411,200.09514,214.58862,
2007年,221.01003,1029.33871,153.84625,,169.78359,627.81174,88.22513,200.23758,22.17215,160.37806,9553.01052,74.59073,44.48606,0.21567,76.42306,118.71496,12.15043,27.05878,211.14096,97.07569,,21.53867,53.59552,213.80547,698.21929,128.25896,69.70702,10.75696,236.5317,128.06429,2583.39643,444.06761,349.08986,186.94273,343.72866,4.76468,226.46698,222.40918,295.57843,1.4285
2008年,269.74121,1246.19836,192.3532,,208.9384,667.20646,93.85112,225.73117,28.83864,229.84893,10950.44027,80.71028,55.80094,3.16651,87.46478,174.99341,9.28012,39.98164,246.18487,83.40801,,24.04873,45.63264,308.93403,833.28215,145.00302,120.72272,0.01806,272.9477,148.62504,2832.86008,527.35235,385.56031,207.0554,358.25662,5.48222,228.16852,245.88111,314.20391,2.70761
2009年,312.38116,1306.5094,220.25003,,222.46048,802.39268,94.53421,243.39259,45.10034,229.32322,11376.557,88.29136,58.35821,1.58999,89.3891,176.92367,11.55923,47.40577,271.94834,81.12464,,25.43103,61.9472,263.72412,870.59983,135.01821,119.3307,5.02222,260.87211,128.1696,2814.165,587.01484,390.50897,202.72187,376.06172,5.88401,221.39119,298.97039,306.16157,0.628
2010年,401.01508,1527.57309,197.58591,,246.59727,1052.79603,99.51145,311.29023,47.94075,224.21246,12970.80582,103.00113,58.5357,2.33757,87.81214,221.49532,6.20418,50.75869,333.10382,77.15794,,27.24647,54.96197,259.2485,947.51993,142.7896,100.7525,5.1898,336.37382,126.7984,3201.86995,678.1003,509.6313,239.83384,400.26169,4.51634,282.78874,298.08516,305.28075,0.628
2011年,469.44547,1713.76348,240.81604,,317.24334,1150.87375,96.90279,296.27171,33.7505,245.20699,13861.58403,93.33981,74.9935,3.0165,109.47816,203.51164,3.89578,40.4544,331.98099,90.29906,0.42415,33.61077,79.22062,155.01569,1070.63751,164.98311,117.00309,0.69807,296.82366,146.32209,3270.91374,731.95704,652.6147,268.49524,406.92938,4.92028,299.98337,306.89617,335.47118,3.42026
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
