,专用设备制造业大中型工业企业资产总计,交通运输设备制造业大中型工业企业资产总计,仪器仪表及文化、办公用机械制造业大中型工业企业资产总计,其他采矿业大中型工业企业资产总计,农副食品加工业大中型工业企业资产总计,化学原料及化学制品制造业大中型工业企业资产总计,化学纤维制造业大中型工业企业资产总计,医药制造业大中型工业企业资产总计,印刷业和记录媒介的复制大中型工业企业资产总计,塑料制品业大中型工业企业资产总计,大中型工业企业资产总计,家具制造业大中型工业企业资产总计,工艺品及其他制造业大中型工业企业资产总计,废弃资源和废旧材料回收加工业大中型工业企业资产总计,文教体育用品制造业大中型工业企业资产总计,有色金属冶炼及压延加工业大中型工业企业资产总计,有色金属矿采选业大中型工业企业资产总计,木材加工及木、竹、藤、棕、草制品业大中型工业企业资产总计,橡胶制品业大中型工业企业资产总计,水的生产和供应业大中型工业企业资产总计,烟草制品业大中型工业企业资产总计,煤炭开采和洗选业大中型工业企业资产总计,燃气生产和供应业大中型工业企业资产总计,电力、热力的生产和供应业大中型工业企业资产总计,电气机械及器材制造业大中型工业企业资产总计,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业资产总计,石油加工、炼焦及核燃料加工业大中型工业企业资产总计,石油和天然气开采业大中型工业企业资产总计,纺织业大中型工业企业资产总计,纺织服装、鞋、帽制造业大中型工业企业资产总计,通信设备、计算机及其他电子设备制造大中型工业企业资产总计,通用设备制造业大中型工业企业资产总计,造纸及纸制品业大中型工业企业资产总计,金属制品业大中型工业企业资产总计,非金属矿物制品业大中型工业企业资产总计,非金属矿采选业大中型工业企业资产总计,食品制造业大中型工业企业资产总计,饮料制造业大中型工业企业资产总计,黑色金属冶炼及压延加工业大中型工业企业资产总计,黑色金属矿采选业大中型工业企业资产总计
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,3307.40372,10087.42975,894.28581,42.72242,2059.2697,7576.14289,1289.446,2916.50296,588.51898,1332.62778,125131.72,327.64473,360.03964,3.74632,388.74566,3255.57317,418.11442,404.12102,1103.49045,1352.84622,2711.53217,4984.58172,605.80838,20739.62768,4982.27126,721.23638,3588.75663,4757.49426,5215.51153,1216.42458,10075.58122,4225.78755,2232.0991,1423.77794,4406.92455,456.87133,1400.26594,2288.81744,11044.92413,344.75184
2004年,3469.82,11685.9,1051.73,5.01,2519.23,8261.47,1606.48,2905.1,638.12,1590.95,154178.47,457.72,671.29,18.8,485.14,4136.96,535.35,473.69,1338.18,1648.9,2931.71,6346.96,731.36,30431.03,5992.17,852.86,4441.51,5762.65,5441.43,1406.53,12927.47,5320.35,2612.7,1809.63,5109.77,370.95,1738.08,2228.96,13647.42,575.1
2005年,4033.33257,13424.78786,1306.26388,3.79644,2850.38619,10238.97431,2009.58677,3572.66255,761.57991,1931.33647,178816.88,547.22177,662.18756,24.91805,561.21018,5103.5112,691.72758,529.89933,1421.81419,1724.59932,3179.7503,7782.17625,814.95487,31625.76508,7391.83666,1113.71814,5762.20037,6443.39504,6452.67953,1704.52549,15550.70235,6183.88088,3108.88719,2102.30456,5801.69063,334.23873,2015.70538,2447.76117,16848.44894,752.46404
2006年,4838.34559,16100.49459,1623.4003,0.0,3393.99358,12304.64899,2185.71585,3969.67245,844.54256,2210.15354,212410.43,733.34245,843.5202,51.98068,645.31382,6705.4422,1038.05278,637.25011,1641.24235,2294.79828,3461.68963,9829.02827,904.47121,36968.36728,8909.93916,1293.73999,6714.43912,7793.2653,7286.84688,2230.42181,17448.92438,7134.18237,3609.44201,2709.79928,6671.98452,428.58535,2254.43381,2812.19339,20913.44066,973.32858
2007年,6318.6937,20884.99329,1926.84534,0.0,4311.2871,14617.20823,2689.9735,4483.77367,1009.15688,2453.69493,257015.56,932.91538,1129.30535,36.43882,740.53958,9006.0069,1196.51759,784.19818,2008.78874,2559.63832,3697.11688,12158.42679,1080.42991,42130.73746,11130.5283,1575.80805,8382.52508,9477.72883,8398.6148,2520.35834,20919.1103,8969.87857,4211.70117,3445.17443,7695.18332,422.92626,2714.10179,3362.59928,26356.38181,1276.25467
2008年,8200.61062,25540.90455,2286.2817,0.0,5191.00489,17421.65695,2559.91983,5042.15694,1105.74494,2763.29824,305328.84,944.59484,1151.7514,152.38265,838.21176,10965.98157,1439.35346,952.64264,2316.5364,2745.30335,4339.57497,16693.94239,1337.56855,48004.86279,13591.12008,1727.33725,10440.68414,12252.37873,8766.79195,3001.7703,22631.98693,11008.12309,5062.30733,4125.58998,9505.588,535.55883,3020.30583,4011.97819,31676.84575,1976.18375
2009年,9360.7312,31421.02632,2549.02454,0.0,6418.95037,20061.67081,2606.36429,6066.17067,1165.30243,2907.94049,351080.51,992.35122,1333.20283,178.50722,871.65848,12881.01557,1570.9719,958.43078,2458.54206,3114.24581,4860.77162,20380.02249,2303.26311,53940.60698,15889.17059,1933.50801,11533.54821,14208.59661,9268.15864,3175.6597,25182.94812,12681.15404,5386.12495,4694.41644,10932.99475,615.05053,3597.7589,4520.37851,37149.35221,1910.92065
2010年,12389.00596,40550.16013,3241.29558,2.46,8353.50488,25180.32466,3340.58946,7449.80638,1309.08415,3635.45552,427451.55,1327.62154,1689.23333,310.07811,967.8983,15973.41697,1963.35514,1132.66582,2969.34587,3577.45018,5417.43039,25961.48595,1858.34915,59784.58218,21686.61009,2420.43929,14043.7836,16051.50223,10915.04515,3953.67307,32505.68568,15607.93434,6494.72034,5883.82532,13575.1239,729.84478,4290.29911,5433.44686,41209.39539,4265.621
2011年,15338.79652,46888.8024,4182.61859,0.09567,10740.4877,30213.68888,4150.35944,9248.59046,1552.56776,4256.3909,505940.96,1716.85622,2430.40049,520.8525,1132.52857,18746.97659,2270.43456,1369.7613,3670.32899,4009.62623,5926.39517,33960.50964,2109.90084,65283.097,27166.88119,2892.94263,17093.26867,18418.84837,12591.55346,5182.38428,36576.54242,18673.10182,7857.91501,7225.6253,16915.76519,1056.71309,5519.62732,6959.39723,46849.1563,5241.17375
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
