,专用设备制造业大中型工业企业固定资产原价合计,交通运输设备制造业大中型工业企业固定资产原价合计,仪器仪表及文化、办公用机械制造业大中型工业企业固定资产原价合计,其他采矿业大中型工业企业固定资产原价合计,农副食品加工业大中型工业企业固定资产原价合计,化学原料及化学制品制造业大中型工业企业固定资产原价合计,化学纤维制造业大中型工业企业固定资产原价合计,医药制造业大中型工业企业固定资产原价合计,印刷业和记录媒介的复制大中型工业企业固定资产原价合计,塑料制品业大中型工业企业固定资产原价合计,大中型工业企业固定资产原价合计,家具制造业大中型工业企业固定资产原价合计,工艺品及其他制造业大中型工业企业固定资产原价合计,废弃资源和废旧材料回收加工业大中型工业企业固定资产原价合计,文教体育用品制造业大中型工业企业固定资产原价合计,有色金属冶炼及压延加工业大中型工业企业固定资产原价合计,有色金属矿采选业大中型工业企业固定资产原价合计,木材加工及木、竹、藤、棕、草制品业大中型工业企业固定资产原价合计,橡胶制品业大中型工业企业固定资产原价合计,水的生产和供应业大中型工业企业固定资产原价合计,烟草制品业大中型工业企业固定资产原价合计,煤炭开采和洗选业大中型工业企业固定资产原价合计,燃气生产和供应业大中型工业企业固定资产原价合计,电力、热力的生产和供应业大中型工业企业固定资产原价合计,电气机械及器材制造业大中型工业企业固定资产原价合计,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业固定资产原价合计,石油加工、炼焦及核燃料加工业大中型工业企业固定资产原价合计,石油和天然气开采业大中型工业企业固定资产原价合计,纺织业大中型工业企业固定资产原价合计,纺织服装、鞋、帽制造业大中型工业企业固定资产原价合计,通信设备、计算机及其他电子设备制造大中型工业企业固定资产原价合计,通用设备制造业大中型工业企业固定资产原价合计,造纸及纸制品业大中型工业企业固定资产原价合计,金属制品业大中型工业企业固定资产原价合计,非金属矿物制品业大中型工业企业固定资产原价合计,非金属矿采选业大中型工业企业固定资产原价合计,食品制造业大中型工业企业固定资产原价合计,饮料制造业大中型工业企业固定资产原价合计,黑色金属冶炼及压延加工业大中型工业企业固定资产原价合计,黑色金属矿采选业大中型工业企业固定资产原价合计
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,1410.37421,4023.53778,372.84742,16.84263,982.50279,5596.29004,1007.32227,1108.95108,379.94942,701.96632,82397.75997,134.3312,148.30208,0.87909,183.58543,2043.28878,287.19677,239.78576,611.97595,1217.02983,1043.12611,3811.08081,454.08108,20050.62226,1818.82555,272.05836,3562.21974,6999.73582,2943.75556,485.27713,3716.78967,1721.75899,1405.91287,591.52933,2810.65382,306.68126,692.70603,1274.38739,7782.37592,187.22342
2004年,1383.46,4520.9,413.84,3.18,1174.73,5870.7,1114.37,1250.86,421.31,822.96,95788.91,168.48,323.97,5.21,224.63,2494.83,305.59,259.89,711.04,1407.81,1119.85,4333.3,566.75,24669.78,2014.4,311.71,3971.73,8386.15,3031.72,548.81,4884.1,1918.13,1670.21,695.91,3192.24,242.35,885.98,1225.94,8980.77,261.31
2005年,1587.77286,5494.36475,502.24186,4.14185,1367.5908,6896.44219,1411.81969,1567.97922,504.05832,936.19076,109682.41684,222.17813,296.53251,8.35315,256.10335,2985.50331,339.97221,301.93902,800.39698,1464.47047,1205.67068,5007.37265,607.21345,26601.08829,2434.42737,399.749,4621.17347,9009.71494,3564.09361,650.90095,6088.38066,2267.09498,2112.20017,848.31354,3687.60827,183.39031,1020.8612,1387.87199,10736.71291,300.52697
2006年,1859.3524,6292.81552,608.337,0.0,1590.74168,8268.35659,1512.568,1754.3903,555.47315,1057.66023,128497.90741,308.24188,347.00023,30.39314,282.16525,3538.42929,405.7434,351.88099,935.97577,1782.86817,1267.58813,6154.85918,645.94468,31464.40596,2845.18209,467.38094,5327.74008,10207.54695,3995.79347,791.50885,7186.14513,2564.05305,2392.16086,1064.0197,4175.3727,271.21856,1166.32705,1522.08223,13147.98462,358.20019
2007年,2133.93178,7638.23214,717.45841,0.0,1934.11934,9162.86143,1689.08037,2006.72633,637.9304,1147.08508,151310.50955,396.65091,400.53438,19.66115,318.89604,4412.81105,467.12236,398.33735,1186.63878,1965.63962,1343.82887,7177.61689,733.5737,37331.58667,3369.41642,547.60766,5829.68498,12792.09958,4467.45241,920.34207,8899.1859,2985.14108,2722.24992,1327.628,4746.24736,258.82366,1354.30721,1750.23592,15612.48641,507.27792
2008年,2884.42748,9620.24523,816.59586,0.0,2484.61085,10772.54241,1617.75609,2343.68504,706.96266,1324.99943,180024.58909,390.35799,450.3468,76.1207,377.89168,5663.11341,617.89324,480.42131,1369.65906,2189.39661,1449.81473,8660.84486,804.93352,44406.30455,4498.09451,634.36893,6933.01367,13961.58528,4870.57428,1122.2071,10636.93514,4025.2356,3159.17561,1748.83579,5688.58224,318.99467,1590.10845,2077.00205,18548.34992,702.60234
2009年,3114.289,10973.69358,922.77781,0.0,3480.39292,12565.10434,1595.29522,2557.4563,751.03437,1451.92617,205253.20084,399.43112,502.48113,90.19295,409.09475,6646.87436,687.14275,525.05219,1557.33078,2496.21128,1603.22721,10736.9976,955.93947,50206.14688,5260.39265,695.0133,8591.10565,15132.5403,4999.29187,1178.82503,11667.4314,4437.83685,3367.95619,2004.17637,6649.18716,333.35392,1830.99604,2258.47756,21880.32313,738.20124
2010年,4040.33263,14018.44207,1244.48201,3.7,4410.78808,15931.58308,1812.46312,3101.95751,798.80774,1765.09687,247961.88633,501.98743,589.629,103.35526,427.5998,8560.67057,893.32546,699.88197,1811.95961,2940.61382,1760.5511,12843.52851,1091.28562,57727.78021,6768.16188,847.81858,10453.2389,16417.01313,5836.51632,1343.22864,15778.18812,5691.57233,3989.86131,2463.32287,8286.92655,366.96957,2199.40986,2626.05779,26444.36598,1369.41303
2011年,5090.97788,16830.53373,1447.18738,0.06917,5698.09204,19154.16277,2341.67848,3719.15249,923.24858,2152.47269,293602.20126,705.32282,890.97466,221.06644,509.14966,9954.47349,976.07157,985.59599,2304.82536,3167.1465,1826.69293,16044.93872,1296.44172,63611.71024,10280.84005,1048.42898,11768.90699,21495.84403,6920.64213,1958.28652,16517.82218,6832.98908,5268.40098,2959.77905,10437.4926,633.9844,2816.32667,3199.35626,29750.9436,1860.17243
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
