,专用设备制造业大中型工业企业单位数,交通运输设备制造业大中型工业企业单位数,仪器仪表及文化、办公用机械制造业大中型工业企业单位数,其他采矿业大中型工业企业单位数,农副食品加工业大中型工业企业单位数,化学原料及化学制品制造业大中型工业企业单位数,化学纤维制造业大中型工业企业单位数,医药制造业大中型工业企业单位数,印刷业和记录媒介的复制大中型工业企业单位数,塑料制品业大中型工业企业单位数,大中型工业企业单位数,家具制造业大中型工业企业单位数,工艺品及其他制造业大中型工业企业单位数,废弃资源和废旧材料回收加工业大中型工业企业单位数,文教体育用品制造业大中型工业企业单位数,有色金属冶炼及压延加工业大中型工业企业单位数,有色金属矿采选业大中型工业企业单位数,木材加工及木、竹、藤、棕、草制品业大中型工业企业单位数,橡胶制品业大中型工业企业单位数,水的生产和供应业大中型工业企业单位数,烟草制品业大中型工业企业单位数,煤炭开采和洗选业大中型工业企业单位数,燃气生产和供应业大中型工业企业单位数,电力、热力的生产和供应业大中型工业企业单位数,电气机械及器材制造业大中型工业企业单位数,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业单位数,石油加工、炼焦及核燃料加工业大中型工业企业单位数,石油和天然气开采业大中型工业企业单位数,纺织业大中型工业企业单位数,纺织服装、鞋、帽制造业大中型工业企业单位数,通信设备、计算机及其他电子设备制造大中型工业企业单位数,通用设备制造业大中型工业企业单位数,造纸及纸制品业大中型工业企业单位数,金属制品业大中型工业企业单位数,非金属矿物制品业大中型工业企业单位数,非金属矿采选业大中型工业企业单位数,食品制造业大中型工业企业单位数,饮料制造业大中型工业企业单位数,黑色金属冶炼及压延加工业大中型工业企业单位数,黑色金属矿采选业大中型工业企业单位数
1988年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,899,1421,332,1,788,1549,184,712,262,607,23631,189,244,1,281,490,165,187,291,162,146,467,84,1569,1410,467,267,53,2087,770,1467,1288,538,694,1643,109,495,527,689,96
2004年,1003,1668,390,1,906,1664,223,751,295,722,27692,264,340,10,337,558,193,202,360,180,124,628,92,1657,1761,534,367,71,2449,837,1934,1650,612,807,1804,108,575,542,927,146
2005年,1022,1725,443,2,996,1729,210,795,327,810,29774,302,375,15,370,585,216,234,374,178,108,707,98,1663,1934,650,408,72,2635,982,2184,1759,641,912,1868,116,633,555,970,171
2006年,1170,1952,521,0,1091,1833,209,840,347,921,32930,391,440,20,417,679,253,278,392,189,101,835,99,1687,2189,747,432,67,2810,1211,2508,1939,668,1097,1944,134,700,578,1038,203
2007年,1324,2238,599,0,1243,1985,224,887,395,1030,36506,464,470,22,456,767,294,329,429,211,87,928,112,1696,2518,873,467,70,2947,1405,2857,2174,722,1247,2159,133,793,645,1078,228
2008年,1506,2547,637,0,1477,2160,236,1003,410,1088,40392,499,502,42,512,871,344,368,462,221,89,1218,125,1762,2874,963,489,90,3024,1565,3207,2430,784,1404,2333,161,869,678,1164,278
2009年,1515,2664,621,0,1610,2188,235,1020,408,1142,41290,493,536,33,498,871,327,390,483,234,97,1246,132,1727,2949,983,510,80,3056,1659,3212,2443,776,1422,2435,174,955,745,1140,281
2010年,1754,3150,713,2,1842,2436,256,1125,433,1325,46648,605,593,69,535,1002,352,473,521,260,98,1500,141,1792,3408,1146,543,91,3423,1735,3716,2798,850,1639,2718,172,1068,790,1225,349
2011年,2167,3676,930,1,2509,3036,316,1340,546,1786,61347,890,1018,104,837,1162,421,731,654,313,98,2324,156,1965,4150,1917,595,101,4653,3466,4452,3429,1032,2144,4005,326,1402,956,1331,408
2012年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
