,专用设备制造业大中型工业企业国家资本金,交通运输设备制造业大中型工业企业国家资本金,仪器仪表及文化、办公用机械制造业大中型工业企业国家资本金,其他采矿业大中型工业企业国家资本金,农副食品加工业大中型工业企业国家资本金,化学原料及化学制品制造业大中型工业企业国家资本金,化学纤维制造业大中型工业企业国家资本金,医药制造业大中型工业企业国家资本金,印刷业和记录媒介的复制大中型工业企业国家资本金,塑料制品业大中型工业企业国家资本金,大中型工业企业国家资本金,家具制造业大中型工业企业国家资本金,工艺品及其他制造业大中型工业企业国家资本金,废弃资源和废旧材料回收加工业大中型工业企业国家资本金,文教体育用品制造业大中型工业企业国家资本金,有色金属冶炼及压延加工业大中型工业企业国家资本金,有色金属矿采选业大中型工业企业国家资本金,木材加工及木、竹、藤、棕、草制品业大中型工业企业国家资本金,橡胶制品业大中型工业企业国家资本金,水的生产和供应业大中型工业企业国家资本金,烟草制品业大中型工业企业国家资本金,煤炭开采和洗选业大中型工业企业国家资本金,燃气生产和供应业大中型工业企业国家资本金,电力、热力的生产和供应业大中型工业企业国家资本金,电气机械及器材制造业大中型工业企业国家资本金,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业国家资本金,石油加工、炼焦及核燃料加工业大中型工业企业国家资本金,石油和天然气开采业大中型工业企业国家资本金,纺织业大中型工业企业国家资本金,纺织服装、鞋、帽制造业大中型工业企业国家资本金,通信设备、计算机及其他电子设备制造大中型工业企业国家资本金,通用设备制造业大中型工业企业国家资本金,造纸及纸制品业大中型工业企业国家资本金,金属制品业大中型工业企业国家资本金,非金属矿物制品业大中型工业企业国家资本金,非金属矿采选业大中型工业企业国家资本金,食品制造业大中型工业企业国家资本金,饮料制造业大中型工业企业国家资本金,黑色金属冶炼及压延加工业大中型工业企业国家资本金,黑色金属矿采选业大中型工业企业国家资本金
2003年,248.89315,765.29924,34.09166,5.3537,88.00115,699.12572,88.3554,165.35301,63.25566,32.54006,11440.04751,1.40557,4.26164,,9.16212,394.14888,59.23035,20.77193,48.01741,370.99098,328.58009,1214.34856,164.4619,2369.94552,132.39953,4.92778,370.42005,732.79839,204.31353,11.79808,257.4193,242.43232,115.80123,46.59404,314.17884,99.87312,42.39334,146.95879,1434.27541,107.87006
2004年,235.09,990.93,37.44,0.0,64.84,689.47,104.72,120.08,64.31,31.14,14349.36,1.44,40.12,0.0,2.73,323.75,79.36,27.52,44.22,407.08,362.27,1184.68,166.74,5047.86,133.08,4.67,448.42,1164.7,160.2,12.46,197.78,234.82,116.59,45.61,274.12,82.77,29.41,133.7,1175.61,109.63
2005年,214.88699,502.08016,31.31056,0.7,62.42533,708.79197,103.7222,157.25318,66.52833,36.08662,13528.10486,0.92188,24.11273,0.91637,4.3611,405.80834,51.07589,26.65372,26.55473,407.04703,369.84966,1196.65744,155.71829,4562.10653,115.97642,3.32998,500.84964,1311.82778,134.87034,9.34463,200.66038,197.03738,107.1053,39.15122,240.98478,39.17613,34.00341,97.18371,1270.17228,110.86243
2006年,240.67447,664.21627,43.55508,,73.69938,729.52002,97.64373,144.37765,63.97566,52.72737,14869.94423,0.84695,26.12892,0.0335,3.24991,491.75312,53.00635,22.00298,28.12035,486.57987,271.4549,1237.5266,150.0841,5566.62606,129.88243,2.20799,540.21839,1109.35396,130.4789,11.54634,200.26594,239.16159,84.24958,41.45948,234.22823,32.72281,31.69104,89.37694,1361.33214,183.96523
2007年,246.31153,719.74018,31.23335,,51.74481,805.48251,101.80523,139.87457,56.12039,38.44178,15648.33796,0.85497,22.3437,3.0138,3.65112,489.129,45.42261,18.59954,29.29202,506.04704,142.48661,1265.71529,170.71197,5546.08231,129.38147,2.33235,1053.16115,1391.39174,122.23569,9.25574,229.78599,306.09993,82.35207,52.90628,198.09303,25.67863,29.80962,87.30175,1383.93576,110.51243
2008年,262.18801,747.18222,58.22203,,69.02448,1197.10071,95.49789,135.63713,55.1365,16.66938,20520.44992,0.04086,12.98766,9.31101,8.5381,633.21314,92.39,12.80128,38.20241,560.86739,160.93517,1637.47198,153.58015,6665.25919,140.2626,2.20079,1579.09011,3046.46284,98.42339,8.55495,281.31907,262.19151,117.22055,55.81421,260.40934,27.29318,40.92357,96.01054,1707.98689,174.02969
2009年,304.60131,753.79847,43.34421,,67.03914,810.35559,85.91295,118.47636,53.48554,21.82796,18976.66373,0.04386,12.4339,9.29052,3.38694,583.06647,68.06074,8.77504,26.17352,625.68619,184.07505,1330.98847,139.56801,6643.34406,158.08661,2.06504,1170.77688,2484.78265,91.9892,6.77812,304.74436,303.39751,115.04808,89.96624,243.81755,41.50093,41.86558,88.92457,1725.19695,213.98916
2010年,339.48209,983.46294,43.64103,,79.3021,731.20542,71.007,126.44325,55.1637,16.06021,18104.92138,0.53149,26.6615,0.026,7.49259,644.718,67.15731,11.27087,18.284,698.60886,131.65422,1308.33957,129.25348,5304.82023,180.72399,1.50953,1312.62133,2427.11039,104.20788,8.02109,222.89159,276.64118,149.15289,80.84483,267.37916,58.08075,35.88904,89.59408,1691.66907,403.99872
2011年,337.17028,1057.88552,102.29468,,68.33081,961.26244,90.09724,210.34335,55.64052,20.50323,20392.17782,1.20803,19.83955,2.81772,6.48791,776.27581,131.31607,11.92806,37.712,751.78023,158.15211,1523.17376,160.22235,5234.90961,177.54743,1.66143,1764.11201,3346.60842,80.09188,12.29642,414.1523,353.57895,218.72143,109.8002,311.24563,65.13289,27.66303,108.27542,1166.77255,515.16655
2012年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
