,专用设备制造业大中型工业企业累计折旧,交通运输设备制造业大中型工业企业累计折旧,仪器仪表及文化、办公用机械制造业大中型工业企业累计折旧,其他采矿业大中型工业企业累计折旧,农副食品加工业大中型工业企业累计折旧,化学原料及化学制品制造业大中型工业企业累计折旧,化学纤维制造业大中型工业企业累计折旧,医药制造业大中型工业企业累计折旧,印刷业和记录媒介的复制大中型工业企业累计折旧,塑料制品业大中型工业企业累计折旧,大中型工业企业累计折旧,家具制造业大中型工业企业累计折旧,工艺品及其他制造业大中型工业企业累计折旧,废弃资源和废旧材料回收加工业大中型工业企业累计折旧,文教体育用品制造业大中型工业企业累计折旧,有色金属冶炼及压延加工业大中型工业企业累计折旧,有色金属矿采选业大中型工业企业累计折旧,木材加工及木、竹、藤、棕、草制品业大中型工业企业累计折旧,橡胶制品业大中型工业企业累计折旧,水的生产和供应业大中型工业企业累计折旧,烟草制品业大中型工业企业累计折旧,煤炭开采和洗选业大中型工业企业累计折旧,燃气生产和供应业大中型工业企业累计折旧,电力、热力的生产和供应业大中型工业企业累计折旧,电气机械及器材制造业大中型工业企业累计折旧,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业累计折旧,石油加工、炼焦及核燃料加工业大中型工业企业累计折旧,石油和天然气开采业大中型工业企业累计折旧,纺织业大中型工业企业累计折旧,纺织服装、鞋、帽制造业大中型工业企业累计折旧,通信设备、计算机及其他电子设备制造大中型工业企业累计折旧,通用设备制造业大中型工业企业累计折旧,造纸及纸制品业大中型工业企业累计折旧,金属制品业大中型工业企业累计折旧,非金属矿物制品业大中型工业企业累计折旧,非金属矿采选业大中型工业企业累计折旧,食品制造业大中型工业企业累计折旧,饮料制造业大中型工业企业累计折旧,黑色金属冶炼及压延加工业大中型工业企业累计折旧,黑色金属矿采选业大中型工业企业累计折旧
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,534.07856,1509.68593,134.11212,7.02444,288.99984,2189.64823,355.79451,346.67422,149.89444,228.61356,30256.20983,39.11193,44.26602,0.48795,64.92877,708.12158,104.09005,69.27192,207.74585,383.59192,456.15856,1323.62585,135.61519,6532.45576,695.15974,90.10366,1557.88279,3531.37472,983.25706,155.70584,1349.19358,682.13196,360.47938,202.07017,915.05863,80.32991,232.73245,440.44457,3093.29355,72.99462
2004年,523.25,1690.98,146.34,1.51,334.24,2337.79,396.39,370.06,165.21,264.9,35085.87,46.59,97.63,2.29,82.22,802.09,109.49,79.92,213.4,456.03,516.73,1511.91,165.98,8201.91,753.08,102.57,1734.58,4220.35,1028.51,179.15,1690.22,758.85,440.39,225.32,1024.45,77.24,283.59,451.07,3494.36,105.27
2005年,581.10264,2066.83586,173.9934,1.74473,406.48933,2590.9599,491.61978,494.59212,201.72364,310.52339,40603.26317,61.34667,95.01671,3.25554,91.66779,967.70893,123.98824,94.57344,241.70191,508.74239,592.12039,1792.02641,192.41176,9223.16435,890.72215,128.99356,2102.28075,4548.55885,1207.52505,209.16907,2204.37963,899.39527,521.0488,286.24991,1163.88386,64.65834,339.86102,525.02932,4099.32157,104.8767
2006年,668.26589,2349.33259,222.19162,0.0,487.46658,2968.67616,546.71306,595.60951,236.8915,369.06116,47163.19488,80.00296,108.11787,4.21235,107.69448,1110.09493,141.32578,116.38971,295.00791,600.34428,655.34573,2215.17661,202.52401,10952.22411,1043.25089,158.65143,2349.4156,5064.4487,1356.13846,258.24445,2722.16286,1007.22425,639.1579,349.27151,1314.45872,89.47599,388.77191,590.11983,4685.88711,113.84647
2007年,759.14973,2887.90997,274.13236,0.0,600.95733,3358.9705,623.99747,748.79923,271.19322,424.25257,56035.10096,100.15386,125.17167,7.79947,121.49086,1391.74549,147.28057,137.95442,374.61615,686.41439,704.31391,2555.37141,198.99529,13128.41196,1251.25483,185.57299,2485.80055,6417.70819,1550.22659,296.17728,3488.07093,1132.4372,747.41,448.62672,1511.80927,92.55292,462.32742,670.57751,5486.39461,179.07212
2008年,1044.58755,3534.07304,322.37133,0.0,813.42314,4207.23285,612.82474,883.93095,314.84566,517.57633,67716.17919,126.50976,157.96011,17.55759,147.07214,1725.32915,185.37636,165.85238,474.60672,794.87058,774.9108,2896.63408,229.10261,16178.69561,1789.54093,228.53681,3218.01632,6314.66461,1739.95295,392.06308,4543.16525,1544.39462,960.88655,617.78315,1811.60018,117.34697,544.72559,859.42153,6661.20009,247.53708
2009年,1120.01842,4062.60564,379.59423,0.0,1365.61358,4653.32809,591.84831,971.23269,323.079,587.68539,76987.17454,144.3324,172.99642,25.20048,158.66827,2297.78597,212.12573,197.38204,552.18507,875.65942,858.82234,3795.09509,281.39289,18040.08273,2013.44398,245.76076,3636.93794,6704.5611,1805.30602,437.09304,5200.49539,1668.67228,1037.50926,698.97407,2045.84794,118.70269,637.62324,849.0531,7985.30753,235.152
2010年,1521.26369,5672.88412,494.67481,1.72,1936.50889,5935.55346,728.49445,1242.63078,363.15765,741.11046,95774.75013,183.32206,225.14545,42.97123,170.90635,2924.71021,255.57589,268.41591,687.58226,1033.00048,923.20262,4817.10091,285.09789,21632.114,2571.68615,306.58087,4368.36288,7368.37182,2243.82647,498.11747,6564.60939,2151.94254,1272.82872,879.13846,2535.19208,157.74471,783.26959,1056.8128,10572.10812,357.01449
2011年,2093.96497,7117.13444,656.72824,0.02048,2753.47597,7647.25448,995.57166,1586.69358,460.8404,975.07455,123529.47892,270.70012,342.75907,96.0888,211.42961,3696.79451,295.13406,491.85836,957.58856,1200.07944,949.68835,6193.84211,366.40068,25223.22727,5210.69818,386.90804,5376.44355,9624.03082,2886.85528,815.77101,8408.75142,2847.11244,2231.55591,1144.87865,3430.5344,309.30231,1106.99686,1291.46992,13327.17705,548.64337
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
