,专用设备制造业大中型工业企业流动负债合计,交通运输设备制造业大中型工业企业流动负债合计,仪器仪表及文化、办公用机械制造业大中型工业企业流动负债合计,其他采矿业大中型工业企业流动负债合计,农副食品加工业大中型工业企业流动负债合计,化学原料及化学制品制造业大中型工业企业流动负债合计,化学纤维制造业大中型工业企业流动负债合计,医药制造业大中型工业企业流动负债合计,印刷业和记录媒介的复制大中型工业企业流动负债合计,塑料制品业大中型工业企业流动负债合计,大中型工业企业流动负债合计,家具制造业大中型工业企业流动负债合计,工艺品及其他制造业大中型工业企业流动负债合计,废弃资源和废旧材料回收加工业大中型工业企业流动负债合计,文教体育用品制造业大中型工业企业流动负债合计,有色金属冶炼及压延加工业大中型工业企业流动负债合计,有色金属矿采选业大中型工业企业流动负债合计,木材加工及木、竹、藤、棕、草制品业大中型工业企业流动负债合计,橡胶制品业大中型工业企业流动负债合计,水的生产和供应业大中型工业企业流动负债合计,烟草制品业大中型工业企业流动负债合计,煤炭开采和洗选业大中型工业企业流动负债合计,燃气生产和供应业大中型工业企业流动负债合计,电力、热力的生产和供应业大中型工业企业流动负债合计,电气机械及器材制造业大中型工业企业流动负债合计,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业流动负债合计,石油加工、炼焦及核燃料加工业大中型工业企业流动负债合计,石油和天然气开采业大中型工业企业流动负债合计,纺织业大中型工业企业流动负债合计,纺织服装、鞋、帽制造业大中型工业企业流动负债合计,通信设备、计算机及其他电子设备制造大中型工业企业流动负债合计,通用设备制造业大中型工业企业流动负债合计,造纸及纸制品业大中型工业企业流动负债合计,金属制品业大中型工业企业流动负债合计,非金属矿物制品业大中型工业企业流动负债合计,非金属矿采选业大中型工业企业流动负债合计,食品制造业大中型工业企业流动负债合计,饮料制造业大中型工业企业流动负债合计,黑色金属冶炼及压延加工业大中型工业企业流动负债合计,黑色金属矿采选业大中型工业企业流动负债合计
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,1847.35044,5237.36184,451.02426,17.75413,1166.87977,3049.43998,517.25259,1263.95136,238.90482,580.45701,52292.75593,159.37118,174.85869,3.53423,187.90162,1511.83281,179.37267,176.80848,541.92858,267.64432,1055.3891,1835.01872,170.96774,4615.72507,2671.94644,384.52866,1311.05776,1081.16663,2559.13815,593.84022,5696.30204,2368.99799,966.94312,747.64977,1902.56226,160.36622,666.45298,1030.437,4765.28315,135.35413
2004年,1972.12,6043.76,554.02,3.48,1362.93,3361.01,683.06,1237.01,275.91,762.15,64364.76,247.93,304.82,9.39,232.02,1961.95,213.43,204.35,658.86,332.86,1012.04,2490.6,190.14,6338.59,3435.56,469.76,1832.39,1375.58,2771.21,707.55,7308.89,3058.27,1129.0,948.96,2214.96,149.1,812.99,1051.95,6432.64,213.53
2005年,2309.04287,7320.67888,655.1069,1.14205,1495.90785,4150.92825,878.22799,1531.56123,326.45557,903.14382,77049.41332,299.80464,314.08873,10.33033,273.7453,2443.13036,259.63923,222.27934,684.37311,392.94155,974.79545,3227.29125,254.16028,7281.59025,4203.32485,625.63899,2366.35118,1492.62097,3275.99502,878.57127,8960.34863,3573.92881,1257.06839,1085.62312,2563.07139,156.53655,975.45224,1101.85059,8018.56393,304.10216
2006年,2704.25792,8712.21241,847.74397,0.0,1763.68596,4821.25632,1018.12605,1699.64233,353.58543,1047.47087,91057.93239,371.85778,399.12968,21.13956,323.03987,3243.04372,384.96399,285.60692,828.04544,520.71869,984.64547,3905.51163,312.11186,8945.76077,5193.42094,698.97317,2716.65059,1873.48656,3653.78384,1048.29188,9837.72889,4058.00774,1434.3297,1447.5592,2749.66885,191.90635,1072.14463,1277.25378,9944.01627,367.15336
2007年,3385.2859,11927.58596,950.13885,0.0,2179.49211,5920.13899,1298.20942,1864.49941,429.71145,1220.28317,112696.14141,465.78175,543.41694,22.07199,363.32165,4136.50262,443.38557,365.76962,944.67841,615.7725,875.78512,4828.56502,391.38802,10882.72634,6456.75115,834.91245,3837.63466,2109.55799,4256.04056,1264.12355,12090.57463,4869.32133,1760.51325,1898.36705,3266.58716,166.76331,1235.67822,1500.04843,12630.86152,463.89534
2008年,4439.75546,14254.39177,1024.47526,0.0,2529.11784,6973.13701,1260.97623,2051.38702,436.1919,1327.80855,133353.58115,499.47052,533.46701,98.73157,407.27983,4813.59767,508.99148,408.39685,1140.36539,658.93265,988.36153,6642.8985,448.27602,13796.74736,7294.26545,856.55431,5203.74813,2736.42605,4283.78901,1438.53443,12033.2776,6163.05487,2114.6294,2177.24884,4059.68762,201.15637,1416.07958,1787.37538,15648.18176,696.81493
2009年,4969.70701,17409.14226,1145.19803,0.0,3065.19999,8063.50318,1296.48274,2307.35024,445.60831,1360.1851,151255.70965,506.70236,594.48191,117.0581,382.28738,5668.17104,573.55673,410.2123,1129.04002,686.15628,1118.93287,7793.70638,1261.37914,14440.43816,8524.52843,913.12252,5662.31029,3686.56464,4433.94328,1471.28197,13341.5574,6898.42429,2161.12658,2386.60124,4416.00111,235.45683,1616.65432,2024.14716,18028.50225,710.98781
2010年,6271.03356,22682.43664,1446.84307,0.07,4196.74864,10418.65268,1692.60616,2606.50506,493.75344,1592.76642,185563.7198,678.70103,740.33702,225.17227,433.37884,7370.71785,725.22044,426.4987,1377.5764,862.02567,1245.20896,9680.54426,667.96984,17804.31996,11388.31892,1105.29819,6790.2203,3879.21327,5175.5514,1771.64327,15987.901,8144.07024,2578.585,2887.14245,5483.20976,242.25148,1947.16806,2431.91386,20895.66439,1216.4813
2011年,7656.52415,24605.24287,1864.42559,0.06833,5296.91394,13049.7626,2080.29951,3176.73877,589.66739,1886.7107,225041.60511,823.75529,1143.74454,275.81156,511.96809,8702.36984,798.78946,510.54752,1724.30709,1001.33486,1388.35962,13486.25413,774.72231,20572.44424,14179.69937,1240.71173,8691.3667,5474.50894,5834.81059,2319.01646,19419.05212,9515.39356,3264.70345,3501.60795,6916.88964,360.09666,2329.82063,3006.08698,25467.01729,1600.06064
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
