,专用设备制造业大中型工业企业亏损企业单位数,交通运输设备制造业大中型工业企业亏损企业单位数,仪器仪表及文化、办公用机械制造业大中型工业企业亏损企业单位数,其他采矿业大中型工业企业亏损企业单位数,农副食品加工业大中型工业企业亏损企业单位数,化学原料及化学制品制造业大中型工业企业亏损企业单位数,化学纤维制造业大中型工业企业亏损企业单位数,医药制造业大中型工业企业亏损企业单位数,印刷业和记录媒介的复制大中型工业企业亏损企业单位数,塑料制品业大中型工业企业亏损企业单位数,大中型工业企业亏损企业单位数,家具制造业大中型工业企业亏损企业单位数,工艺品及其他制造业大中型工业企业亏损企业单位数,废弃资源和废旧材料回收加工业大中型工业企业亏损企业单位数,文教体育用品制造业大中型工业企业亏损企业单位数,有色金属冶炼及压延加工业大中型工业企业亏损企业单位数,有色金属矿采选业大中型工业企业亏损企业单位数,木材加工及木、竹、藤、棕、草制品业大中型工业企业亏损企业单位数,橡胶制品业大中型工业企业亏损企业单位数,水的生产和供应业大中型工业企业亏损企业单位数,烟草制品业大中型工业企业亏损企业单位数,煤炭开采和洗选业大中型工业企业亏损企业单位数,燃气生产和供应业大中型工业企业亏损企业单位数,电力、热力的生产和供应业大中型工业企业亏损企业单位数,电气机械及器材制造业大中型工业企业亏损企业单位数,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业亏损企业单位数,石油加工、炼焦及核燃料加工业大中型工业企业亏损企业单位数,石油和天然气开采业大中型工业企业亏损企业单位数,纺织业大中型工业企业亏损企业单位数,纺织服装、鞋、帽制造业大中型工业企业亏损企业单位数,通信设备、计算机及其他电子设备制造大中型工业企业亏损企业单位数,通用设备制造业大中型工业企业亏损企业单位数,造纸及纸制品业大中型工业企业亏损企业单位数,金属制品业大中型工业企业亏损企业单位数,非金属矿物制品业大中型工业企业亏损企业单位数,非金属矿采选业大中型工业企业亏损企业单位数,食品制造业大中型工业企业亏损企业单位数,饮料制造业大中型工业企业亏损企业单位数,黑色金属冶炼及压延加工业大中型工业企业亏损企业单位数,黑色金属矿采选业大中型工业企业亏损企业单位数
1990年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003年,168,242,43,0,156,294,38,71,21,87,3839,18,16,0,41,106,20,34,54,61,17,58,34,314,200,66,36,5,406,83,232,163,87,72,262,17,87,123,100,7
2004年,179,295,58,0,147,244,51,86,45,102,4933,43,36,1,47,101,13,32,80,72,9,85,40,476,260,75,74,12,601,117,364,216,115,109,292,14,128,124,181,9
2005年,154,303,49,0,122,287,59,92,44,128,4998,48,32,0,58,108,15,40,71,75,7,71,45,427,270,74,159,7,475,121,397,194,90,119,407,9,86,107,236,12
2006年,140,261,61,0,110,281,43,115,40,134,4812,46,36,2,65,78,15,38,65,79,1,108,43,324,268,64,143,5,487,128,405,190,107,120,356,11,99,105,220,19
2007年,152,277,68,0,107,238,38,91,52,166,4855,71,52,2,85,98,13,41,67,81,3,95,34,339,283,90,94,5,493,159,469,185,101,127,288,8,109,127,139,8
2008年,223,345,98,0,189,392,62,101,69,197,7130,106,73,15,159,225,23,45,95,94,3,99,33,633,405,137,161,19,652,233,703,257,128,186,372,11,139,146,289,13
2009年,185,240,60,0,153,449,30,91,50,153,5877,72,64,5,92,185,27,44,50,101,1,137,33,494,288,93,143,18,492,169,566,245,100,161,351,11,95,134,256,39
2010年,127,241,39,0,92,340,15,71,50,120,4712,60,45,4,67,131,20,28,60,106,4,134,27,452,248,74,147,21,281,149,494,166,84,103,276,9,120,112,179,16
2011年,197,376,92,0,134,350,42,103,58,193,7002,105,100,12,112,153,23,39,88,127,4,215,27,622,475,160,187,16,504,340,741,236,115,184,392,9,114,135,202,20
2012年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2013年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014年,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
