,专用设备制造业大中型工业企业销售费用,交通运输设备制造业大中型工业企业销售费用,仪器仪表及文化、办公用机械制造业大中型工业企业销售费用,其他采矿业大中型工业企业销售费用,农副食品加工业大中型工业企业销售费用,化学原料及化学制品制造业大中型工业企业销售费用,化学纤维制造业大中型工业企业销售费用,医药制造业大中型工业企业销售费用,印刷业和记录媒介的复制大中型工业企业销售费用,塑料制品业大中型工业企业销售费用,大中型工业企业销售费用,家具制造业大中型工业企业销售费用,工艺品及其他制造业大中型工业企业销售费用,废弃资源和废旧材料回收加工业大中型工业企业销售费用,文教体育用品制造业大中型工业企业销售费用,有色金属冶炼及压延加工业大中型工业企业销售费用,有色金属矿采选业大中型工业企业销售费用,木材加工及木、竹、藤、棕、草制品业大中型工业企业销售费用,橡胶制品业大中型工业企业销售费用,水的生产和供应业大中型工业企业销售费用,烟草制品业大中型工业企业销售费用,煤炭开采和洗选业大中型工业企业销售费用,燃气生产和供应业大中型工业企业销售费用,电力、热力的生产和供应业大中型工业企业销售费用,电气机械及器材制造业大中型工业企业销售费用,皮革、毛皮、羽毛(绒)及其制品业大中型工业企业销售费用,石油加工、炼焦及核燃料加工业大中型工业企业销售费用,石油和天然气开采业大中型工业企业销售费用,纺织业大中型工业企业销售费用,纺织服装、鞋、帽制造业大中型工业企业销售费用,通信设备、计算机及其他电子设备制造大中型工业企业销售费用,通用设备制造业大中型工业企业销售费用,造纸及纸制品业大中型工业企业销售费用,金属制品业大中型工业企业销售费用,非金属矿物制品业大中型工业企业销售费用,非金属矿采选业大中型工业企业销售费用,食品制造业大中型工业企业销售费用,饮料制造业大中型工业企业销售费用,黑色金属冶炼及压延加工业大中型工业企业销售费用,黑色金属矿采选业大中型工业企业销售费用
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2003年,84.5835,313.10948,36.79961,0.35387,70.66966,299.45869,14.01779,319.93337,11.8274,32.49578,3459.32115,14.50111,12.65278,0.01356,13.40437,36.70597,5.52425,10.60346,38.79726,13.41571,79.04169,147.04971,10.60548,48.27924,305.44522,28.92105,66.5405,27.43539,76.04692,55.71196,431.58405,130.21896,46.49206,52.63973,116.94133,15.64358,162.50015,225.48801,99.10312,4.76538
2004年,118.91,345.46,36.65,0.0,90.14,370.26,14.3,343.61,11.14,45.51,4080.94,20.37,14.84,0.44,15.7,51.37,6.55,14.74,48.01,15.26,84.35,167.23,14.08,25.77,385.55,27.96,81.76,36.49,88.28,63.65,532.21,157.15,59.65,58.17,136.72,16.07,208.03,229.29,137.68,7.59
2005年,115.9732,416.80526,45.94066,0.29548,117.73281,451.26064,16.6607,426.19296,14.95266,45.42239,4949.24868,26.35126,23.50463,2.07694,18.75222,64.48888,8.51016,17.83686,54.11318,19.11558,88.68939,181.26278,17.12128,30.00687,459.50624,43.46759,104.23419,40.96562,109.26813,94.87085,658.45937,190.16088,69.85984,76.60347,165.67182,15.60988,264.01248,266.16968,175.45361,11.86824
2006年,150.41032,530.91697,58.33965,0.0,139.86209,505.18515,18.52894,477.84306,16.58826,56.61983,5884.59834,35.20303,30.02026,1.648,22.01575,76.33762,11.33068,24.14971,55.75169,26.83028,91.98881,243.69307,18.3247,30.47154,551.04599,47.12127,123.71197,41.53932,121.80466,123.37026,758.59731,232.37329,81.8831,90.7356,192.42601,19.59022,295.34064,322.24176,245.29976,15.45777
2007年,198.487,674.67994,74.00076,0.0,181.30308,608.46376,25.63221,554.2114,19.94789,69.46655,7367.61014,43.85475,34.71386,3.2571,24.43333,104.62839,14.58839,32.50505,67.1181,31.16941,83.4655,279.56052,25.73252,39.99538,687.19376,65.15201,169.49362,57.06681,143.00791,142.60643,1023.15842,294.82993,97.51451,110.75889,235.98204,23.71788,353.08868,402.15789,346.65727,24.0092
2008年,245.88597,800.31738,84.25574,0.0,213.53568,693.29232,23.65502,687.55303,24.38898,74.31337,8488.65103,47.57113,39.24236,5.46478,26.03008,129.90382,18.22014,38.69214,74.81695,35.21615,94.16558,342.7278,31.11903,52.55755,822.22155,75.55171,191.53447,37.06534,148.57329,177.88738,1052.72879,325.53889,108.58766,132.92306,278.49589,28.37355,446.51427,472.22278,376.74027,30.76713
2009年,283.02201,990.45095,89.55972,0.0,248.56363,778.89063,27.10809,864.72686,23.4049,85.63163,9342.25554,49.18517,42.31628,4.87719,24.29322,121.66999,18.80882,37.48143,86.48233,38.72458,102.77802,380.17171,38.54883,79.39587,911.93534,85.07935,152.45473,41.24371,158.4731,200.16105,973.30653,354.52413,128.35392,133.1442,295.00485,28.49914,543.81327,568.39313,317.32481,34.45242
2010年,394.3634,1304.0449,114.37577,0.015,348.09869,963.95156,36.90586,1036.94692,27.47916,102.48821,11654.82765,64.50456,51.74721,6.34387,32.98054,169.65411,23.14308,49.64555,102.17266,47.05124,121.22055,457.77383,39.44334,114.49538,1213.2653,124.40428,190.63539,51.88528,201.06759,261.67228,1088.51371,451.87396,158.79788,180.4609,376.8133,28.4047,633.21677,651.16871,383.07449,50.72772
2011年,502.84655,1393.08603,145.60962,0.0,451.40557,1106.86903,45.47701,1283.95891,37.22586,129.2054,13899.9642,87.50366,77.96126,8.35346,41.98776,207.18767,23.36341,65.51966,126.87748,55.73613,133.92918,617.33438,51.39868,165.33574,1299.26182,170.16722,217.01801,46.71304,262.86095,333.79057,1257.50307,562.09406,179.51574,212.31317,488.03013,46.37164,781.27593,809.15686,415.37495,60.34459
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
