,DVD—V出口数量,DVD—V出口种数,DVD—V出口金额,DVD—V进口数量,DVD—V进口种数,DVD—V进口金额,VCD出口数量,VCD出口种数,VCD出口金额,VCD进口数量,VCD进口种数,VCD进口金额,VT出口数量,VT出口种数,VT出口金额,VT进口数量,VT进口种数,VT进口金额,录像出版物出口数量,录像出版物出口种数,录像出版物出口金额,录像出版物进口数量,录像出版物进口种数,录像出版物进口金额,录音出版物出口数量,录音出版物出口种数,录音出版物出口金额,录音出版物进口数量,录音出版物进口种数,录音出版物进口金额,录音带出口数量,录音带出口种数,录音带出口金额,录音带进口数量,录音带进口种数,录音带进口金额,数码激光唱盘出口数量,数码激光唱盘出口种数,数码激光唱盘出口金额,数码激光唱盘进口数量,数码激光唱盘进口种数,数码激光唱盘进口金额,激光唱片出口数量,激光唱片出口种数,激光唱片出口金额,激光唱片进口数量,激光唱片进口种数,激光唱片进口金额,电子出版物出口数量,电子出版物出口种数,电子出版物出口金额,电子出版物进口数量,电子出版物进口种数,电子出版物进口金额,音像、电子出版物出口数量,音像、电子出版物出口种数,音像、电子出版物出口金额,音像、电子出版物进口数量,音像、电子出版物进口种数,音像、电子出版物进口金额
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,118835.0325,9023.0,70.828885,4082.0,592.0,5.3384057971,53391.0,3169.0,6.311469,,,,,,,,,,172226.0325,12192.0,77.140354,4082.0,592.0,5.3384057971,98804.0,4318.0,23.1682,108216.0,9485.0,95.2226086957,2115.0,15.0,,,,,,,,,,,96689.0,4303.0,23.1682,108216.0,9485.0,95.2226086957,174.0,11.0,0.81686,51524.036,1640.0,4456.245476,271204.0325,16521.0,101.315414,163822.036,11717.0,4556.80649049
2009年,29499.0,10859.0,8.392833,8481.0,2254.0,33.59,31174.0,7005.0,44.7996,,,,,,,,,,60673.0,17864.0,53.192433,8507.0,2274.0,33.89,39250.0,1878.0,7.3572,93655.0,5258.0,91.65,37879.0,1764.0,7.0951,93655.0,5258.0,91.65,,,,,,,,,,,,,130.0,29.0,0.56435,65266.0,1947.0,6401.51895,100053.0,19771.0,61.113983,167428.0,9479.0,6527.05895
2010年,998513.0,2566.0,21.657,355992.0,4200.0,118.907652174,15711.0,6847.0,21.064,,,,,,,,,,1014224.0,9413.0,42.721,355992.0,4200.0,118.907652174,3645.0,216.0,4.262,100639.0,17868.0,111.55,,,,3338.0,2423.0,1.0,186.0,28.0,0.1,,,,3459.0,188.0,4.162,97301.0,15445.0,110.55,818.0,723.0,0.175,172911.0,3199.0,11152.2394099,1018687.0,10352.0,47.158,629542.0,25267.0,11382.697062
2011年,69129.0,7104.0,34.250088,75489.0,691.0,13.324,6617.0,626.0,0.67571,,,,,,,,,,75746.0,7730.0,34.925798,75489.0,691.0,13.324,1345.0,347.0,0.24857,147281.0,11386.0,130.78763,,,,,,,,,,2.0,2.0,0.00773,1345.0,347.0,0.24857,147279.0,11384.0,130.7799,,,,173517.0,2476.0,13990.668951,77091.0,8077.0,35.174368,396287.0,14553.0,14134.780581
2012年,207587.0,,128.355436246,62093.0,,42.37,6578.0,,7.57,,,,,,,,,,214165.0,,135.925436246,62093.0,,42.37,25766.0,,15.5916936947,123396.0,,103.73,233.0,,0.0689,,,,,,,,,,25533.0,,15.5227936947,123396.0,,103.73,21608.0,,98.8625,157.0,,106.73,261539.0,,2191.50122994,185646.0,,16685.95
2013年,31425.0041,,31.461781,16780.0,,13.26,1811.0,,0.699,,,,,,,,,,33236.0041,,32.160781,16780.0,,13.26,800.0,,0.4,164671.0,,128.93,,,,,,,,,,,,,800.0,,0.4,164671.0,,128.93,100.0,,0.16,103619.0,,73.858937,34136.0041,,122.429381,285070.0,,20022.3363902
2014年,19755.0,,27.620064,3611.0,,5.22,,,,,,,,,,,,,19755.0,,27.620064,3611.0,,5.22,937.0,,0.093578,130769.0,,99.32,,,,,,,,,,,,,937.0,,0.093578,130769.0,,99.32,,,,,,,20692.0,,156.463642,134380.0,,21000.125476
