,录音制品出版数量,录音制品出版种数,录音制品发行数量,录音带出版数量,录音带出版种数,新版录音制品出版数量,新版录音制品出版种数,新版录音带出版数量,新版录音带出版种数,新版激光唱盘出版数量,新版激光唱盘出版种数,新版高密度激光唱盘及其他出版数量,新版高密度激光唱盘及其他出版种数,激光唱盘出版数量,激光唱盘出版种数,高密度激光唱盘及其他出版数量,高密度激光唱盘及其他出版种数
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,11234.14,6262.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,748.99,1886.0,0.0,0.0
1999年,0.0,0.0,0.0,10423.905,6456.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,906.9,2490.0,0.0,0.0
2000年,0.0,0.0,0.0,11128.44,6175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1031.86,2799.0,1.2,8.0
2001年,0.0,0.0,0.0,12057.07,6449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1647.95,3072.0,2.05,5.0
2002年,0.0,0.0,0.0,19662.4,8598.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2916.0,3691.0,0.4,7.0
2003年,0.0,0.0,0.0,17646.3,8502.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4340.53,4810.0,17.23,21.0
2004年,0.0,0.0,0.0,15606.47,8724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4920.12,6509.0,101.79,173.0
2005年,0.0,0.0,0.0,15156.87,8433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7111.93,7493.0,23.9,34.0
2006年,0.0,0.0,0.0,18430.13,8176.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6415.71,6774.0,26.93,56.0
2007年,0.0,0.0,0.0,14652.81,6989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5195.86,7475.0,719.93,850.0
2008年,25399.25,11721.0,24911.85,19645.06,4581.0,11168.91,7733.0,6856.15,1906.0,3632.57,4718.0,680.19,1109.0,4404.91,5578.0,1349.28,1562.0
2009年,23675.48,12315.0,26226.91,16584.17,3998.0,7660.23,8307.0,2702.7,1620.0,3921.48,5425.0,1036.05,1262.0,4681.42,6426.0,2409.89,1891.0
2010年,23854.96,10639.0,25680.61,17403.52,3336.0,5752.4,6724.0,2077.78,1365.0,2765.81,4020.0,908.82,1339.0,3947.39,5086.0,2504.05,2217.0
2011年,24642.75,9931.0,26047.38,18757.06,3250.0,4743.56,5848.0,1797.1,1322.0,2156.31,3456.0,790.15,1070.0,3731.56,4716.0,2154.13,1965.0
2012年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2014年,22385.1,9505.0,28230.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
