,哲学、社会科学图书出口数量,哲学、社会科学图书出口种数,哲学、社会科学图书出口金额,哲学、社会科学图书进口数量,哲学、社会科学图书进口种数,哲学、社会科学图书进口金额,图书、期刊、报纸出口数量,图书、期刊、报纸出口种数,图书、期刊、报纸出口金额,图书、期刊、报纸进口数量,图书、期刊、报纸进口种数,图书、期刊、报纸进口金额,图书出口数量,图书出口种数,图书出口金额,图书进口数量,图书进口种数,图书进口金额,少儿读物出口数量,少儿读物出口种数,少儿读物出口金额,少儿读物进口数量,少儿读物进口种数,少儿读物进口金额,报纸出口数量,报纸出口种数,报纸出口金额,报纸进口数量,报纸进口种数,报纸进口金额,文化、教育图书出口数量,文化、教育图书出口种数,文化、教育图书出口金额,文化、教育图书进口数量,文化、教育图书进口种数,文化、教育图书进口金额,文学、艺术图书出口数量,文学、艺术图书出口种数,文学、艺术图书出口金额,文学、艺术图书进口数量,文学、艺术图书进口种数,文学、艺术图书进口金额,期刊出口数量,期刊出口种数,期刊出口金额,期刊进口数量,期刊进口种数,期刊进口金额,综合性图书出口数量,综合性图书出口种数,综合性图书出口金额,综合性图书进口数量,综合性图书进口种数,综合性图书进口金额,自然、科学技术图书出口数量,自然、科学技术图书出口种数,自然、科学技术图书出口金额,自然、科学技术图书进口数量,自然、科学技术图书进口种数,自然、科学技术图书进口金额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
