,业余教育课本出版总印张,业余教育课本出版总印数,业余教育课本出版种数,业余教育课本定价总金额,业余教育课本新出版种数,中专、技校课本出版总印张,中专、技校课本出版总印数,中专、技校课本出版种数,中专、技校课本定价总金额,中专、技校课本新出版种数,中学课本出版总印张,中学课本出版总印数,中学课本出版种数,中学课本定价总金额,中学课本新出版种数,大专及以上课本出版总印张,大专及以上课本出版总印数,大专及以上课本出版种数,大专及以上课本定价总金额,大专及以上课本新出版种数,小学课本出版总印张,小学课本出版总印数,小学课本出版种数,小学课本定价总金额,小学课本新出版种数,扫盲课本出版总印张,扫盲课本出版总印数,扫盲课本出版种数,扫盲课本定价总金额,扫盲课本新出版种数,教学用书出版总印张,教学用书出版总印数,教学用书出版种数,教学用书定价总金额,教学用书新出版种数,课本出版总印张,课本出版总印数,课本出版新出版种数,课本出版种数,课本定价总金额
1994年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1998年,141703.0,888.0,531.0,14359.0,256.0,924941.0,7852.0,2806.0,81812.0,709.0,8346451.0,120882.0,2629.0,575205.0,455.0,1454596.0,9809.0,7529.0,145251.0,2903.0,6909621.0,221926.0,3565.0,768667.0,601.0,0.0,0.0,0.0,0.0,0.0,524692.0,7148.0,3253.0,38338.0,793.0,18302004.0,368505.0,5717.0,20313.0,1623632.0
1999年,53646.0,618.0,255.0,5239.0,111.0,848259.0,6914.0,2666.0,74862.0,792.0,9274111.0,141677.0,3158.0,654816.0,541.0,1409241.0,9841.0,7715.0,151437.0,2930.0,7029168.0,215157.0,4130.0,793394.0,894.0,0.0,0.0,0.0,0.0,0.0,463034.0,6600.0,2831.0,35258.0,577.0,19077459.0,380807.0,5845.0,20755.0,1715006.0
2000年,115061.0,965.0,818.0,14260.0,402.0,581088.0,4745.0,2759.0,58762.0,857.0,9993433.0,136463.0,3488.0,739591.0,620.0,1776194.0,11469.0,9250.0,202759.0,3817.0,6702410.0,198857.0,4440.0,768822.0,705.0,241.0,3.0,3.0,10.0,1.0,296344.0,3486.0,2936.0,23904.0,655.0,19464771.0,355988.0,7057.0,23694.0,1808108.0
2001年,72626.0,736.0,615.0,9474.0,285.0,552960.0,4248.0,2134.0,55919.0,524.0,10761069.0,141884.0,3514.0,786062.0,789.0,2049151.0,13230.0,10645.0,244678.0,4370.0,5782866.0,169603.0,4410.0,623075.0,860.0,2373.0,34.0,1.0,100.0,1.0,323143.0,3898.0,2917.0,26199.0,677.0,19544188.0,333633.0,7506.0,24236.0,1745507.0
2002年,127901.0,1210.0,608.0,15807.0,251.0,499356.0,3820.0,2149.0,53989.0,668.0,12025854.0,152921.0,3530.0,902325.0,829.0,2586035.0,15682.0,11995.0,312917.0,4760.0,6264818.0,178319.0,4730.0,647555.0,1005.0,0.0,0.0,0.0,0.0,0.0,276925.0,3270.0,2805.0,24777.0,650.0,21780889.0,355222.0,8163.0,25817.0,1957370.0
2003年,82121.0,700.0,665.0,11678.0,286.0,616772.0,4716.0,2319.0,69043.0,509.0,11295360.0,138921.0,3546.0,888249.0,1021.0,2690255.0,16137.0,14355.0,339872.0,5575.0,5961980.0,161778.0,4931.0,625079.0,963.0,2700.0,40.0,2.0,116.0,2.0,273672.0,3088.0,2971.0,26610.0,750.0,20922860.0,325380.0,9106.0,28789.0,1960647.0
2004年,149310.0,1068.0,734.0,20543.0,375.0,838564.0,6162.0,2742.0,95619.0,516.0,11267226.0,140922.0,5017.0,965135.0,1364.0,3595927.0,20715.0,18434.0,463268.0,7688.0,5883326.0,155550.0,6012.0,641326.0,1158.0,939.0,12.0,1.0,63.0,0.0,245831.0,2712.0,3147.0,28789.0,655.0,21981123.0,327141.0,11756.0,36087.0,2214743.0
2005年,292831.0,3481.0,1519.0,43871.0,706.0,913211.0,6808.0,3565.0,108314.0,875.0,12420044.0,156573.0,5949.0,1104240.0,1654.0,4890240.0,27756.0,27459.0,661913.0,11277.0,6327593.0,152227.0,6668.0,672873.0,1535.0,2554.0,56.0,10.0,489.0,4.0,547015.0,6048.0,4858.0,76002.0,1676.0,25393488.0,352949.0,17727.0,50028.0,2667702.0
2006年,318284.0,2693.0,2145.0,45347.0,853.0,764072.0,5382.0,3294.0,87060.0,791.0,12053311.0,154824.0,5596.0,1047433.0,1208.0,4588231.0,24653.0,30390.0,623493.0,11813.0,7424044.0,158476.0,6316.0,715616.0,1266.0,623.0,5.0,9.0,77.0,7.0,424211.0,4710.0,4175.0,63129.0,1416.0,25572776.0,350743.0,17354.0,51925.0,2582155.0
2007年,344590.0,2770.0,2113.0,51195.0,822.0,761467.0,5726.0,4126.0,95375.0,1237.0,10960399.0,151841.0,5028.0,1004915.0,932.0,4955463.0,26868.0,33525.0,686599.0,13571.0,6159831.0,140111.0,5399.0,635488.0,990.0,1960.0,23.0,10.0,303.0,4.0,410694.0,5089.0,3796.0,67597.0,1273.0,23594404.0,332428.0,18829.0,53997.0,2541472.0
2008年,442668.0,3576.0,3141.0,65211.0,1065.0,768241.0,5802.0,4095.0,102525.0,1196.0,11567535.0,145435.0,4858.0,1017546.0,1026.0,5431384.0,30634.0,34881.0,796206.0,13371.0,6981875.0,136923.0,5172.0,664339.0,925.0,4036.0,47.0,9.0,258.0,4.0,607433.0,7801.0,3697.0,90409.0,1012.0,25803172.0,330218.0,18599.0,55853.0,2736494.0
2009年,571866.0,4192.0,5195.0,106783.0,2415.0,790060.0,6130.0,4173.0,113558.0,1497.0,11894992.0,149710.0,5623.0,1073427.0,1023.0,4817044.0,27082.0,37151.0,735239.0,15196.0,6641282.0,131196.0,5184.0,671510.0,881.0,91.0,1.0,2.0,9.0,0.0,561286.0,5220.0,4696.0,93426.0,1253.0,25276621.0,323531.0,22265.0,62024.0,2793952.0
2010年,449692.0,3217.0,3782.0,87483.0,2174.0,872683.0,6728.0,5037.0,131355.0,1612.0,13239343.0,173995.0,4656.0,1247127.0,585.0,6116558.0,35210.0,43029.0,970684.0,16488.0,5275276.0,104146.0,4045.0,541682.0,521.0,844.0,7.0,5.0,136.0,4.0,1083331.0,12149.0,7591.0,190145.0,2555.0,27037727.0,335452.0,23939.0,68145.0,3168612.0
2011年,685683.0,4228.0,6288.0,144168.0,3147.0,958302.0,7456.0,6151.0,152064.0,1622.0,12843298.0,168160.0,6307.0,1247800.0,954.0,5779979.0,33207.0,48126.0,972202.0,17976.0,6235323.0,121815.0,5267.0,651738.0,730.0,399.0,6.0,8.0,49.0,4.0,791320.0,9119.0,6134.0,133709.0,1511.0,27294304.0,343991.0,25944.0,78281.0,3301730.0
2012年,728378.0,4576.0,5655.0,159039.0,2306.0,880433.0,6883.0,5805.0,146904.0,1767.0,12755821.0,169956.0,7137.0,1316655.0,1457.0,5600646.0,32190.0,50270.0,989365.0,19655.0,6374192.0,125010.0,5821.0,717726.0,1078.0,970.0,13.0,6.0,139.0,4.0,738350.0,8830.0,6577.0,181482.0,2096.0,27078790.0,347458.0,28363.0,81271.0,3511310.0
2013年,593929.0,3633.0,4972.0,141689.0,2495.0,946386.0,7585.0,6573.0,162683.0,1851.0,12374551.0,166996.0,8160.0,1308818.0,1852.0,5730861.0,32423.0,55811.0,1051572.0,21139.0,6673817.0,129378.0,6461.0,760117.0,1391.0,49.0,1.0,5.0,10.0,5.0,583383.0,4986.0,5527.0,112735.0,1652.0,26902976.0,345002.0,30385.0,87509.0,3537624.0
2014年,641981.0,4053.0,5199.0,157319.0,2567.0,950631.0,7579.0,7768.0,170837.0,2651.0,12530288.0,167384.0,8829.0,1323130.0,2162.0,5866909.0,33218.0,59215.0,1112414.0,23578.0,7017374.0,134540.0,6783.0,827637.0,1741.0,705.0,21.0,4.0,92.0,0.0,390643.0,3154.0,4572.0,84746.0,1448.0,27398531.0,349949.0,34147.0,92370.0,3676175.0
