,中、短波转播发射台数,中波发射机数,微波实有站数,电视发射机数,电视转播发射台数,短波发射机数,调频发射机数,调频转播发射台数
1978年,0,0,0,0,0,0,0,0
1979年,0,0,0,0,0,0,0,0
1980年,0,0,0,0,0,0,0,0
1981年,0,0,0,0,0,0,0,0
1982年,0,0,0,0,0,0,0,0
1983年,0,0,0,0,0,0,0,0
1984年,0,0,0,0,0,0,0,0
1985年,0,0,0,0,0,0,0,0
1986年,0,0,0,0,0,0,0,0
1987年,0,0,0,0,0,0,0,0
1988年,0,0,0,0,0,0,0,0
1989年,0,0,0,0,0,0,0,0
1990年,0,0,0,0,0,0,0,0
1991年,0,0,0,0,0,0,0,0
1992年,0,0,0,0,0,0,0,0
1993年,0,0,0,0,0,0,0,0
1994年,0,0,0,0,0,0,0,0
1995年,0,0,0,0,0,0,0,0
1996年,0,0,0,0,0,0,0,0
1997年,0,0,0,0,0,0,0,0
1998年,0,0,0,0,0,0,0,0
1999年,0,0,0,0,0,0,0,0
2000年,0,0,0,0,0,0,0,0
2001年,0,0,0,0,0,0,0,0
2002年,0,0,0,0,0,0,0,0
2003年,0,0,0,0,0,0,0,0
2004年,0,0,0,0,0,0,0,0
2005年,0,0,0,0,0,0,0,0
2006年,800,0,0,0,27163,0,0,16657
2007年,802,0,2745,0,18249,0,0,10582
2008年,808,0,2674,0,18490,0,0,12087
2009年,809,0,2591,0,17700,0,0,12100
2010年,822,2252,2376,30770,15965,448,19315,11604
2011年,827,2300,2497,30082,15397,411,19491,11403
2012年,849,2373,2421,29427,14843,621,19808,11396
2013年,850,2397,2207,26840,13365,622,19077,10334
2014年,856,2451,2302,24397,11254,628,17918,9259
