,从东南亚进口动画电视总额,从东南亚进口电视剧总额,从东南亚进口电视节目总额,从东南亚进口纪录片总额,从中国台湾进口动画电视总额,从中国台湾进口电视剧总额,从中国台湾进口电视节目总额,从中国台湾进口纪录片总额,从中国香港进口动画电视总额,从中国香港进口电视剧总额,从中国香港进口电视节目总额,从中国香港进口纪录片总额,从亚洲进口动画电视总额,从亚洲进口电视剧总额,从亚洲进口电视节目总额,从亚洲进口纪录片总额,从大洋洲进口动画电视总额,从大洋洲进口电视剧总额,从大洋洲进口电视节目总额,从大洋洲进口纪录片总额,从日本进口动画电视总额,从日本进口电视剧总额,从日本进口电视节目总额,从日本进口纪录片总额,从欧洲进口动画电视总额,从欧洲进口电视剧总额,从欧洲进口电视节目总额,从欧洲进口纪录片总额,从美国进口动画电视总额,从美国进口电视剧总额,从美国进口电视节目总额,从美国进口纪录片总额,从美洲进口动画电视总额,从美洲进口电视剧总额,从美洲进口电视节目总额,从美洲进口纪录片总额,从非洲进口动画电视总额,从非洲进口电视剧总额,从非洲进口电视节目总额,从非洲进口纪录片总额,从韩国进口动画电视总额,从韩国进口电视剧总额,从韩国进口电视节目总额,从韩国进口纪录片总额,动画电视进口总额,电视剧进口总额,电视节目进口总额,纪录片进口总额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
