,动画电视出口总额,向东南亚出口动画电视总额,向东南亚出口电视剧总额,向东南亚出口电视节目总额,向东南亚出口纪录片总额,向中国台湾出口动画电视总额,向中国台湾出口电视剧总额,向中国台湾出口电视节目总额,向中国台湾出口纪录片总额,向中国香港出口动画电视总额,向中国香港出口电视剧总额,向中国香港出口电视节目总额,向中国香港出口纪录片总额,向亚洲出口动画电视总额,向亚洲出口电视剧总额,向亚洲出口电视节目总额,向亚洲出口纪录片总额,向大洋洲出口动画电视总额,向大洋洲出口电视剧总额,向大洋洲出口电视节目总额,向大洋洲出口纪录片总额,向日本出口动画电视总额,向日本出口电视剧总额,向日本出口电视节目总额,向日本出口纪录片总额,向欧洲出口动画电视总额,向欧洲出口电视剧总额,向欧洲出口电视节目总额,向欧洲出口纪录片总额,向美国出口动画电视总额,向美国出口电视剧总额,向美国出口电视节目总额,向美国出口纪录片总额,向美洲出口动画电视总额,向美洲出口电视剧总额,向美洲出口电视节目总额,向美洲出口纪录片总额,向非洲出口动画电视总额,向非洲出口电视剧总额,向非洲出口电视节目总额,向非洲出口纪录片总额,向韩国出口动画电视总额,向韩国出口电视剧总额,向韩国出口电视节目总额,向韩国出口纪录片总额,电视剧出口总额,电视节目出口总额,纪录片出口总额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
