,中国对世界直接投资净额,中国对中国澳门直接投资净额,中国对中国香港直接投资净额,中国对亚洲直接投资净额,中国对俄罗斯直接投资净额,中国对几内亚直接投资净额,中国对加拿大直接投资净额,中国对北美洲直接投资净额,中国对南非直接投资净额,中国对印度尼西亚直接投资净额,中国对墨西哥直接投资净额,中国对大洋洲直接投资净额,中国对尼日利亚直接投资净额,中国对巴哈马直接投资净额,中国对开曼群岛直接投资净额,中国对德国直接投资净额,中国对拉丁美洲直接投资净额,中国对新加坡直接投资净额,中国对新西兰直接投资净额,中国对日本直接投资净额,中国对欧洲直接投资净额,中国对法国直接投资净额,中国对泰国直接投资净额,中国对澳大利亚直接投资净额,中国对美国直接投资净额,中国对苏丹直接投资净额,中国对英国直接投资净额,中国对英属维尔京群岛直接投资净额,中国对越南直接投资净额,中国对阿尔及利亚直接投资净额,中国对非洲直接投资净额,中国对韩国直接投资净额,中国对马达加斯加直接投资净额
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,2650609.0,4731.0,1373235.0,1659315.0,47761.0,1320.0,103257.0,112571.0,45441.0,9909.0,1716.0,77008.0,39035.0,3899.0,260159.0,23866.0,490241.0,39773.0,-160.0,3903.0,154043.0,962.0,7641.0,53159.0,19573.0,6540.0,56654.0,187614.0,11088.0,14592.0,157431.0,5667.0,1324.0
2008年,5590717.0,64338.0,3864030.0,4354750.0,39523.0,832.0,703.0,36421.0,480786.0,17398.0,563.0,195187.0,16256.0,-5591.0,152401.0,18341.0,367725.0,155095.0,646.0,5862.0,87579.0,3105.0,4547.0,189215.0,46203.0,-6314.0,1671.0,210433.0,11984.0,4225.0,549055.0,9691.0,6116.0
2009年,5652899.0,45634.0,3560057.0,4040759.0,34822.0,2698.0,61313.0,152193.0,4159.0,22609.0,82.0,247998.0,17186.0,100.0,536630.0,17921.0,732790.0,141425.0,902.0,8410.0,335272.0,4519.0,4977.0,243643.0,90874.0,1930.0,19217.0,161205.0,11239.0,22876.0,143887.0,26512.0,4256.0
