,各类社会组织社会捐赠款,接收社会捐赠衣被数量,民政部门社会捐赠款,社会捐赠其他物资折款,社会捐赠款,社会捐赠款物合计
1978年,,,,,,
1979年,,,,,,
1980年,,,,,,
1981年,,,,,,
1982年,,,,,,
1983年,,,,,,
1984年,,,,,,
1985年,,,,,,
1986年,,,,,,
1987年,,,,,,
1988年,,,,,,
1989年,,,,,,
1990年,,,,,,
1991年,,,,,,
1992年,,,,,,
1993年,,,,,,
1994年,,,,,,
1995年,,,,,,
1996年,,,,,,
1997年,,0.9358,,9.86,4.15,14.02
1998年,,2.9,50.19213,63.01611,50.19213,113.20824
1999年,1.95204,0.56362,4.99144,10.83726,6.94348,17.78074
2000年,3.93,0.77085,5.42,6.96,9.35,16.31
2001年,4.14722,1.26354,7.57696,8.26438,11.72418,19.98856
2002年,7.877,2.29611,11.09058,1.83039,18.96758,20.79797
2003年,11.85443,1.96488,29.16904,2.38202,41.02347,43.40549
2004年,16.897,0.89572,17.06713,1.15644,33.96413,35.12057
2005年,29.0,1.0356,31.34,1.56,60.34,61.89
2006年,40.08,0.71236,42.99,6.41,83.08,89.48
2007年,81.9,0.87568,50.88,15.56,132.78,148.4
2008年,265.2,11.6,479.3,19.6,744.5,764.0
2009年,417.2,1.2,66.5,2.2,483.7,485.9
2010年,417.0,0.3,179.8,4.9,596.8,601.7
2011年,393.5,0.3,96.6,4.8,490.1,494.9
2012年,470.8,,101.7,6.3,572.5,578.8
2013年,458.75,,107.62,8.71,566.37,575.08
2014年,287.07759,,81.7062,11.90648,368.78379,380.69027
