,儿童床位,提供住宿的社会服务机构床位数,救助及其它社会服务床位,智障和精神疾病床位,每千人口社会服务床位数,老年及残疾人床位
1978年,0.0,16.3,0.0,0.6,0.0,15.7
1979年,0.4,22.6,0.0,2.0791,0.0,20.1209
1980年,0.5,24.2,0.0,2.3602,0.0,21.3398
1981年,0.6,25.3,0.0,2.5477,0.0,22.1523
1982年,0.6,28.2,0.0,2.7658,0.0,24.8342
1983年,0.6,32.4,0.0,2.7706,0.0,29.0294
1984年,0.6,42.5,0.0,2.8919,0.0,39.0081
1985年,0.5,49.1,0.0,2.9075,0.0,45.4925
1986年,0.6,58.7,0.0,3.0928,0.0,54.7072
1987年,0.6,64.9,0.0,3.3258,0.0,60.6742
1988年,0.6,69.5,0.0,3.38,0.0,65.32
1989年,0.7,73.8,0.0,3.6137,0.0,69.2863
1990年,0.8,78.0,0.0,3.6793,0.0,73.5207
1991年,0.7,82.8,0.0,3.7726,0.71,78.33
1992年,0.8,89.8,0.0,3.8483,0.766401242628,85.1517
1993年,0.9,92.7,0.4,3.9624,0.782166271505,87.4376
1994年,0.9,95.5,0.5,3.9644,0.796829370046,90.1356
1995年,1.1,97.6,0.6,3.967,0.81,91.93
1996年,1.2,100.8,0.6,3.995,0.823603428413,95.005
1997年,1.3,103.1,0.6,4.0489,0.833966964878,97.1511
1998年,1.5,105.8,0.6,4.104,0.848021416949,99.596
1999年,1.6,108.8881,0.8,4.1,0.86566152036,102.3881
2000年,1.8,113.04,2.6,4.1,0.89,104.54
2001年,2.3,140.7,19.6,4.2,1.1,114.6
2002年,2.5,141.5,19.8,4.3,1.1,114.9
2003年,2.7,142.9,15.1,4.5,1.11,120.6
2004年,3.0,157.2,10.2,4.5,1.21,139.5
2005年,3.2,180.7,15.0,4.4,1.38,158.1
2006年,3.2,204.5,17.3,4.4,1.56,179.6
2007年,3.4,269.6,18.6,4.7,2.04,242.9
2008年,4.3,300.3,23.2,5.4,2.26,267.4
2009年,4.8,326.5,22.3,5.9,2.45,293.5
2010年,5.5,349.6,21.9,6.1,2.61,316.1
2011年,6.8,396.4,13.9,6.5,2.94,369.2
2012年,8.7,449.3,17.4,6.7,3.32,416.5
2013年,9.84,526.67,15.7,7.4,3.87,493.67
2014年,10.8,613.5358,17.0,8.0,4.4855010162,390.3
