,处理遗体数,安葬数,殡葬类单位数,殡葬类职工总数,火化炉数,火化率
1978年,0.0,0.0,0.0,0.0,0.0,0.0
1979年,0.0,0.0,0.0,0.0,0.0,0.0
1980年,0.0,0.0,0.0,0.0,0.0,0.0
1981年,0.0,0.0,0.0,0.0,0.0,0.0
1982年,0.0,0.0,0.0,0.0,0.0,0.0
1983年,0.0,0.0,0.0,0.0,0.0,0.0
1984年,0.0,0.0,0.0,0.0,0.0,0.0
1985年,0.0,0.0,0.0,0.0,0.0,0.0
1986年,0.0,0.0,0.0,0.0,0.0,0.0
1987年,0.0,0.0,0.0,0.0,0.0,0.0
1988年,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,0.0,0.0,0.0,0.0,0.0
1994年,0.0,0.0,0.0,0.0,0.0,0.0
1995年,0.0,0.0,0.0,0.0,0.0,0.0
1996年,0.0,0.0,0.0,0.0,0.0,0.0
1997年,0.0,0.0,0.0,0.0,0.0,0.0
1998年,0.0,0.0,0.0,0.0,0.0,0.0
1999年,0.0,0.0,0.0,0.0,0.0,0.0
2000年,0.0,0.0,0.0,0.0,0.0,0.0
2001年,0.0,0.0,0.0,0.0,0.0,0.0
2002年,0.0,0.0,0.0,0.0,0.0,0.0
2003年,0.0,0.0,0.0,0.0,0.0,0.0
2004年,0.0,0.0,0.0,0.0,0.0,0.0
2005年,450.2,54.8,3284.0,68588.0,5037.0,53.0
2006年,430.2,45.4,3549.0,70500.0,5649.0,48.2
2007年,442.1,53.3,3669.0,73227.0,4838.0,48.4
2008年,453.4,49.9,3754.0,74731.0,4789.0,48.5
2009年,454.2,52.9,3896.0,74050.0,5123.0,48.2
2010年,474.1,60.5,3951.0,75230.0,5229.0,49.0
2011年,468.1,59.9,4103.0,75254.0,5209.0,48.8
2012年,477.7,60.9,4357.0,77254.0,5539.0,49.5
2013年,468.89,62.82,4382.0,80768.0,5743.0,48.2
2014年,459.3037,60.4033,4559.0,82651.0,5908.0,47.0
