,助理社会工作师参考人数,助理社会工作师合格人数,助理社会工作师报考人数,社会工作师参考人数,社会工作师合格人数,社会工作师报考人数
1978年,0,0,0,0,0,0
1979年,0,0,0,0,0,0
1980年,0,0,0,0,0,0
1981年,0,0,0,0,0,0
1982年,0,0,0,0,0,0
1983年,0,0,0,0,0,0
1984年,0,0,0,0,0,0
1985年,0,0,0,0,0,0
1986年,0,0,0,0,0,0
1987年,0,0,0,0,0,0
1988年,0,0,0,0,0,0
1989年,0,0,0,0,0,0
1990年,0,0,0,0,0,0
1991年,0,0,0,0,0,0
1992年,0,0,0,0,0,0
1993年,0,0,0,0,0,0
1994年,0,0,0,0,0,0
1995年,0,0,0,0,0,0
1996年,0,0,0,0,0,0
1997年,0,0,0,0,0,0
1998年,0,0,0,0,0,0
1999年,0,0,0,0,0,0
2000年,0,0,0,0,0,0
2001年,0,0,0,0,0,0
2002年,0,0,0,0,0,0
2003年,0,0,0,0,0,0
2004年,0,0,0,0,0,0
2005年,0,0,0,0,0,0
2006年,0,0,0,0,0,0
2007年,0,0,0,0,0,0
2008年,52419,20648,60139,62953,4192,77698
2009年,31694,6611,38204,35943,4227,46015
2010年,37753,5428,46047,19175,2664,25547
2011年,44100,8068,54515,19426,2338,25500
2012年,75509,23846,92621,26125,6104,34245
2013年,97527,27300,121937,36695,11658,48287
2014年,116672,28386,144282,49258,7417,62580
