,中国对中非劳务合作派出人数,中国对乌干达劳务合作派出人数,中国对乍得劳务合作派出人数,中国对佛得角劳务合作派出人数,中国对冈比亚劳务合作派出人数,中国对几内亚(比绍)劳务合作派出人数,中国对几内亚劳务合作派出人数,中国对刚果(布)劳务合作派出人数,中国对刚果(金)劳务合作派出人数,中国对利比亚劳务合作派出人数,中国对利比里亚劳务合作派出人数,中国对加纳劳务合作派出人数,中国对加蓬劳务合作派出人数,中国对南苏丹劳务合作派出人数,中国对南非劳务合作派出人数,中国对博茨瓦纳劳务合作派出人数,中国对卢旺达劳务合作派出人数,中国对厄立特里亚劳务合作派出人数,中国对吉布提劳务合作派出人数,中国对喀麦隆劳务合作派出人数,中国对圣多美和普林西比劳务合作派出人数,中国对坦桑尼亚劳务合作派出人数,中国对埃及劳务合作派出人数,中国对埃塞俄比亚劳务合作派出人数,中国对塞内加尔劳务合作派出人数,中国对塞拉利昂劳务合作派出人数,中国对塞舌尔劳务合作派出人数,中国对多哥劳务合作派出人数,中国对安哥拉劳务合作派出人数,中国对尼日利亚劳务合作派出人数,中国对尼日尔劳务合作派出人数,中国对布基纳法索劳务合作派出人数,中国对布隆迪劳务合作派出人数,中国对摩洛哥劳务合作派出人数,中国对斯威士兰劳务合作派出人数,中国对毛里塔尼亚劳务合作派出人数,中国对毛里求斯劳务合作派出人数,中国对津巴布韦劳务合作派出人数,中国对科摩罗劳务合作派出人数,中国对科特迪瓦劳务合作派出人数,中国对突尼斯劳务合作派出人数,中国对索马里劳务合作派出人数,中国对纳米比亚劳务合作派出人数,中国对肯尼亚劳务合作派出人数,中国对苏丹劳务合作派出人数,中国对莫桑比克劳务合作派出人数,中国对莱索托劳务合作派出人数,中国对贝宁劳务合作派出人数,中国对赞比亚劳务合作派出人数,中国对赤道几内亚劳务合作派出人数,中国对阿尔及利亚劳务合作派出人数,中国对非洲劳务合作派出人数,中国对马拉维劳务合作派出人数,中国对马达加斯加劳务合作派出人数,中国对马里劳务合作派出人数
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,67.0,5.0,898.0,,,9.0,841.0,10.0,265.0,881.0,71.0,208.0,1.0,120.0,,12.0,70.0,,1.0,,153.0,,59.0,3.0,44.0,21.0,24.0,4574.0,1597.0,13.0,,11.0,38.0,233.0,175.0,808.0,20.0,,9.0,2.0,,,49.0,48.0,76.0,42.0,38.0,311.0,782.0,3692.0,16427.0,,91.0,55.0
2012年,,27.0,45.0,806.0,,1.0,86.0,960.0,46.0,,2796.0,394.0,144.0,,314.0,,65.0,119.0,2.0,97.0,,69.0,,310.0,136.0,571.0,65.0,124.0,6080.0,1188.0,24.0,,10.0,118.0,5.0,257.0,330.0,17.0,,13.0,2.0,,,27.0,44.0,104.0,306.0,42.0,201.0,943.0,5662.0,22717.0,1.0,19.0,112.0
2013年,,47.0,6.0,11.0,,,46.0,2016.0,358.0,66.0,2544.0,419.0,204.0,23.0,527.0,2.0,46.0,7.0,,91.0,,265.0,5.0,219.0,1.0,619.0,,95.0,4522.0,1386.0,6.0,,12.0,67.0,,70.0,108.0,23.0,,58.0,,,,23.0,674.0,144.0,252.0,96.0,359.0,320.0,7524.0,23662.0,10.0,330.0,61.0
2014年,,146.0,354.0,7.0,,2.0,108.0,1506.0,245.0,9.0,2871.0,489.0,255.0,121.0,,,198.0,21.0,22.0,4.0,,133.0,,759.0,3.0,412.0,111.0,53.0,3596.0,649.0,76.0,,31.0,65.0,,147.0,50.0,32.0,,33.0,,,101.0,85.0,1099.0,277.0,137.0,105.0,1101.0,425.0,13413.0,29501.0,10.0,166.0,74.0
