,中国对大洋洲及太平洋岛屿劳务合作派出人数,中国对密克罗尼西亚劳务合作派出人数,中国对巴布亚新几内亚劳务合作派出人数,中国对库克群岛劳务合作派出人数,中国对斐济劳务合作派出人数,中国对新喀里多尼亚劳务合作派出人数,中国对新西兰劳务合作派出人数,中国对汤加劳务合作派出人数,中国对澳大利亚劳务合作派出人数,中国对瓦努阿图劳务合作派出人数,中国对萨摩亚劳务合作派出人数,中国对马绍尔群岛劳务合作派出人数
1978年,,,,,,,,,,,,
1979年,,,,,,,,,,,,
1980年,,,,,,,,,,,,
1981年,,,,,,,,,,,,
1982年,,,,,,,,,,,,
1983年,,,,,,,,,,,,
1984年,,,,,,,,,,,,
1985年,,,,,,,,,,,,
1986年,,,,,,,,,,,,
1987年,,,,,,,,,,,,
1988年,,,,,,,,,,,,
1989年,,,,,,,,,,,,
1990年,,,,,,,,,,,,
1991年,,,,,,,,,,,,
1992年,,,,,,,,,,,,
1993年,,,,,,,,,,,,
1994年,,,,,,,,,,,,
1995年,,,,,,,,,,,,
1996年,,,,,,,,,,,,
1997年,,,,,,,,,,,,
1998年,,,,,,,,,,,,
1999年,,,,,,,,,,,,
2000年,,,,,,,,,,,,
2001年,,,,,,,,,,,,
2002年,,,,,,,,,,,,
2003年,,,,,,,,,,,,
2004年,,,,,,,,,,,,
2005年,,,,,,,,,,,,
2006年,,,,,,,,,,,,
2007年,,,,,,,,,,,,
2008年,,,,,,,,,,,,
2009年,,,,,,,,,,,,
2010年,,,,,,,,,,,,
2011年,816.0,23.0,,,465.0,54.0,25.0,,2.0,143.0,,104.0
2012年,2606.0,58.0,12.0,,426.0,167.0,25.0,,15.0,212.0,,976.0
2013年,2016.0,91.0,1.0,3.0,154.0,64.0,1.0,,,110.0,,828.0
2014年,2474.0,,36.0,,82.0,,1.0,,5.0,35.0,,1758.0
