,中国对不丹劳务合作派出人数,中国对东帝汶劳务合作派出人数,中国对中国台湾劳务合作派出人数,中国对中国澳门劳务合作派出人数,中国对中国香港劳务合作派出人数,中国对乌兹别克斯坦劳务合作派出人数,中国对也门共和国劳务合作派出人数,中国对亚洲其他国家劳务合作派出人数,中国对亚洲劳务合作派出人数,中国对以色列劳务合作派出人数,中国对伊拉克劳务合作派出人数,中国对伊朗劳务合作派出人数,中国对卡塔尔劳务合作派出人数,中国对印度劳务合作派出人数,中国对印度尼西亚劳务合作派出人数,中国对叙利亚劳务合作派出人数,中国对吉尔吉斯斯坦劳务合作派出人数,中国对哈萨克斯坦劳务合作派出人数,中国对土库曼斯坦劳务合作派出人数,中国对土耳其劳务合作派出人数,中国对塔吉克斯坦劳务合作派出人数,中国对塞浦路斯劳务合作派出人数,中国对孟加拉国劳务合作派出人数,中国对尼泊尔劳务合作派出人数,中国对巴基斯坦劳务合作派出人数,中国对巴林劳务合作派出人数,中国对文莱劳务合作派出人数,中国对斯里兰卡劳务合作派出人数,中国对新加坡劳务合作派出人数,中国对日本劳务合作派出人数,中国对朝鲜劳务合作派出人数,中国对柬埔寨劳务合作派出人数,中国对沙特阿拉伯劳务合作派出人数,中国对泰国劳务合作派出人数,中国对科威特劳务合作派出人数,中国对约旦劳务合作派出人数,中国对缅甸劳务合作派出人数,中国对老挝劳务合作派出人数,中国对菲律宾劳务合作派出人数,中国对蒙古劳务合作派出人数,中国对越南劳务合作派出人数,中国对阿富汗劳务合作派出人数,中国对阿曼劳务合作派出人数,中国对阿联酋劳务合作派出人数,中国对韩国劳务合作派出人数,中国对马尔代夫劳务合作派出人数,中国对马来西亚劳务合作派出人数,中国对黎巴嫩劳务合作派出人数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
