,中国对不丹劳务合作派出人数,中国对东帝汶劳务合作派出人数,中国对中国台湾劳务合作派出人数,中国对中国澳门劳务合作派出人数,中国对中国香港劳务合作派出人数,中国对乌兹别克斯坦劳务合作派出人数,中国对也门共和国劳务合作派出人数,中国对亚洲其他国家劳务合作派出人数,中国对亚洲劳务合作派出人数,中国对以色列劳务合作派出人数,中国对伊拉克劳务合作派出人数,中国对伊朗劳务合作派出人数,中国对卡塔尔劳务合作派出人数,中国对印度劳务合作派出人数,中国对印度尼西亚劳务合作派出人数,中国对叙利亚劳务合作派出人数,中国对吉尔吉斯斯坦劳务合作派出人数,中国对哈萨克斯坦劳务合作派出人数,中国对土库曼斯坦劳务合作派出人数,中国对土耳其劳务合作派出人数,中国对塔吉克斯坦劳务合作派出人数,中国对塞浦路斯劳务合作派出人数,中国对孟加拉国劳务合作派出人数,中国对尼泊尔劳务合作派出人数,中国对巴基斯坦劳务合作派出人数,中国对巴林劳务合作派出人数,中国对文莱劳务合作派出人数,中国对斯里兰卡劳务合作派出人数,中国对新加坡劳务合作派出人数,中国对日本劳务合作派出人数,中国对朝鲜劳务合作派出人数,中国对柬埔寨劳务合作派出人数,中国对沙特阿拉伯劳务合作派出人数,中国对泰国劳务合作派出人数,中国对科威特劳务合作派出人数,中国对约旦劳务合作派出人数,中国对缅甸劳务合作派出人数,中国对老挝劳务合作派出人数,中国对菲律宾劳务合作派出人数,中国对蒙古劳务合作派出人数,中国对越南劳务合作派出人数,中国对阿富汗劳务合作派出人数,中国对阿曼劳务合作派出人数,中国对阿联酋劳务合作派出人数,中国对韩国劳务合作派出人数,中国对马尔代夫劳务合作派出人数,中国对马来西亚劳务合作派出人数,中国对黎巴嫩劳务合作派出人数
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,,1.0,9136.0,34242.0,19984.0,80.0,,,169529.0,233.0,31.0,,563.0,55.0,119.0,,1.0,301.0,,63.0,15.0,126.0,27.0,58.0,7.0,,,2.0,26582.0,59848.0,15.0,40.0,2738.0,503.0,741.0,174.0,436.0,165.0,91.0,1597.0,1293.0,,12.0,1428.0,6362.0,18.0,2442.0,
2012年,,,9804.0,52247.0,36213.0,19.0,,,214094.0,176.0,22.0,,196.0,6.0,139.0,,91.0,93.0,517.0,3.0,22.0,257.0,17.0,15.0,54.0,68.0,,16.0,34577.0,60027.0,10.0,1400.0,2609.0,514.0,947.0,101.0,177.0,988.0,76.0,3191.0,1363.0,,3.0,1910.0,3958.0,,2268.0,
2013年,,,6695.0,53816.0,37844.0,8.0,,,198171.0,158.0,297.0,,82.0,49.0,179.0,,17.0,31.0,,5.0,36.0,259.0,95.0,,45.0,,,224.0,29880.0,53357.0,2.0,1750.0,1828.0,424.0,1404.0,77.0,502.0,313.0,118.0,1712.0,1221.0,,,478.0,3070.0,3.0,2192.0,
2014年,,,7545.0,70042.0,41080.0,161.0,,43.0,222645.0,104.0,240.0,,133.0,121.0,272.0,,224.0,198.0,,26.0,68.0,316.0,110.0,152.0,156.0,,,117.0,39251.0,48367.0,,1297.0,2275.0,119.0,32.0,165.0,635.0,147.0,121.0,564.0,859.0,,30.0,1350.0,3783.0,,2542.0,
