,中国对丹麦劳务合作派出人数,中国对乌克兰劳务合作派出人数,中国对亚美尼亚劳务合作派出人数,中国对俄罗斯劳务合作派出人数,中国对保加利亚劳务合作派出人数,中国对冰岛劳务合作派出人数,中国对匈牙利劳务合作派出人数,中国对塞尔维亚劳务合作派出人数,中国对奥地利劳务合作派出人数,中国对希腊劳务合作派出人数,中国对德国劳务合作派出人数,中国对意大利劳务合作派出人数,中国对挪威劳务合作派出人数,中国对捷克劳务合作派出人数,中国对摩尔多瓦劳务合作派出人数,中国对摩纳哥劳务合作派出人数,中国对斯洛伐克劳务合作派出人数,中国对斯洛文尼亚劳务合作派出人数,中国对格鲁吉亚劳务合作派出人数,中国对欧洲劳务合作派出人数,中国对比利时劳务合作派出人数,中国对法国劳务合作派出人数,中国对波兰劳务合作派出人数,中国对波斯尼亚-黑塞哥维那劳务合作派出人数,中国对爱尔兰劳务合作派出人数,中国对爱沙尼亚劳务合作派出人数,中国对瑞典劳务合作派出人数,中国对瑞士劳务合作派出人数,中国对白俄罗斯劳务合作派出人数,中国对立陶宛劳务合作派出人数,中国对罗马尼亚劳务合作派出人数,中国对芬兰劳务合作派出人数,中国对英国劳务合作派出人数,中国对荷兰劳务合作派出人数,中国对葡萄牙劳务合作派出人数,中国对西班牙劳务合作派出人数,中国对阿塞拜缰劳务合作派出人数,中国对阿尔巴尼亚劳务合作派出人数,中国对马其顿共和国劳务合作派出人数,中国对马耳他劳务合作派出人数
1978年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010年,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011年,6.0,,,12901.0,,,,,,776.0,2205.0,87.0,350.0,,,4.0,,4.0,,18741.0,,10.0,125.0,,1.0,,8.0,,196.0,53.0,,4.0,1264.0,625.0,,,,,,122.0
2012年,61.0,,,10852.0,,,4.0,,,420.0,1874.0,101.0,641.0,,,,,,,16110.0,,2.0,,,,,3.0,,344.0,,,,1284.0,294.0,,,,,,208.0
2013年,63.0,,,6035.0,,,,,,132.0,1588.0,290.0,527.0,,,,,,,10495.0,1.0,47.0,,,6.0,,9.0,,4.0,,,,1484.0,89.0,,,,,,190.0
2014年,69.0,,,6072.0,,,4.0,12.0,,138.0,1652.0,246.0,764.0,,,,,,230.0,10780.0,,10.0,3.0,,,,13.0,,44.0,,,,1277.0,112.0,,,,,,109.0
