,京九线旅客周转量,京包线旅客周转量,京哈线旅客周转量,京广线旅客周转量,京沪线旅客周转量,兰新线旅客周转量,兰青、青藏线旅客周转量,包兰线旅客周转量,北同蒲线旅客周转量,南同蒲线旅客周转量,南昆线旅客周转量,宝中线旅客周转量,宝成、成渝线旅客周转量,成昆线旅客周转量,新石线旅客周转量,沪昆线旅客周转量,焦柳线旅客周转量,石太线旅客周转量,石德线旅客周转量,襄渝线旅客周转量,陇海线旅客周转量,鹰厦线旅客周转量
1988年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1989年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1990年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1992年,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1993年,0.0,49.32,0.0,631.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.0,13.29,0.0,274.92,0.0
1994年,0.0,48.96,0.0,651.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.73,13.98,0.0,286.79,0.0
1995年,0.0,44.92,0.0,646.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.76,13.83,0.0,286.07,0.0
1996年,0.0,41.07,0.0,570.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.18,12.18,0.0,269.65,0.0
1997年,0.0,43.35,0.0,612.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,13.46,0.0,280.26,0.0
1998年,125.46,44.46,0.0,641.73,0.0,129.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.23,7.85,0.0,60.43,18.37,14.08,0.0,284.75,0.0
1999年,151.41,49.27,0.0,710.12,0.0,133.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.19,9.1,0.0,0.0,17.92,13.8,0.0,298.73,0.0
2000年,191.28,54.71,0.0,806.59,0.0,141.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.43,9.3,274.99,0.0,20.04,14.0,0.0,327.19,0.0
2001年,226.93,62.33,0.0,798.44,0.0,148.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.28,10.34,732.32,0.0,21.44,15.32,0.0,348.21,0.0
2002年,330.28,64.52,423.58,887.17,506.48,161.49,18.65,25.12,12.88,36.15,6.29,14.59,108.93,47.6,11.76,329.75,93.64,19.06,17.08,102.51,338.38,61.88
2003年,328.49,61.71,362.25,862.03,485.16,155.88,18.73,22.77,13.28,37.58,6.25,15.18,107.52,46.52,12.09,332.62,82.24,16.63,17.13,103.36,345.21,59.84
2004年,378.53,72.75,351.31,967.95,602.39,180.17,21.63,31.55,13.45,45.14,7.54,16.51,124.32,54.83,16.21,392.82,98.41,21.36,22.14,123.75,417.56,65.73
2005年,403.28,75.5,369.26,926.43,684.39,191.08,21.49,34.18,14.52,44.81,8.91,16.3,133.56,58.15,17.84,409.34,90.23,19.39,25.12,120.17,460.54,65.83
2006年,465.9194,82.99041,367.58977,1140.19633,710.8497,239.35023,25.89994,43.77778,12.9764,39.82696,11.20354,17.10091,111.00479,65.66868,22.93207,455.54634,102.39502,17.61151,18.43583,69.58579,509.41722,74.08791
2007年,560.28348,88.61799,402.14204,1195.75873,699.63,233.16017,50.72727,41.71313,18.87262,52.74064,38.06314,19.49339,144.4739,64.54219,20.43803,722.71,112.33722,20.95125,32.55901,140.70718,556.52685,68.08149
2008年,606.24557,95.81422,429.59192,1255.87417,778.03286,240.41175,45.54545,45.50307,22.6171,57.81126,40.19839,21.08527,129.99948,61.59901,21.44277,789.45484,126.08567,21.42152,33.83162,145.65362,593.70346,69.95051
2009年,600.56927,99.7123,452.46477,1247.73098,764.23108,251.15373,55.16601,48.17238,26.65825,57.87241,38.63003,22.92219,126.80316,61.5984,21.48934,766.33752,128.78862,8.69887,31.88371,137.92245,613.78958,62.12828
2010年,642.08,108.67,486.35,1277.52,804.21,275.38,62.16,51.99,29.58,62.63,22.3,25.05,125.95,54.71,22.41,802.29,144.66,5.43,33.92,150.33,664.97,55.74
2011年,662.13933,91.2046,543.37138,1356.74807,665.33526,329.15961,68.73028,51.18491,29.61719,63.43663,45.88549,23.2641,131.33608,79.62326,25.64644,874.30393,160.35055,9.5723,38.13466,165.20735,648.86809,60.22534
2012年,647.1326,80.46686,528.15013,1308.30796,565.56707,348.22268,69.35828,51.94247,30.10481,61.82543,43.30004,23.30208,130.04372,76.4037,28.98339,857.37272,153.53544,9.54653,38.69001,166.26195,649.95001,54.08188
2013年,678.4897,108.36955,499.22588,1193.09102,582.31875,369.23139,75.46569,55.96875,28.55437,59.43695,0.0,0.0,130.38402,71.97122,0.0,908.83767,153.58927,58.39578,45.00926,171.97302,664.5485,45.45648
2014年,715.23545,50.28228,526.97648,1215.82857,613.16,364.87696,77.32494,58.84836,24.97654,45.64927,0.0,0.0,128.77841,62.48589,0.0,902.61033,149.0504,69.02322,49.34472,174.70792,666.8407,28.87902
